Samples,Treatment,VPAnM1,VPAnM12,VPAnM13,VPAnM14,VPAnM15,VPAnM16,VPAnM17,VPAnM18,VPAnM19,VPAnM2,VPAnM20,VPAnM21,VPAnM22,VPAnM23,VPAnM24,VPAnM25,VPAnM26,VPAnM27,VPAnM28,VPAnM29,VPAnM30,VPAnM31,VPAnM32,VPAnM34,VPAnM35,VPAnM36,VPAnM37,VPAnM38,VPAnM39,VPAnM41,VPAnM42,VPAnM43,VPAnM49,VPAnM50,VPAnM51,VPAnM52,VPAnM53,VPAnM54,VPAnM6,VPAnM8,VPAnM9
T1_P2_V2,vpa,-0.5863476547172871,-1.359516944971149,-0.8698108989087151,-1.0065943467715723,-0.456428212112269,-0.6152315089535957,-0.8837059219346646,-0.45792988744111046,-1.1598759986318046,-0.9142868820132048,-0.834061988770589,-1.0229224408716378,-1.1260203746944268,-0.5445336888473854,1.701296624973479,-0.8640485728113922,-1.0856994594487714,-1.1525367811219684,-0.6642340707955462,-0.9141192582303562,-1.708414246188735,-1.0544816614194743,-1.0280130556289813,-0.7857266325386009,-0.9216337596921228,-1.2047274798248806,-0.7072437185774041,-0.49769449221841916,-0.8034384190877869,-1.2147943508598493,-0.767138819627403,-1.2894899287522723,-0.9533087043725164,-0.9304656814810106,-0.7009498764854345,-0.7653466920932886,-0.18200143543006891,-2.029745486883275,-0.6621432978205773,-1.0658598258506904,-0.7873350147078465
T1_P2_V3,vpa,9.133283861176948e-4,0.09925871110077727,0.07729904060545813,0.0648048458904825,0.14313842399890583,0.08128401910297252,-0.02939246039641615,0.060617758598439014,0.08809597718087374,0.15897170368005897,-0.09751471585536911,0.11345212657721254,0.07511509869519473,0.04344861894441135,2.725728370827631,0.10097527135149001,0.1566641753160757,0.14457754683024654,0.07513679479200272,0.16011002895361479,0.28360905868380926,0.05346623758965645,0.0830399802375235,0.19086860514462528,0.06450807082530052,0.08872724400326581,0.25262183017098416,-0.05854676202158321,-0.06183763621326671,0.17065138426854556,0.13697577578893283,0.3511488184373606,0.12807343773986118,0.12413078439562848,0.057631941722999486,1.1194760467484097,-0.454784148687799,0.38514186593674493,-0.03523227372779976,0.0302266647252356,0.10024284164032105
T2_P1_C1,cntrl,-0.10396142481682034,-0.6688356400003176,-0.391184873950369,-0.5490003902255801,-0.2168995509789812,-0.2104983618857443,-0.44120380199587406,-0.24437660270686368,-0.6039886564478146,-0.3336137868335531,-0.17443382786896414,-0.4376825411495338,-0.4884494768118976,-0.20715524571099941,-2.7000552017076203,-0.5944739921973484,-0.46135756816560947,-0.6900290564397519,-0.1304421196561769,-0.3073469243028575,-1.3421939401122414,-0.3330335387190303,-0.28868876024046647,-0.4830993526315214,-0.43895004959418366,-0.42080133764171845,-0.4739028022368845,-0.13076360968336317,-0.5938413321699155,-0.8675526518519123,-0.1020507669969397,-0.5016160008282836,-0.09561016549606433,-0.2603322627880454,-0.30929058189997244,-0.9930273514043843,0.6354216471991523,-0.5698477866419702,-0.12991155693998804,-0.39337523443486083,-0.25847430205289945
T2_P1_C2,cntrl,-0.39100858862991733,-1.0573055917164587,-0.8458344996979569,-0.8575592287762851,-0.18943476349538324,-0.5128659078992659,-0.9591622200462788,-0.46596955914300725,-1.067168127745642,-0.7366511478682125,-0.373540666691012,-0.9312726980742738,-0.8657514587961171,-0.44852951469676844,-2.783806757541998,-0.4746256654926984,-0.9295851878426835,-0.745640934174413,-0.6546077055308956,-0.9832504908304754,-1.633109406156493,-0.7026853161768122,-0.6920578848923881,-0.7583723666142953,-0.6975332247976226,-0.8352441084610537,-0.41921694658994724,-0.5420803531571053,-0.7796358252865361,-1.1908418229393771,-0.3808848228502166,-1.2994518896131886,-0.7465590951031978,-0.5896523419434011,-0.45169953158594645,-0.9599492730626563,-0.11529246548354369,-1.2963203736314077,-0.461168798800567,-0.7220153046662223,-0.7156663654680373
T2_P1_C3,cntrl,0.09250924886774098,0.6730358408608575,0.3752528757029804,0.5174469463486941,0.21395392728417004,0.14142908206641536,0.3523518214326845,0.22744647731078282,0.533327180772113,0.3172978970816498,0.37707029812359566,0.37234168448079974,0.5004502102177664,0.07571916870415596,-2.283859785799572,0.47692170707362985,0.516112473341037,0.44731216090227627,0.2776034796622541,0.4227624519438835,0.6415988793345749,0.298137754724466,0.3770918644996653,0.36642649506892583,0.37972520001613563,0.41956462992393695,0.32374976390514026,0.27670915219277376,0.23520974015438573,0.48493712289878155,0.27559648069309894,0.5908594417651223,0.5473124561519527,0.45407286401044855,0.26879948209639976,0.4495137280926045,0.28122806743864315,0.6140991285247103,0.10528806498792503,0.45156862133170844,0.26215401613577627
T2_P1_V1,vpa,0.2047222414924589,0.20057093368108664,0.06653056171712272,0.12860089073056125,0.13530226897005282,0.11402242046701493,0.2169953312919189,0.2467917963250097,0.16475206584558255,0.17354312945587103,-0.1873630983576068,0.056462533751519654,0.10842364705255228,0.06928644937387234,2.3514371435857395,0.11067963405882422,0.12357976231308895,0.15506408093099502,0.1850814689268184,0.14170337013853906,0.09742378789399564,-0.15824057228762822,-8.740489432168229e-4,-0.18511847392529693,0.1223922458159947,0.04702409309228961,-0.048554983506234196,-0.015227887177990115,0.11110399258518927,0.24461987770372887,0.049069126609111724,0.2143211402591515,0.18315478853459075,-0.31951600037476263,-0.020127481340188023,-0.18267012701196705,-0.6524326939959706,0.37347774270698864,0.11287158178901839,-0.07556551642433301,0.1319081168037489
T2_P1_V2,vpa,-0.623064986546173,-1.4179515500052735,-0.9860489177151897,-1.0783022320298237,-0.19446725361541983,-0.5654322808741925,-0.7303627266316929,-0.31840756187015257,-1.2197984428300825,-0.7534937655434804,-0.7040058057573306,-1.0098409665260901,-1.0185526409789787,-0.42716637169174715,1.4741943308041048,-0.8053721520234156,-1.1148213017417288,-0.9499079778431243,-0.5966991783803266,-0.9686922519365774,-1.1449270735217052,-0.7890463327949316,-0.8861933223804659,-0.8552841489068604,-0.86415212476818,-0.994660017199017,-0.4198141547649342,-0.7095101766506378,-0.8412214802632013,-1.0549329639286014,-0.7276023462111249,-1.2991753152268068,-0.8268425555217797,-0.9163699529360464,-0.44381533566223635,-1.0871005144298107,-0.48329850094768234,-1.4531762093084288,-0.48292183747794065,-1.0007560258792323,-0.7392414037185879
T2_P1_V3,vpa,0.46604632065326923,0.8488209852438023,0.5944699089808996,0.6080497150537448,0.010120669724585949,0.40253416923458385,0.5625591703864634,0.20667095155168796,0.7128669430162365,0.47309653346038466,0.28367117606995235,0.6999655060152383,0.6629214870753064,0.29480188862851653,2.928966196722649,0.27035730622476845,0.651634031172286,0.5261962544264724,0.3661043256209121,0.7051017236501604,0.9012143650547172,0.5552219876893384,0.5557974179540974,0.47463942558156247,0.5424288259934151,0.693032318352812,0.4948326229005864,0.527455109808186,0.5832443017085173,0.754608530776764,0.2512827108826477,0.7959281848226488,0.25786614594652235,0.35791457929708054,0.37018464727952405,0.13786099178974692,0.7034039112433162,0.9059637707430571,0.3239441517781964,0.49420206729928073,0.5045746564583167
T2_P2_C1,cntrl,0.17840805617715125,0.6044697642702996,0.3688061145624476,0.28470371451469634,-0.007816538668459255,0.10963367533956013,0.2328479095797808,0.12063085457978606,0.43291667472731993,0.24454936411179212,0.4707804695670154,0.31775756202393446,0.2883668125279702,0.13169947216443129,-2.770433852704384,0.4146297843895239,0.43027455264745196,0.2028290410448045,0.05845711506591244,0.3903833119133381,0.6726512043266154,0.49960984329185654,0.34779212906076173,0.4511658360446846,0.22153782777774525,0.39929715699816737,0.14305918149285984,0.3480951372899605,0.4441718127057744,0.2967522548121203,0.3163838842480815,0.5695868193092812,0.3220336096085688,0.2694536847122513,0.2191633755355968,1.7199263149963322,0.30034509805311654,0.7166774685261658,0.27604646850085274,0.6140114381288388,0.26980347359817775
T2_P2_C2,cntrl,-0.2679776350093539,-0.21608214503644946,-0.03155867530865915,-0.07002420293413258,-0.15850474198080808,-0.05433430113097743,-0.2314686141504771,-0.19368509366462588,-0.11778795686216369,-0.18756111289052058,0.1252515585611617,-0.08141156412849379,-0.06903660718802393,-0.1421297623193009,-2.9631073733708346,-0.13819799488865153,-0.07509589916574141,-0.1610733857443686,-0.1444118443164714,-0.10480985634172328,0.09200532100699382,-0.14792374046836845,-0.07976309602302475,-0.1035254917796964,-0.13298792948609722,-0.14929473028798904,0.04464208111095113,-0.24989984769599172,-0.05180344729565581,-0.0723127100342553,-0.16854671288282053,-0.20596226909038517,0.07170465542320811,-0.21506879551152144,-0.17185923528086494,-0.271450416823659,-0.3266192463855613,-0.16941397176704343,-0.15344452179393891,-0.022698297056925727,-0.0891764835407526
T2_P2_C3,cntrl,0.2788395239762204,0.6472190756487495,0.4678973252698941,0.5803381802787445,0.013585712878209404,0.31218472830357574,0.35876422186249146,0.07082422451119559,0.6714384803540598,0.33963044192408914,0.4244957617794423,0.5066012143522192,0.51250608188365665,0.15459251293115472,-2.3796680514468433,0.45809860457789753,0.5896134407282114,0.6268512456428044,0.2801775648860291,0.6461807210815744,0.6758273111497112,0.45252994330351626,0.43663351876558076,0.37014514757901784,0.3715179388334179,0.5589161994024939,0.1307105422516309,0.22205269485817347,0.5121168431441825,0.6409094127681093,0.2901231809306388,0.7561053272419687,0.6295552539887139,0.7417347852799302,0.21379467585709047,1.3118673627829134,-0.5339800501239985,0.7650860261858967,0.27083472810645476,0.566987615256792,0.34241029343813006
T2_P2_V1,vpa,0.45505212244010623,0.7122832457195017,0.5379147805728919,0.5354944968697373,0.27680284800097843,0.4878897086157578,0.8060937443436047,0.3683632201230596,0.6740441570236929,0.5918381817604963,0.24008877396538553,0.5602679177543146,0.5963296452968824,0.42629356171729615,2.8853446599944963,0.3951935807688166,0.5222412592679667,0.7037223319115588,0.41429914997732775,0.6576323108633524,0.7051404624475462,0.4837862195728959,0.49360873975455144,0.5966801919067246,0.544934506805832,0.5335945637952592,0.47568778542352913,0.34827586615043066,0.6048033494829722,0.7694011968640284,0.446378284291523,0.7283471450564787,0.394369329241067,0.7207100922025805,0.38683952538435007,-0.11569107548870936,0.08145036207363082,0.8600869886400717,0.4996979363192307,0.4750933380274207,0.4446889772215417
T2_P2_V2,vpa,0.16729306582325515,0.7185212620146055,0.4837500197157252,0.5435769951880556,0.29113204564659645,0.12487648713389606,0.3588269625562138,0.3469876385632156,0.6180334473066477,0.42676104533099246,0.0921600488708691,0.4966809491055214,0.5035546002887414,0.3571486204596697,2.6991258045006385,0.4225400748493754,0.4556136696335518,0.5044623899531406,0.38977712425639643,0.246511498004724,0.28330313130094953,0.41700784379950184,0.3768241373216593,0.5183938524592185,0.4805226965522563,0.4471014393270456,-0.00895980962785018,0.28158274130612165,0.4351112984561118,0.5654164422893646,0.18461394933184352,0.5846629949572255,0.1581184236892828,0.3711876055587743,0.1974696058525678,0.02263295770873458,-0.010389535894782233,0.5218666627597394,0.12110360657861069,0.389739977774517,0.33750619698288675
T2_P2_V3,vpa,0.28800083511637964,0.7045575417924376,0.48803411771529315,0.5844324349683804,0.12225099560201282,0.3853268324283909,0.531416010037245,0.1667497593557279,0.6703237045595415,0.4261201768303459,0.21229516290334968,0.6274306076796242,0.501245996881048,0.26186467310296224,2.7706314265384338,0.30573250546199016,0.5777279134091782,0.534538460132416,0.4078856498075877,0.40689976817142653,0.8084198206937064,0.36573550175222347,0.383055922615842,0.6047627234623572,0.5212725395368358,0.5460516807147943,0.4272562330572892,0.4488261493537448,0.3717113660876387,0.5652990134440674,0.3322269353929007,0.6579949042743258,0.2666828860661404,0.40624923763201276,0.31732064112388497,0.849791216283266,0.6596060262576516,0.5666545611153796,0.2213640813487919,0.33306160909776156,0.4291692497281171
