Samples,Treatment,FApM1,FApM10,FApM11,FApM12,FApM13,FApM14,FApM15,FApM17,FApM18,FApM20,FApM21,FApM22,FApM23,FApM24,FApM25,FApM27,FApM29,FApM31,FApM32,FApM34,FApM35,FApM37,FApM38,FApM4,FApM40,FApM41,FApM44,FApM47,FApM48,FApM5,FApM52,FApM53,FApM54,FApM56,FApM57,FApM58,FApM59,FApM6,FApM60,FApM61,FApM62,FApM63,FApM65,FApM66,FApM67,FApM8,FApM9
T1_P2_FA2,fa,0.2759423447388523,0.02573911607098515,-0.056177018132328053,-0.16537631989376875,0.015599706871255642,-0.021598537013709854,0.12929965386879355,-0.06188347987322314,-0.057571647060507006,-0.9283076546682338,0.2328429417773274,0.012730744969341274,-0.09206069784783742,0.007477099874696278,-0.07166766775938391,0.18832953259753413,0.0175009020690662,-0.06473114706551543,0.13440537350879228,0.27379621938758564,-0.028469976891604642,-0.039594085178890445,0.021273783016524227,0.1544936260316689,-0.4827934114323108,-0.3236870971166944,-0.10439603965457425,0.05645137346028439,-0.024727945975546006,0.043733001690328004,-0.041351262628858534,0.049135337394976566,0.999370980848906,-0.09090729701406079,-0.2139565353073136,-0.040756058812342844,1.1503709727647775,-0.029751351360392756,0.4147836698009152,-0.011689863478855398,-0.08025679999638577,0.013156078536753824,0.01498058529009142,-0.3126198138289038,-0.2582345717209747,0.054223061162295236,-0.023725863330674134
T1_P2_FA3,fa,0.327472543713523,0.09479150191472455,0.002196022193023516,-0.06291869059033867,0.1576280990441694,0.4245258134835267,0.32300827599205906,0.09603472003295774,0.02266056128892587,-0.6612739928708578,-0.5736545871829777,0.0793100826186767,0.011015794363059335,-0.022751228644542598,-0.00423118633779334,0.05719608333493882,0.23686145154579033,0.02901466785461633,0.32998261939113865,0.5619685371326214,0.11093422992430164,0.024257205209414802,0.09745916688599354,0.3041900326207254,-1.1364805289992015,0.0290300931384775,-0.010622461145875893,0.13634568945231246,-0.30634243939673717,0.034598955180873164,0.10649023038450987,-0.031059240960605288,0.517497407874118,0.17505298152468587,0.09453587744153683,0.16936056342393954,0.6391569943538135,-0.016669686925044707,0.26194009685954256,0.031785992562327565,0.05604092164627923,0.11968015734066657,0.04688025696760406,0.24754747356642504,-0.17894795414223635,0.0984532022851747,0.03620302295568104
T2_P1_C1,cntrl,-0.2441268902843584,-0.05898558901073725,0.02080709445381386,0.1385191830340874,-0.06468929912440105,-0.11680471172825867,-0.22907897393554386,0.0015309338866000928,0.04166962908964217,0.8821945366361078,0.29254529448692634,-0.03973336114874973,-4.578115832841456e-5,0.004482640257329345,0.08625628435821266,-0.4640088585433287,0.032756293295545066,0.0498684139916973,-0.3513745592772502,-0.22209100818560426,0.03161135321456926,0.07786254626712204,-0.0722230441500671,-0.26138243673672507,0.4052824514514907,-5.840682437315559e-4,0.006407032270560218,-0.06879541430065902,0.5598402065878169,0.1518573738557667,-0.027805215975008322,0.0031475037902018114,-0.37471473251569454,-0.07920886548155585,0.02127751070823232,0.136468339768182,-0.8661398038171141,0.07919734199847017,0.07627604089008543,0.018486519022822723,0.07958519523079186,-0.005974186123075191,-0.006461290510696983,0.06775656796935153,0.11886781427021319,-0.02757577590724753,-0.03661979929480825
T2_P1_C2,cntrl,0.015677568754227912,0.01554935765794484,0.05655090006203001,0.036278936298222465,0.017059922574866066,0.020542583470988994,-0.07157274976096749,0.052819242903010086,0.08507371513816336,0.3900182069298792,-0.13011159805829417,0.01395538975529592,0.011659333206201395,0.055699240770969986,0.01704301320173456,-0.8823285800679096,0.08545688739255991,0.04784757692210949,-0.17382900188800138,-0.04859470628613642,0.16248331984829512,0.02862432865436531,-0.034332614826224545,-0.13055990394515782,-0.01991470240283083,0.3564255059596938,0.011068176200757738,0.017586198027892793,-0.47528407466453837,0.018579782208804393,0.005538203918168266,0.02343003213742347,0.10258688743228214,0.7405874167885232,0.05888786620585412,0.10433172916154569,-1.2026344318931916,-0.006040020720046977,0.20179435940715154,0.050586708930469654,0.0626388014800998,-0.0035021981452317353,0.18161824484961467,-0.3203545186916747,0.08784995681139018,0.7172499991990778,-0.028487821073200616
T2_P1_C3,cntrl,-0.33968619745926815,8.293917652611518e-4,0.04917337890773662,0.0917062295170605,-0.15576448933418247,0.11685350681972115,-0.16267308579616743,-0.06466326589212713,0.019646058690906007,0.89165037151835,0.09154048094230735,-0.020245388478375072,-0.01416923116360384,-0.08661563318406709,0.05668465869833546,-0.39104797905200084,0.04963595488307069,0.03312085940106585,-0.3133024171174626,-0.19515693699393397,-0.015583046238774285,0.025537460576157103,-0.08154448823809764,-0.20331588912402623,0.8195235292933949,0.45775989334375516,-0.020134291461699004,-0.06480101885593352,-0.9006863883778132,-0.0558765216725329,-0.004744977593263845,0.054613395289155514,-0.41040789696129315,-0.8136676062299568,0.19654375074056893,-0.19819477385098,-0.8386903175989008,0.05301152341123332,-0.27884411378213814,0.0727273366324153,0.0418012794856001,-0.07241607224775375,-0.15062411867953487,0.05976093687612447,0.17624880856409306,-0.7191303974863753,0.0038458535160623107
T2_P1_FA1,fa,-0.029181746387270918,0.03573280269794609,0.11197705046509619,0.1300454007499483,0.05561052319060144,-0.18781590031916146,-0.026651250210277956,0.12776621453487919,0.11208299844163207,0.48319748614096625,0.24537120416962432,0.09590362532573012,0.017849351431249317,0.05589064363270615,0.10881366287449548,0.09018930745158038,0.03888415446334343,0.1103848460550607,0.0022414378867134377,0.4349963757828137,0.07535558111360363,0.13689265988878943,0.044541652055592997,-0.06309844213089871,-1.4301453950992218,0.54789291577596,0.13701546853498664,0.1133443675227732,-0.4243057909511321,0.04833720894204076,0.1827199712495187,0.14462492494078902,0.612569174831634,0.048615358694086924,0.1932142491727766,0.06133939406697476,1.099366163983074,0.0518258372077344,0.19631115775534116,0.0405813822086558,0.19499529372423138,0.16464382934119948,0.5212733764211073,0.12417773679448982,0.3644701237883533,0.3374653521663945,0.042133284879484825
T2_P1_FA2,fa,0.4450086995533336,0.029579870954023507,-0.05206537441752151,-0.06549346422900293,0.21548032661972966,0.0666097349011555,0.05022391249929499,-0.055590658913010585,-0.038485495405769815,-0.4842520942043069,-0.07081858547413246,-0.05036365032348982,-0.09801569012999217,-0.0447003418246453,-0.025807667272316887,0.37305199498769176,0.18066041526288298,-0.04363096841175038,0.17377527078012733,-0.87610207029724,-0.01715077147391565,-0.07658542048716696,0.08630756887919583,0.07062389075051852,0.1988247227601188,-0.2773615966132317,0.0376116416207601,-0.013597511158713483,0.007323327519962772,-0.008289394465482497,-0.11592438501509951,0.05077587463242475,-0.10447044542657688,0.0261601950822727,0.02937491237454092,-0.05981206602796151,0.055485510453234105,0.06793188671037459,0.3253238433884438,0.09127956906840899,-0.028888994929097023,0.10495078343546047,0.6330043641000903,-0.07839646176995961,-0.010010967812854508,0.33885380162435413,0.10312512114529093
T2_P1_FA3,fa,-0.2869984161488828,-0.03079060144987252,-0.018420547415710524,0.09003417076620704,-0.14612847378822696,0.009197583247423466,-0.09114116971825088,-0.06569095690358022,-0.060910751914862934,0.33643487043424036,-0.02486994153539392,-0.023068667944532474,-0.05518656813547733,0.03921722364129844,-0.014535943898173847,0.14807394364416668,-0.20500425142268897,-0.014267132861095674,-0.14181048292312376,0.0014380030457612075,-0.0872031612230631,-0.026406924482765867,-0.11027117908292548,-0.09530176847597045,0.8338656280059105,-0.48270365373113344,-0.07978929522648755,-0.04067688225398851,0.06857737177182273,0.16762666011114472,0.09411001076752208,-0.044591010611915005,-0.3486038909298369,0.37408817681945,-0.3707163260620203,-0.04927405721367932,0.9965448034274784,-0.11513065178940918,-0.1651883825786715,-0.034959875824720606,-0.11120148536029288,-0.022486811133044324,-0.16365340358440075,-0.3721757718525485,0.20512158613887402,-0.79325667707969,-0.03439308044164071
T2_P2_C1,cntrl,-0.14959946107167232,0.00423409311342627,0.01915912712438442,0.1102263758128931,-0.07596624261497784,-0.06369308901394945,-0.087350692446979,0.026192556956011588,-0.0017807292380574262,0.4118939357863744,0.0722202490334457,0.0012607229485520587,-0.00969801027901852,0.03931931456637173,0.03282700689039539,-0.08067550504886198,-0.10294883767005787,0.01799215559329063,-0.07540070092647018,-0.6909075900702647,-0.021149575440188483,0.013778257961971482,-0.007657341320209492,-0.08058056401917926,0.24273101392636925,0.1461911696762555,0.015029369144267115,-0.023378327798086917,-0.29104041313625456,0.07874447396054686,0.041650363643197935,-0.09855612286649196,0.5698726477175323,-0.20774523419051089,-0.20060860625118465,0.14975726438265513,-1.0890008858990357,0.04134269131898739,-0.280404500601934,-0.12394235085648679,0.09481525322820637,-0.07993656447258748,0.36451353883055665,0.2872065360287798,0.42118961333492855,-0.3989762691458946,-0.10859427798309126
T2_P2_C2,cntrl,-0.04686553957477603,0.09858073179933215,0.10605416557599127,0.11807222387032736,0.019032760267637602,0.015180862084907258,0.09081970134257777,0.14659019578366086,0.12931402205939324,0.09197772853519708,0.4741250406272348,0.10159282088914166,0.11931350539430867,0.1347279618574443,0.10198908172675308,-0.29228654963282574,0.12175078855719115,0.10641612815373207,0.1719186735579346,-0.05814496383594109,0.12199740489051844,0.16015804369595504,0.11819829752059251,0.03974950931307941,-0.7607421720831746,0.2931839070279882,0.1220552818268013,0.07824610049963403,-0.7058472141282588,0.2506787514018949,0.058470198565851825,0.15764055938104252,0.9207343061173022,-0.06959128929956597,0.11786674082722778,-0.04687177199078083,-0.8177094723620918,0.0062123458430120015,-0.1307077213419984,0.17081911848773523,0.11392062908443396,0.11538988345393371,-0.012808406820103594,0.07855535559990354,0.3195678253835718,0.30492677672670737,0.25526477544239473
T2_P2_C3,cntrl,-0.30983512103831595,-0.08280846539407742,-0.013910845541341229,0.03865454348275904,-0.12960157266799482,-0.04202280317524673,-0.22561076478151834,-0.01863471970286047,-0.07898926822410382,0.549541002607997,-0.15911620421847064,-0.08862282169775032,0.07945129756259929,-0.14075891816722766,-0.04031460818094772,-0.07038411403191805,-0.17235076547461992,-0.06044817322549916,-0.25488233086812967,0.3496931687571499,-0.07937155446969897,-0.0686317884632156,-0.16065178781721554,-0.08379413129388699,0.9317907783959476,0.3076643754360694,-0.08795680287598276,-0.18110966727826477,-0.85607358245538,-0.012509028762497492,-0.021321018418055396,-0.1065200430882843,0.25532214440696177,-0.5472639792020556,0.09055966809450593,-0.026845305912017663,-1.1780098065286162,0.1027927797289594,-0.5512382455007142,-0.06948297584970645,-0.1404928171336032,-0.12739734671474648,-0.9022685512481069,-0.289144743894191,-0.1761482187105906,-0.024842905907463374,-0.14332134447809286
T2_P2_FA1,fa,-0.24657639309027546,-0.1059036682329947,0.024372586672982848,0.08023559864134629,-0.06951365912730707,-0.2865658405610191,-0.22703332062853673,0.07901267174191613,-0.043044185308615396,0.5758802700547031,-0.07619050539980694,-0.08479652018733369,-0.017939476790353733,-0.055825281050793735,-0.003645527985998891,0.15736445163523932,-0.1875841410585183,-0.004621510447829472,-0.26762934600493765,-0.0831784902091145,-0.061663857999083985,-0.03481945779379116,-0.14323036071005868,-0.21816398323124808,0.7108677750086885,0.12840318290966124,0.0329381718566439,-0.12688392915500668,0.7910938472096871,0.015274069937719757,-0.171941439447149,0.04189600658573593,-0.7111447554612038,0.11044957195627578,-0.059611261714568445,-0.30111046417330395,1.0371887808656932,-0.08331367368769783,-0.0015851416261209728,-0.15825006845225187,-0.061305761869614984,-0.1005025621499418,-0.28541385027035693,0.3854892066875268,-0.07315608590934071,-0.45181899542205883,-0.01937371224685052
T2_P2_FA2,fa,-0.020518098380313446,-0.0625369285964978,-0.03440853938657804,-0.1263950158241002,-0.035096494623138325,-0.24057919482254164,-0.0745525059031056,-0.015303530623808553,0.016963591048777715,-0.24434321498828465,0.017796912096924487,-0.060219198742178646,-0.02699747839754762,-0.08580814876765148,-0.04419808460161516,-0.14420628389958515,-0.15137080388798277,-0.043375462533662326,-0.28652628027750565,0.1326101658217789,-0.05139091143136715,-0.03239019372368267,-0.0370370011479695,-0.059892117488192606,0.9332826358931205,-0.22946178803442596,-0.019118208897724726,-0.032036700658220355,1.4458477319141616,-0.3047632893378984,-0.21823419776855182,-0.09819439664897986,-1.5411553221103598,-0.35359923931854637,0.018123800427221514,0.1298381680596939,0.5569984689617831,-0.06305571084578515,-0.45187126261762356,-0.023951916922271475,0.04977571714958153,-0.02333305097346484,-0.6956824881015669,0.0652328228517952,-0.3712315826636289,0.07517395523851664,-0.0984667099017553
T2_P2_FA3,fa,-0.16409592016729463,-0.04160352414691357,0.01044093732795506,-0.007959462662327292,-0.14738394135476124,-0.01687453940119097,0.09875490623855279,-0.03515046485889056,-0.009713822190324347,0.035891408682837245,0.07503317279957582,0.044583675103096264,0.11688596222518108,0.09505253615757701,-0.001038843629959485,0.169904666314565,-0.17849034253689156,-0.006536818422470466,0.14616872663941133,0.4468290187189796,-0.05903483460283494,0.0175923402094719,0.014857930421897314,0.021553471601566312,-0.5496668741930044,-0.07074721687227349,-0.02203909915444076,0.04603476893189726,0.6946255530196274,-0.15065291364674144,0.13651754868417623,-0.04816561762257289,-0.04778773578509148,-0.24874612160349324,-0.018037659556530663,-0.16015952609957146,0.7886027809004641,0.00574165977664725,0.24853770792739827,-0.08003468706487847,-0.058104502761044105,-0.12368293512709264,0.08077374256020449,0.1715447305160709,-0.10912367851787287,-0.28047524870098867,-0.06327741446445806
