Samples,Mode,Type,Group,VPA,FA,Plate,VPA_FApM1,VPA_FApM2,VPA_FApM3,VPA_FApM4,VPA_FApM5,VPA_FApM6,VPA_FApM7,VPA_FApM8,VPA_FApM9,VPA_FApM10,VPA_FApM11,VPA_FApM12,VPA_FApM13,VPA_FApM14,VPA_FApM15,VPA_FApM16,VPA_FApM17,VPA_FApM18,VPA_FApM19,VPA_FApM20,VPA_FApM21,VPA_FApM22,VPA_FApM23,VPA_FApM24,VPA_FApM25,VPA_FApM26,VPA_FApM27,VPA_FApM28,VPA_FApM29,VPA_FApM30,VPA_FApM31,VPA_FApM32,VPA_FApM33,VPA_FApM34,VPA_FApM35,VPA_FApM36,VPA_FApM37,VPA_FApM38,VPA_FApM39,VPA_FApM40,VPA_FApM41,VPA_FApM42,VPA_FApM43,VPA_FApM44,VPA_FApM45,VPA_FApM46,VPA_FApM47,VPA_FApM48,VPA_FApM49,VPA_FApM50,VPA_FApM51
QC11,pos,media,QC,QC,QC,QC,35874.26535,53648.33543,187706.9874,20887.57326,121826.7579,81350.24478,14264.81625,1167.645428,113418.6,148426.0737,397605.3052,168909.3139,70244.1236,3767.97794,48102.93428,472198.5403,540329.3712,17142.82978,40244.28948,1585420.986,7730.581543,137352.7551,139653.4805,20980.36149,6129.925932,19242.16199,355988.8993,117936.6856,12893.25215,221181.8593,18374.34472,6762.38069,79528.61221,30809.27077,20983.65953,895.7249474,3139.250285,2308.108261,3117.529666,7192.01411,7313.668171,450.3961082,11869.96255,3717.311383,1742.097985,2314.351871,3025.278407,9186.005391,13758.22195,668.345672,1583.797768
Solv2,pos,media,solv,solv,solv,solv,16464.94871,56391.80705,29286.63187,6488.051231,23069.97457,65765.60688,12011.514,596.4930346,58548.67267,43686.84356,85155.53962,16717.20128,7203.767585,,10834.04776,52150.80252,66310.38258,10557.13251,4373.306424,39504.61443,7165.63654,23957.91688,17598.30744,10455.14846,1473.141469,11103.7356,10495.98032,2487.521196,11572.21518,15301.47704,11972.22869,7399.068157,34054.24044,6296.001774,2624.97036,181.4799072,,553.7559707,360.917678,1972.826855,,76.660625,,3591.613106,256.4801677,241.2159418,1082.166719,4756.571476,4179.558957,80.54608802,78.27017162
Solv3,pos,media,solv,solv,solv,solv,9519.294301,40352.21519,14705.17799,3437.102745,16603.98126,42125.0365,6341.704456,81.00325,45850.42602,27532.3513,67397.01327,8337.462281,4077.487705,84.07152611,6319.616302,30459.24443,41481.10307,9664.895451,2836.778558,26723.6704,5071.437208,19703.80264,9351.418933,7558.646053,1028.295156,8621.139385,10229.30073,1308.291371,7270.493012,8294.281363,6721.419238,3805.821285,28502.3285,4519.564774,998.6669718,,,160.2632906,36.51881728,2164.775914,,,,2591.057362,142.5079493,84.43917266,152.9423822,2558.458921,2135.672539,,
T1_E1_C1,pos,media,empty,cntrl,cntrl,e1,48626.08739,60122.71155,146059.6261,24893.18669,157012.2234,98362.83305,32677.35014,2471.243073,135272.4122,163038.6678,465521.6117,207130.5669,99253.24338,5466.27946,52503.48697,647879.6297,671735.1609,18424.48738,68623.5122,1623778.019,9161.053596,144920.0947,177335.6104,23986.0577,7615.239799,19144.60379,388831.7709,130788.1614,13759.09373,241005.9791,19015.4617,7245.031827,92152.59695,33254.66684,59534.30129,3801.713252,7595.719716,3332.946856,3417.693138,10098.8994,19847.54609,,31930.6869,4802.372711,1852.841021,1100.466558,4134.711154,10365.30547,11494.63771,788.1098694,2899.562434
T1_E1_C2,pos,media,empty,cntrl,cntrl,e1,55419.18276,61390.45659,157172.0444,22762.64323,144237.3111,103244.202,36942.16379,2456.494897,138297.5349,177591.6039,497405.3502,247152.1404,92792.3007,5539.999495,56347.99374,631606.6345,706547.3773,22638.89555,70512.22264,1756611.802,10985.45626,162633.4976,186488.1127,22182.97464,7097.538784,22375.20671,422423.4466,142518.0533,15264.81232,269099.3871,20586.24951,8869.731652,102621.3873,38347.37694,65615.91564,3859.086117,8339.944331,3367.577329,4265.435237,11097.95587,20955.95736,192.2232652,37471.96611,4890.364206,2000.435126,1074.209318,3432.17538,11995.6542,13585.20292,1719.578115,3730.514772
T1_E1_C3,pos,media,empty,cntrl,cntrl,e1,42129.90974,60755.9369,149865.3823,19844.00459,137605.5527,87560.85179,28288.85577,2586.200279,116518.5263,164486.6384,448519.3166,220386.1042,80198.75827,4924.28982,50599.90687,590557.7697,606864.529,29183.52217,59229.05468,1576021.76,8891.212934,135721.5154,164988.3385,23476.57933,7197.557769,17471.45154,363346.5706,121501.4087,14067.37222,227637.6725,17729.07576,8495.3244,78967.51841,33304.72326,56406.87059,3828.223487,7452.940869,2875.245155,3208.220057,9542.622103,18528.36736,98.33121173,29983.26191,4951.938378,2014.850942,590.3202731,2190.624352,9590.742213,10302.11286,552.4732054,2118.009527
T1_E1_FA1,pos,media,empty,cntrl,fa,e1,50827.32838,61766.09677,158043.3686,25380.81588,157911.0056,98168.38466,35908.09879,2838.204077,121749.0662,173783.7299,496086.8307,241002.4037,98127.33564,5639.845551,53739.97732,615700.1758,698893.5937,20290.65289,73692.7928,1745414.453,10067.08564,157950.4908,185394.9422,24241.92766,7804.964223,20361.4037,407210.9038,138635.1818,16281.48851,258751.9218,20207.92113,8003.640007,101447.6999,35436.67412,63627.15862,3358.285752,8457.031992,3244.402404,3771.087448,9501.106247,20804.7248,212.8230386,35130.81973,5007.595196,2253.951152,5363.157023,3146.07898,11652.46498,11878.38707,1935.986914,2191.022737
T1_E1_FA2,pos,media,empty,cntrl,fa,e1,43270.52747,54813.61986,120452.671,16531.36759,134956.7379,84057.14256,27249.87885,1745.826122,109932.3843,139109.3472,408930.0061,188769.3827,76639.97631,4338.446727,44354.85133,513613.6408,480573.2322,16516.857,57417.76356,1348686.18,9196.46121,127708.3601,146154.1733,20474.55687,6186.223436,19110.29666,306452.3237,107071.1,12689.44048,197947.9092,16250.25712,6801.952847,77560.51239,27049.85057,47973.36947,2331.57597,5661.568954,2013.28853,2351.170667,8882.626041,15895.74493,128.4990956,25297.19962,4236.935889,1565.628101,3707.599985,2708.384083,9260.804924,10703.12732,828.2464406,2121.389451
T1_E1_FA3,pos,media,empty,cntrl,fa,e1,46088.02152,58208.24007,138242.7242,17785.96868,159442.8893,89953.61807,31444.96093,2176.57554,120061.7635,160215.8672,439606.0278,222004.3494,85007.47678,5602.084534,47341.00788,591789.4393,619872.8424,19786.03406,61788.20611,1578090.28,9402.710453,139590.2108,163554.3666,21335.67521,7077.369087,19417.34677,378967.9877,123108.5638,13837.56024,231634.5448,17959.97961,6354.43126,86949.67708,32277.71605,57293.52409,3227.175796,7551.195089,3011.830741,2049.186115,9871.437138,18130.7344,,29741.36884,3957.84974,1798.49639,4638.493026,2332.912771,10215.46635,10539.46211,393.9756338,1513.716918
T1_E2_V1,pos,media,empty,vpa,cntrl,e2,46529.17157,60733.23692,150071.4117,21065.79542,135504.8087,98181.19383,27739.51866,2643.562135,123983.9854,165127.1919,474393.8357,233315.8904,89642.78759,5909.498313,53884.54249,645925.7483,678893.2626,30906.8625,64649.23358,1668324.139,9620.407106,149695.3012,183011.0927,19584.59912,7406.559815,20623.21436,391278.0208,123532.4474,15970.12538,252426.0911,20752.95168,7761.073753,86650.65065,37754.24223,62106.45785,3074.059087,7578.858661,3333.046821,3233.990074,9529.285588,19373.76928,342.1111381,32476.64905,4716.59924,1704.41355,708.4600552,2151.332554,12658.20107,11691.66199,1261.41192,2505.38829
