Samples,Mode,Type,Group,VPA,FA,Plate,VPA_FAnM1,VPA_FAnM2,VPA_FAnM3,VPA_FAnM4,VPA_FAnM5,VPA_FAnM6,VPA_FAnM7,VPA_FAnM8,VPA_FAnM9,VPA_FAnM10,VPA_FAnM11,VPA_FAnM12,VPA_FAnM13,VPA_FAnM14,VPA_FAnM15,VPA_FAnM16,VPA_FAnM17,VPA_FAnM18,VPA_FAnM19,VPA_FAnM20,VPA_FAnM21,VPA_FAnM22,VPA_FAnM23,VPA_FAnM24,VPA_FAnM25,VPA_FAnM26,VPA_FAnM27,VPA_FAnM28,VPA_FAnM29,VPA_FAnM30,VPA_FAnM31,VPA_FAnM32,VPA_FAnM33,VPA_FAnM34,VPA_FAnM35,VPA_FAnM36,VPA_FAnM37,VPA_FAnM38,VPA_FAnM39,VPA_FAnM40,VPA_FAnM41,VPA_FAnM42,VPA_FAnM43,VPA_FAnM44,VPA_FAnM45,VPA_FAnM46,VPA_FAnM47,VPA_FAnM48,VPA_FAnM49,VPA_FAnM50,VPA_FAnM51,VPA_FAnM52,VPA_FAnM53
T1_P2_FA3,neg,media,sample,cntrl,fa,p2,32230.83802,76245.06112,56414.69489,74224.91648,5560520.953,31757.39744,13472.85925,12625.31256,15854.85439,48106.32068,5434.248078,20262.8093,28068.21823,27897.81482,74291.21333,45005.5308,19326.11456,141929.7445,7864.267801,12434.4075,774978.4881,110549.1304,85906.17385,80359.78593,12871.34177,31711.271,12696.79894,267376.4338,6424.644007,47701.80316,19222.96214,23579.61693,1265.362636,20032.3468,24478.04956,68082.51167,14861.33884,4022.358499,9613.988944,17913.35356,400079.6751,54210.77093,31034.73067,7109.781068,7179.185936,20472.3035,4952.786575,22785.44637,,,,14651.05345,75.81835409
T1_P2_V3,neg,media,sample,vpa,cntrl,p2,37826.37906,76749.04934,53176.67332,82663.06279,6390078.265,38393.64234,14999.74736,13181.68337,16628.78805,54290.37019,6392.069941,20639.06052,45121.77971,48673.92724,81685.67658,49945.10996,22603.68613,162201.4525,10451.31203,12864.41119,934465.4482,110111.1578,105384.9693,106378.7862,12886.92934,36749.25667,151541.3122,313625.5771,5993.707854,59397.17368,22560.08512,25335.92086,1466.422206,23981.24348,28345.03687,76100.61403,19334.35897,3177.089209,10744.64616,22528.05594,476026.2144,61859.08787,35592.55676,8216.307309,7739.608644,25054.74685,5479.217177,24809.63373,,,,5773.199724,
T1_P2_V4,neg,media,sample,vpa,cntrl,p2,49213.91387,84369.70732,60947.99687,95466.44792,8284693.362,39561.04316,14941.85976,15270.3062,18534.46504,58854.95925,7350.819155,23471.34758,46999.49042,47919.64138,96534.51316,55806.98446,23031.82294,188567.7481,11888.77996,12563.01343,1183673.543,121512.7337,127701.8598,130977.9488,13681.84951,43860.27247,177044.3111,374111.0083,6030.689009,67224.78837,27377.90859,29515.45133,2574.587034,22190.25419,36724.02745,96592.07058,19074.52099,4266.575478,7443.511694,32099.49223,578304.1654,76535.69279,44814.89917,10976.25873,10636.47757,31749.35584,6768.740447,31049.90812,,,,7264.056695,156.0884873
T1_P2_VFA2,neg,media,sample,vpa,fa,p2,39779.25848,82930.27953,57031.70037,86101.33503,7194619.135,35587.3879,14957.64032,13866.04938,18704.78142,51921.93273,6881.001208,23409.6539,47585.15451,49620.49427,90215.41201,54306.35476,23769.78256,178485.5563,11128.77531,13990.81547,1014362.306,117767.1857,121361.9741,116362.7624,14138.31232,37752.77633,177215.6551,329816.098,4842.869378,59221.5929,25544.99747,27158.19477,2026.113976,26425.13503,31368.66997,88026.49083,19563.37031,3854.445862,6745.183079,31436.31407,518002.4624,69705.75085,40114.87844,10063.6604,7741.486003,27814.39402,6040.211071,28551.10217,,,,23088.90121,471.8533736
T1_P3_C4,neg,media,sample,cntrl,cntrl,p3,36691.94408,80513.24169,51496.60454,80025.50153,6576011.818,32686.85033,14654.87493,12546.84536,17014.43534,52056.05003,5936.720943,14760.91186,29238.7153,29829.02806,77075.32555,45677.31972,20407.23208,148500.6053,8786.911931,11673.6672,825331.0203,109546.3753,99338.89291,95366.62583,12704.17625,45104.44303,11209.06234,298063.4627,6022.209423,50046.92408,19902.55913,24814.26122,1945.433159,22553.53596,27793.99063,71750.44537,16968.60014,3381.962957,6155.058472,22050.62026,422733.2052,57640.09224,33572.44949,8742.276915,6653.077741,23850.28053,5427.306426,24429.15669,,,,5082.942251,
T1_P3_FA4,neg,media,sample,cntrl,fa,p3,43052.24285,80312.746,56613.06626,91909.85509,7896761.396,35582.94226,13595.14902,14134.11145,16601.98137,54714.97006,7030.37981,17555.06319,49113.52055,50989.35007,90191.75572,55267.10623,24424.98752,178882.301,9659.60336,12889.15069,1030219.476,123447.7465,112345.4138,115650.8269,11447.66901,56118.65555,10349.5976,361845.6145,6332.596741,63999.43205,24017.62468,27263.92077,2402.560096,26924.93119,33501.29148,86836.42883,20020.47211,4085.850606,7265.990973,33702.67971,524379.2064,70665.04322,41360.5685,10001.29795,8535.801217,29522.5615,5355.664024,27554.42529,,,,24150.52373,883.6444157
T1_P3_FA5,neg,media,sample,cntrl,fa,p3,49226.05699,83019.78303,58790.51151,99106.50165,9380598.149,40973.44059,15922.32507,15702.40649,18228.45674,57857.4202,8987.997247,24211.30051,60853.47455,64148.55365,100310.9506,59696.40012,24078.92714,191688.3664,10847.7889,15728.46859,1252965.637,138309.0201,129254.1304,130098.6434,12405.86916,51091.36111,10861.42,405540.7625,5887.865257,72550.213,28405.57216,30101.48114,2548.772583,28924.0954,37790.25653,99220.37187,21092.51859,4051.254817,8487.88057,34888.75087,590265.9002,80804.91871,47384.8343,11909.33186,10285.51033,34863.15237,6489.908437,32284.62772,,,,32403.1394,1494.231348
T1_P3_V5,neg,media,sample,vpa,cntrl,p3,35710.72209,74902.31574,58085.38618,82409.09414,5749229.937,33509.15775,15492.05762,12619.17336,16099.31068,53686.8789,5782.548814,20431.72498,38876.45097,40428.6885,76833.49039,46362.48894,21704.47968,158887.2487,9865.694717,11611.52959,869799.5491,106587.8616,91882.67044,85672.71009,11603.94481,36260.68235,144413.0322,308330.8488,5496.265804,55175.96692,20479.27117,24931.43669,1501.962034,22381.62434,28087.87272,72524.19369,16913.081,3376.759321,9828.145,25993.37237,454184.8316,58053.90444,35399.76535,8999.95658,7212.289899,24685.38039,4439.872992,24849.68249,,,,5387.136154,72.99704062
T1_P3_VFA3,neg,media,sample,vpa,fa,p3,40764.09809,75397.20961,57857.09996,76853.40786,6335429.334,34340.42676,13885.50743,14701.3582,16387.61973,50044.14626,8426.753713,21122.89623,45396.80158,48606.50469,81009.63735,46438.52989,21671.23205,163580.5838,9889.352522,12163.86489,950310.263,110568.9017,101493.836,92237.47371,12784.25825,50806.11483,161322.55,314775.3135,5715.657058,56402.5538,22291.66516,25886.97618,1793.246237,23933.78539,29716.41924,75973.66638,18022.22449,3784.232827,7109.231974,28998.88281,485094.2703,61929.18862,36086.79673,8721.53948,7346.839724,26464.20365,5136.024849,24206.17963,,,,22689.93621,575.3871783
T1_P3_VFA4,neg,media,sample,vpa,fa,p3,33369.18168,76016.71542,55211.59485,83285.18149,5947095.809,31662.83583,13623.26938,13137.75086,16155.97905,49956.39555,7543.926659,18707.78976,39944.44002,42523.22374,74311.83343,43262.25352,20268.71431,151126.1344,8326.745312,13203.52738,832820.6826,114516.1607,100731.9815,92536.54605,12247.40916,33939.06022,167850.8596,298770.3482,6768.067883,52892.24243,21267.74168,23479.90303,1865.938696,21018.06712,23951.59221,70808.02364,98024.86537,3470.788826,6309.152953,25064.85711,421584.2561,57231.37484,31844.28414,7896.110096,6428.11531,22233.98078,4801.329094,23853.19633,,,,18661.46296,612.857976
T1_P4_C5,neg,media,sample,cntrl,cntrl,p4,43357.94593,79741.14143,50879.31418,91690.49528,8303784.99,33771.76093,10757.69584,13033.66598,16305.1583,54217.8115,6741.652404,21959.79809,46026.5726,47069.99641,84060.29947,49439.61177,20551.96876,172688.6494,8297.771785,13240.53888,1029858.685,128491.1942,109405.4439,103907.355,12917.6829,41090.98817,10473.54782,332209.2287,5891.102837,58478.40986,22680.85017,26576.78812,1683.190541,26771.50626,32192.01314,83857.53645,18605.1923,3918.044389,7119.160499,33465.3866,483499.8264,67368.30199,38780.92338,10020.82111,8464.92265,28593.28935,5456.847503,26595.19059,,,,6188.98352,77.2518028
T1_P4_C6,neg,media,sample,cntrl,cntrl,p4,53762.69549,89048.45696,58990.61575,114826.9394,11518757.64,46613.94959,17039.61842,16842.49147,18944.97046,69214.79991,9247.713007,27426.17479,78262.94822,81769.34221,116266.3822,69817.88264,26159.66731,214245.4162,12220.43223,14421.63457,1590548.906,141376.6253,159113.2441,147214.9352,13477.67877,58040.72653,10812.63311,466920.3365,5657.835464,78241.47309,33667.07715,32677.15231,2868.858214,35321.39642,44186.66482,119823.6997,25044.04779,5244.146459,10306.52666,42710.38758,676196.4085,98918.39454,55764.33641,13096.64459,11780.94893,42803.19935,7328.069674,36364.48328,,,,9194.170164,79.32458951
T1_P4_FA6,neg,media,sample,cntrl,fa,p4,42438.27178,78130.86934,52211.05904,87595.31948,7655716.623,32003.41579,13786.57137,12956.18621,17401.60616,50450.63292,6723.687329,22573.51358,42221.25663,42941.024,79278.69451,45545.5943,21059.34558,149052.0366,8143.062281,11811.79864,921588.9677,126484.5801,101590.6999,100313.2254,12637.39308,33736.01363,12075.90901,311351.7424,6123.13935,55340.29694,20758.88675,24178.57487,1792.854773,24252.79836,27971.59037,75464.37651,17064.68616,3777.490297,10866.49615,30187.80462,445486.4211,60832.18684,34804.51094,9193.059682,7566.243332,25088.43702,5539.03789,24056.3408,,,,21243.37416,835.7154602
T1_P4_V6,neg,media,sample,vpa,cntrl,p4,33000.86841,78621.40356,58440.66223,87050.50535,6385183.063,35660.53426,13930.85658,12964.44463,17026.28928,52650.51122,6534.417486,22437.25639,41498.97822,42915.16273,80863.25381,47826.00352,22692.30042,161259.1557,10303.55697,12102.45863,980525.1215,115443.2171,110718.4487,107508.6534,12390.13818,37081.88589,166398.0461,330977.656,5630.603038,57800.16358,23785.63757,25611.45217,2378.666852,25129.39262,29829.38057,79040.85452,17875.62817,4029.381727,6272.320022,25086.86243,477766.75,65569.18802,37207.47359,8894.083945,7107.217385,26124.61454,5049.957124,26011.55434,,,,5641.350844,
T1_P4_VFA5,neg,media,sample,vpa,fa,p4,39616.79944,78100.72437,58081.48216,84858.91365,6761267.731,35192.37203,14627.63796,12514.96202,17054.8626,51702.04084,5425.673639,21931.57225,45449.60813,46742.56915,83833.01672,51457.8458,22857.33014,166996.2045,9944.139386,11946.04616,998999.1439,112385.5515,110368.2751,109230.1871,13577.72345,39079.87856,170024.6469,329096.6033,5845.630048,59078.93959,24198.33406,26819.06483,2302.159972,26167.08538,30025.27144,80059.79222,13681.71449,3921.793999,11444.09092,28902.64859,486561.7678,65827.39633,37434.27139,9005.247033,6416.83631,27003.97311,4602.554232,26799.07845,,,,24588.99684,1050.146359
T1_P4_VFA6,neg,media,sample,vpa,fa,p4,47162.34629,84047.80368,66326.24011,110391.9279,8854538.694,47607.10631,19076.11052,15328.24894,19424.96231,62174.6113,8215.739821,27947.08887,68685.4516,73890.9056,115203.8084,69834.38166,26262.71111,227905.1256,15558.6874,14260.57884,1459079.193,125894.886,150270.3816,154111.6656,12526.08153,59926.5216,222226.492,441819.7609,6662.101924,79181.05629,33955.20776,33877.34402,2527.5577,33991.39453,43942.41742,117658.225,24488.27954,5093.311539,8431.093088,38541.22345,705741.2591,94834.46656,53982.66399,12948.43907,11139.97357,39905.13188,6641.329155,37082.18865,,,,39483.55422,1487.734524
