"Compound Name","Formula","Mass","RT","CAS ID",n_mix3,n_mix4,n_mix5,n_mix6,n_mix7,n_mix8,n_mix9,n_set1_blue_546_R2,n_set1_blue_617_R4,n_set1_blue_618_R1,n_set1_blue_648_R3,n_set1_blue_669_L1,n_set1_blue_713_R2,n_set1_blue_773_R8,n_set1_gray_551_L2,n_set1_gray_573_R2,n_set1_gray_608_R3,n_set1_gray_796_L1,n_set1_gray_796_R5,n_set1_gray_843_L4,n_set1_gray_843_L5,n_set1_green_574_R1,n_set1_green_592_L3,n_set1_green_593_R1,n_set1_green_614_R4,n_set1_green_675_L6,n_set1_green_675_L9,n_set1_green_773_L2,n_set1_pink_670_L3,n_set1_pink_672_L1,n_set1_pink_686_R1,n_set1_pink_751_L1,n_set1_pink_754_L1,n_set1_pink_847_R2,n_set1_pink_847_R3,n_set1_purple_552_R5,n_set1_purple_552_R6,n_set1_purple_605_L3,n_set1_purple_608_L1,n_set1_purple_611_L4,n_set1_purple_621_L1,n_set1_purple_843_L7,n_set1_yellow_599_L3,n_set1_yellow_666_R2,n_set1_yellow_670_R3,n_set1_yellow_672_R5,n_set1_yellow_751_L3,n_set1_yellow_751_R4,n_set1_yellow_847_R6,n_set2_blue_561_L3,n_set2_blue_592_R4,n_set2_blue_617_L3,n_set2_blue_617_L4,n_set2_blue_669_L2,n_set2_blue_669_L4,n_set2_blue_675_R2,n_set2_blue_772_R1,n_set2_gray_551_R3,n_set2_gray_610_L2,n_set2_gray_611_L5,n_set2_gray_621_R1,n_set2_gray_621_R2,n_set2_gray_796_L2,n_set2_gray_796_R1,n_set2_gray_796_R4,n_set2_green_593_R3,n_set2_green_643_L1,n_set2_green_661_R2,n_set2_green_675_L1,n_set2_green_675_L3,n_set2_green_675_L7,n_set2_green_772_L2,n_set2_green_773_R7,n_set2_pink_670_L2,n_set2_pink_670_L5,n_set2_pink_670_L6,n_set2_pink_730_L3,n_set2_pink_730_R1,n_set2_pink_754_L3,n_set2_pink_847_L1,n_set2_purple_552_L1,n_set2_purple_552_R2,n_set2_purple_552_R4,n_set2_purple_573_R4,n_set2_purple_608_L4,n_set2_purple_610_R2,n_set2_purple_632_R1,n_set2_purple_843_L2,n_set2_yellow_599_R2,n_set2_yellow_670_R4,n_set2_yellow_672_R1,n_set2_yellow_672_R6,n_set2_yellow_686_R2,n_set2_yellow_752_L1,n_set2_yellow_753_R3,n_set2_yellow_847_L4,n_solv2,n_solv3,n_solv4
D-Galactitol,C6 H14 O6,182.0791,4.40,608-66-2,7921.73047290514,7284.00275453552,7760.13681153375,11236.855149435,10439.434320024,8261.70644969318,6683.28694990642,11395.0113063011,12400.5884551721,12914.5616242861,10065.6577062537,4796.6075587306,7395.11060735858,6388.0582446537,13466.5212573938,16413.5344813919,6055.20706002138,7193.59731378393,10164.4091843083,7782.64482171964,11757.9591424503,5149.84124567079,11431.6523360238,6501.10964548192,14743.8617313941,7665.91311520385,10496.6849544017,9148.210847296,9530.6139746418,7843.30441214371,12008.7343356223,7430.10041921277,7785.04488888159,8483.68470106792,11798.462124681,7153.44990571642,13818.274958425,5887.64462742916,5780.61806123186,9403.03649998188,9543.50273276509,8420.13312373733,8063.21774175241,8728.13489047742,11002.877760553,5512.70114968407,5153.88831760221,8621.63090167476,10179.7428019255,9611.13679738569,9401.75210749053,10433.0928391256,8417.71333459973,7942.09186905717,19642.0588102522,9454.89072288518,3253.35539385164,7852.09042245257,9142.92323576058,6508.07347189887,7078.55173136367,8040.09819030658,11381.749981118,15807.5028452818,10263.2672899628,5584.7167255776,8100.52043781298,8643.95830026778,29813.9327331701,15931.6941106324,11264.593241056,2667.37274792784,7749.80678880738,10391.7291259258,7406.72446227884,6768.51567973429,6361.06532361607,8074.32177556689,11925.0786232381,10394.062009315,10821.1885047884,11901.046043169,7394.24615876317,8015.53793323732,8131.39587370229,7416.38012529917,,12080.8240075035,10327.0096518135,7372.01378529597,8450.28422553015,9156.69842670921,7361.94850856638,5938.51792897695,10327.5842970734,11665.6798693872,,,
Phosphocholine,C5 H14 N O4 P,183.0664,9.56,107-73-3,1693.24724708559,1414.83940433502,1379.96777130128,6129.53607085421,6289.81728865814,1871.10431253815,1355.09178153992,643.956010971063,4543.64733764647,5307.25021598814,780.413430366509,,1373.28953067778,593.490998954767,4011.58803456117,2634.3879911499,2375.10577778626,763.696060905461,1015.10701332094,6433.57635935214,10226.593384346,5019.82035381316,7370.84786464696,557.582220581071,672.292976646417,703.330354042058,4243.52275809477,3673.37222161868,5622.64314135743,3875.28979079439,3029.9026658859,892.47567733765,993.881212043749,691.727101783746,4407.83424753572,2367.11503290559,12249.2795663834,1188.89105456542,1100.84412363435,3925.48982888796,2379.00673252107,2248.04378978728,918.712281455985,4115.96311621092,2787.28682673644,470.702129402168,855.307171752928,5387.44212789918,679.677847908024,4613.36521344758,5008.93646691892,7582.60781720735,684.165786514276,,103.699592018126,709.461182212823,5489.17543888093,433.621921577449,2152.38124648284,1000.31372943116,763.273217018126,718.858106689446,5738.91138642123,3294.07112207794,4583.06000193783,649.679823440555,1444.03366557311,793.146106903063,600.095103454608,4401.57256541444,5719.30155064392,596.416055320743,2949.79074851227,2212.05996356203,2369.21780176545,454.202082176204,861.760829277043,570.006102119448,707.155302810662,817.543026641846,4754.21392485045,5597.51389904022,1341.7286205292,2869.40489292907,4451.26610760498,472.152497978221,,6465.91068773655,4891.49268721772,4949.73395486449,4377.93162542725,1481.06432453155,,1314.21114471437,824.348322181714,4699.1645398178,,,
N-alpha-Acetyl-L-glutamine,C7 H12 N2 O4,188.0794,3.46,2490-97-3,2021.92679157257,592.534509353636,2316.40891903686,4533.51905080415,3036.01946155548,1132.76166307831,984.790354782105,1532.62678064728,4408.68974380494,5430.58881541443,1736.63503255463,,1815.5682452774,975.228459091183,2977.39305626679,4250.80003042603,1933.6490762329,209.756091804502,1188.206473732,2468.51804118347,4104.45815945435,2722.82323898315,3691.68782069396,1625.08876050567,1706.64315865325,361.487192382812,462.167365684508,3009.07655610656,2851.07995989228,2246.36241566468,4221.31992020416,655.675869766239,749.182992362979,1938.24922076416,3073.55844871521,352.436831130981,5992.42731712341,630.526919441228,1732.10221933746,3924.49710968017,2649.64157333374,1330.64842277526,,3776.76923222352,4676.5152183075,839.121793289184,101.876500778197,2680.96342153168,334.732800468447,6151.86466071321,4015.39432448578,3302.53794913483,1203.59365650178,,3128.72192431641,1370.71839311218,216.96338924408,935.011907508847,1687.77269539642,1486.76415316009,1184.79256949615,1595.38114925385,2690.32573719026,4110.73993673706,3502.99584306335,1246.47638659668,1247.67226856231,1021.04705883789,120.935140037539,3685.51103283693,3386.17098556519,,948.298740928651,1651.21031234741,1396.35256747437,953.094430847169,2438.76042929077,1207.72189353943,3739.80421563721,,3532.39017507171,3496.58395920563,589.822126235962,1830.58049565888,3523.91289782716,2870.97055349731,,5296.17901727296,2276.90298015594,2487.27260417938,3669.52792253113,696.896232757562,3460.29350527192,108.377062500001,234.338517532346,3133.76479826355,,,
Azelaic Acid,C9 H16 O4,188.1050,4.23,123-99-9,4111.10135007561,3382.06030752468,3957.51446175276,12302.5793457281,12403.5202217026,5636.48652756429,4958.42501792752,5488.57882289125,11051.8245805207,17148.9371669464,6200.51265531814,7416.00818003175,6642.02196745252,11096.4728945403,31993.8364619305,18718.6136209411,6150.11334524538,8697.56728450587,9762.13613997652,15269.2571703755,15688.0690324519,12629.2971885616,14545.1781348419,6538.19596206282,9969.99192855214,7259.08964632582,11115.0459437926,14925.0722435766,11933.2697883125,13712.3818982118,17564.2670643995,7027.66009849119,6829.01058141719,7752.89095261717,13858.3017585141,6157.90873681043,13222.4803960931,5655.84361502767,4027.90003717162,12508.765313858,7356.23556485557,9176.45153377509,6315.35331731081,27654.4804452779,21745.2390020599,7299.08648616673,6967.93699062097,13967.2428408502,9640.44332157111,10788.2654233012,12299.6834484992,12114.5647035911,5035.46460128473,7406.20221400404,16450.5591463547,5710.51605638362,18688.4952786219,4661.64097975637,6721.46140231838,4112.37511813366,6139.47730785988,7856.61931870486,11219.272036742,21168.2498310852,12701.863845928,6313.56591249703,5617.4134964323,5060.90779173744,21305.563446897,17751.4044163666,12200.3380071464,11284.6428897834,6340.94623221721,18701.865767807,9662.76547114658,7619.56437254631,5422.39642589795,9075.78314749048,12181.8992272015,8895.85080458607,11768.5629124449,15291.419452774,5686.15098814391,6909.95822228561,10805.3542429777,6063.10895696256,6597.7042200594,13991.3324413377,12997.1532305393,13422.8417392537,17443.7516906705,5495.69620859932,6142.56612574553,7218.77333437777,10748.1923054159,14085.0542857929,431.027749366771,428.363415542603,1743.25237373353
10-Hydroxydecanoate,C10 H20 O3,188.1411,0.77,1679-53-4,3277.99601313782,2586.9975271225,2566.57186885834,4440.18119532013,4116.5147636795,2474.79812527466,1652.62523564911,1838.10703125,3308.16035154724,4077.25803762817,2880.51177246094,2007.48892868042,2789.43742900085,3216.3442279892,7607.92944637298,4492.1292538147,2830.83636585236,3201.39545005798,2404.87992084503,4358.47680923462,4045.30543270111,4313.67890573883,4647.27223178864,2821.47065976715,3261.5265345459,1988.68180779267,5051.68701846313,5097.69169586945,3403.95394329071,3651.98471346283,5886.9854691391,1396.51540694428,3366.67968709564,2820.27340279388,4494.93687696838,2077.80035035705,5392.06244197083,1450.10648745728,2060.58549620056,4146.220290802,3280.08578863525,2831.41866947174,3524.56703231811,6644.5380238266,6199.87145303345,3186.79597357178,2855.88162843323,3770.57567883226,3655.99986453775,3236.50434850311,4239.87446473694,4339.02219527778,3167.9117080307,3601.62149774933,5008.25032991791,2480.14073300934,6554.5197147522,2805.54845503998,4220.34749736023,2633.22005580902,2810.55128742981,3497.86515229798,4697.68651045227,6045.97864028931,4275.14584355164,2832.54056476593,2773.91260157013,2288.15918096161,4696.69489528656,6626.81140197754,5697.89488067627,6073.5281004715,3351.58502711487,6241.49100382996,3767.06157105255,3436.62978315735,2724.55704956055,5424.3878169632,5486.87956542206,5890.49830031586,5234.334465271,4910.83332511902,3339.95068262482,2612.79352877808,3972.71993437195,1299.73958290863,5419.82642483521,4443.05534034729,4617.74240113625,6256.35750842285,6288.15963161468,3180.36496147156,4504.52962477874,3014.53466177368,4166.37793907928,4386.33062604523,,,
N-Acetylglutamic Acid,C7 H11 N O5,189.0638,6.05,1188-37-0,18010.851378212,16169.5138872146,15743.7097450867,19222.5737209091,19351.5121120682,15362.6735490265,14380.6577995758,16222.823900856,15472.6917836456,29975.5777399902,16139.8649252777,1477.71682065582,17041.4019175568,19509.4976318512,19446.6509363098,20181.4306754303,18917.682958313,13756.9633365326,18028.515552063,20635.8440991745,23222.5956522904,17046.953669754,17614.4207251358,20637.8987014465,20161.2879322815,13575.9774190369,18085.3721000672,17793.854518219,19120.9403683777,14788.0719527969,22623.7294840317,16158.0108618622,21773.2235848999,22443.3546457825,16964.8769492645,14801.5032385178,24149.6402244415,14332.7845373993,14442.1250701904,24537.0302257691,16361.8000372315,21011.3717485657,12056.1797362519,17244.0045841446,23936.0767535096,12134.8778732147,14554.9667262574,17928.4990097885,12032.7748105011,20007.36602137,14491.6654455261,15403.9794690246,12161.7010715027,3362.56608991242,12404.0223146057,15721.0288695831,2350.29232188415,15804.2245777359,20931.4858158417,14954.8876235199,17784.4695882187,16371.1087726135,16341.2037396851,21645.4434145508,17935.745702324,13707.0645125427,14443.1256433715,10640.6806058502,12493.6302605209,24072.893347702,18162.550581665,1152.42309451294,19474.1737835388,18405.5857444153,23757.7568816528,22151.5618034591,19565.8762244111,20134.939219696,22097.120878601,13212.2260086136,17115.6595586548,18515.6998531494,13740.3531857757,12556.4169248199,14650.222089508,21944.0978058777,,22916.4047909699,16360.1210671615,22131.8008438949,12748.8720040131,11543.562127182,25078.5761558075,14153.5275320511,13277.7026661987,18733.9461230927,,,
5-Hydroxyindoleacetic Acid,C10 H9 N O3,191.0617,1.44,54-16-0,10131.6255203552,9578.39180371094,10676.0701919098,14761.3369205093,11624.6781701965,5531.37584190369,5286.75958598328,7246.83222457886,14552.4532272186,14350.0238276215,4877.96985660553,1632.98774771881,5243.1922442627,6070.88695456696,7150.96160652924,12707.2109461823,5329.38755097962,2842.15131853485,4545.9697263565,15823.5546754074,19748.905512001,7480.39944866944,9900.71877002716,2047.02122924042,3748.25005509186,7090.47291651153,8113.0396398496,13033.151871376,15722.8277940537,12597.6846764984,16284.4575094011,4608.46565562438,4591.3636718216,5776.48336677551,13985.5825083084,11641.1435387115,18158.172077544,5079.76580058288,7957.03689122773,10080.9169664739,5935.20054768372,8666.22175900269,8005.19127510834,14856.3672014694,13075.6308102417,5979.29413098145,6811.66228217315,9325.02938812256,2896.20019744873,11431.8922087479,11958.2664470291,14449.2042397995,6684.75515019226,999.311784866331,2434.73541690826,5537.48210532379,6092.52856690216,8809.89457034302,5696.57169681549,3575.10831626892,5169.3186822815,5397.58741958618,19954.6696479416,15216.4060276947,15807.4797795639,5619.15282663727,6210.27367722321,6619.24305773926,4091.13277612305,14907.2560764007,16449.4523334198,5311.87035392762,5946.56314688111,13975.9700754547,9045.36438645935,4158.81936652374,7358.4695956192,2121.60693862915,12526.9519268265,11374.772874382,12822.1475161591,13135.456411438,5700.26208122254,6236.86045346069,9929.77081884765,4588.94287649537,354.411117248537,17668.6727778854,13263.4073246536,11390.0147009659,12613.2830712051,6327.34893347931,5428.16410485078,5464.96187590027,6863.85807584382,16297.2657473233,,,
N-Acetylmethionine,C7 H13 N O3 S,191.0617,1.44,1115-47-5,9185.2756776352,9092.01883423615,9555.47131973267,12207.0338732986,10046.0809483566,4968.83611282349,4965.79672007751,4245.07530433655,13262.8801036682,10697.2012081604,4201.3278238678,1208.75194068146,4844.77019132233,5612.53108596039,6614.08998192597,11524.0097539368,4780.18758721924,2842.15131853485,4101.11844423675,13937.8185801468,16696.7161748352,5913.13676008606,9191.92281642914,1939.0169899292,2545.20297751617,6611.66138376617,7350.66853474909,11840.0314800491,10915.0297733307,11778.7542656555,13018.5112419586,4480.460095932,4591.3636718216,5139.06313687134,12941.4665968933,10823.8439950867,13416.2412092056,4852.01987921905,7420.95728295899,8455.02735207367,5671.91981404114,8141.0614771347,6954.45684487915,12821.872725174,10681.9555279541,5737.34291302491,6268.36660314942,8279.96175514221,2778.53822875977,6666.80903988647,10326.711667099,12960.9973413815,6249.6255157547,886.486937896727,109.549498481751,4896.29601912689,5136.64597710419,8347.05205428314,5366.86867839813,3522.31947659302,3959.84649756622,5297.64907058716,16120.6149683228,13985.7920659027,13241.5945169601,4716.52214131927,5695.59308106995,6070.60342673493,3951.65084428406,12525.5820915375,13905.019898941,5311.87035392762,5549.43469042206,12511.4779681397,8411.54162663269,4043.26705107879,5851.67792124938,2070.08947903442,9762.05516992951,10952.6804712753,11036.1237187576,11096.1341219864,5309.24513320923,5947.25546844483,7912.73424854279,2900.78535972595,243.816463394166,14397.2154617157,10959.3267256851,9872.90408893585,11085.8005257492,5580.20057765198,3540.96562345886,5122.55103315735,6997.06722090913,14429.534489769,,,
Citric Acid,C6 H8 O7,192.0274,8.33,77-92-9,435080.728503449,399137.726152855,370016.553124657,228933.785582016,210666.803698562,170776.076247605,148752.887749809,437956.399916572,91768.1069138794,240510.05599617,250412.292862472,33187.2712690506,108082.240729203,210507.631621742,253836.833713577,127673.906757355,269617.522992341,16991.9217065507,97367.237572014,134359.65720905,187212.669820625,223445.091254471,111542.701639176,193410.181436142,200500.445958107,149093.070064476,176426.466437187,199380.372780199,223392.592225151,196431.718822088,254812.316283096,112785.498216469,60590.360414734,100712.056865479,72677.8988277051,163040.205879219,425387.430325939,166748.891437263,239990.468813034,349663.842109833,381655.709973372,137400.277268608,505850.087657822,98473.1096627883,276043.5082005,256950.230221902,83717.6022296298,168057.496179863,54702.5920780411,253334.379009804,164313.019553207,94344.4902327422,68868.1097345274,26311.460463463,67778.3407191618,210371.311064835,41045.9408141327,141953.790828308,111235.290934845,216427.193740563,276284.063297547,280191.338062247,111793.773038246,102864.270125732,159027.144423431,226178.069356354,259240.102506394,64372.7923644257,181980.373394976,192122.268800964,184106.219673187,46771.0712062302,226428.211396515,243996.503766143,124458.709757812,67567.6930073551,138307.710219047,190907.785743751,98345.4834335177,81287.873687111,299137.804722266,213846.984759071,237908.682766662,96873.3354453277,251681.107805626,76567.2758693466,,144715.794434418,307180.71393737,277324.559842651,232558.293359894,214466.571159008,168671.480763085,239624.949841537,134518.492989689,115260.853925835,,,111.222905502318
Glucuronic Acid,C6 H10 O7,194.0426,6.53,06556-12-3,,,,376.434252548214,110.967270240783,109.691667366033,,332.233522834781,479.335412330623,954.170368728638,218.213265380857,134.219284286505,,112.329048957824,1626.59539512634,,217.006074897766,156.137872924803,115.19724243164,351.658508110043,1288.58034304046,284.511479072568,1191.1418429718,335.091293525693,484.677540245061,,1121.89928718566,950.284550697328,244.391842002866,626.820886184691,1149.03909793854,,243.917161293027,518.907595901487,951.047747001645,219.313480072019,1978.2305221939,,,324.21451606751,322.007778358463,147.801104125975,,1202.46223765564,794.985809326164,107.575128860473,,519.836608276362,104.838074188237,634.066917480473,412.246922622673,747.118453903191,,,599.622529632573,,1164.55291305542,,214.336354522708,,,105.532187499999,113.977647781371,174.981383819578,551.012336158747,101.537931137084,,,105.666295654295,1334.83836631777,786.886972999565,768.009549011232,,218.322913360594,452.637161674495,106.150380744933,,263.216625289921,338.413944625851,361.508341598507,716.50515396118,280.434614753729,,,512.411844367976,104.074974502565,,354.093613319401,218.034354858396,1367.18783771516,717.830944107052,,154.296038894652,,400.540394775392,826.995524215702,,,
Gluconic Acid,C6 H12 O7,196.0586,5.89,526-95-4,114315.558188812,103811.279840179,100328.270772537,105732.241515793,99122.4928895568,90767.4919360351,80692.8389845658,125716.388258301,114898.970699554,119910.738071838,59804.0097149506,17152.3146609879,72732.4212488479,42460.2444828262,55343.2392318191,112368.903715073,66628.6175985717,61967.3799541397,73517.2697555694,111640.743461243,144320.976467056,63153.5441235886,93537.6462922134,64545.548896904,72362.313333725,51452.8480373154,62237.4701644363,65515.6320773926,105379.11904734,64911.5583664017,74628.0944284287,78103.8852567139,93066.8543693466,83165.4753285752,85669.6930462876,90460.8160366058,160995.419602371,64881.1520585251,65784.5187129135,79225.0072906112,68829.345820961,110480.510940094,78800.8774373092,81577.6558861771,57824.7285432587,43100.5385291977,84635.6088783264,79393.2147544861,55496.6816438066,100544.376122475,91352.1188159484,118650.698725441,105573.377556671,13448.8605845032,55945.3144461746,58243.1260408859,45747.6315332641,71204.8730127563,111810.378844704,53534.5963720322,60565.6842792359,66505.2332969666,122885.976453476,107604.445039963,111426.825064438,62535.5854324036,68746.5261721038,79454.4817017365,63145.702242485,98564.3562725678,104025.823648346,38309.2478175583,54174.2935143433,57683.2188222656,109553.688460381,67029.6920755234,89346.1414038773,55962.9769336243,111494.78129158,85367.8937877731,74939.703714096,88483.0421574783,62313.5068463821,90314.5060124894,69722.2311851807,82803.8247010192,,122229.482019898,74206.2194319764,70609.3123994903,43996.8073756714,50749.5756367264,53798.5925034485,52080.3350977859,62251.8799013138,95417.4257978973,,,
Lauric Acid,C12 H24 O2,200.1778,0.75,143-07-7,26219.0325118561,26430.3339351044,26922.8023199539,31429.9216640472,30001.3959511108,22486.8620952682,26259.6659491653,24564.2224280853,25574.4808330383,29270.2043209534,33370.8816413727,20117.9709358673,25851.2234682159,26401.0614084549,45295.6361148834,33609.8204178772,27916.8385738678,28987.5482103119,23296.0333968811,27374.6544870453,25962.4325872192,22263.6656247406,27942.5104223938,27807.1421645889,29400.3101871033,22864.0083257828,28930.5649766693,30129.7701375275,25130.6860250015,27336.6260265656,32221.3905020141,19500.283570137,30591.4426526794,25921.4959438858,32189.5206651764,20909.6893086929,27282.2069047699,24829.7286548309,25862.8538541947,27859.9345899963,29012.8212210541,24244.3182200775,31126.9554034271,38903.8757720642,33640.308854599,28509.8881962051,23832.7824133148,24663.3700140228,28478.2282641983,31025.7022272644,30904.7449299164,33936.4967792206,27779.5544044418,30660.0084498901,31007.4891164017,27388.8276461334,40999.6587193604,24890.2964692001,34925.5481647263,33373.2990611038,26158.2956529541,32257.1413704376,29626.2779526978,31691.899186142,31052.092429924,21281.1024771042,26369.8293355026,25857.3617615967,15984.6498546448,42914.2157318878,40332.6825120087,34075.9819530792,25547.8867891693,34025.0114109039,28919.5132394867,22745.9907000275,30722.1920192413,35830.6583032074,33767.3876124268,21740.3113725586,33084.0098634491,38142.0269030152,32239.9170006104,32677.2063228989,36029.0545591583,30433.2138791275,70064.1223620453,25285.3965127106,31534.2249433289,35018.3347938537,35424.5008806152,27352.6095586472,28014.3038417206,23357.6459367142,28579.2756330109,23909.9152545776,2151.9393019104,2607.3269917984,6803.33605988312
N6-Dimethylallyladenine (Isopentenyladenine),C10 H13 N5,203.1161,0.96,2365-40-4,8771.311059057,8042.98153434181,9613.76848734099,10619.4433738841,11319.5368560857,7269.8654324761,7515.91798989701,7874.29607389068,15643.0652847095,20961.780906577,4500.66291035462,,7622.12008803391,3450.3717387085,8344.66604209137,18700.9769779253,448.060337791443,7524.38311426544,12375.5334145107,11151.5019122257,13408.1827950287,1960.13262693089,14940.6471863308,1200.15406338662,5562.39352345416,5011.92451969719,7551.24482439908,5986.17357374573,5294.64435223758,7163.63908954293,12568.4122052882,4114.71625470111,2105.30196672058,10993.096527571,17141.3338792611,7412.34254032409,15860.1981920468,1497.41421817017,2801.03155863148,2202.27617093003,4339.21592627651,11696.7944117934,2822.09414137352,13387.0933824128,5196.22131544494,1811.4812845993,4975.94243952781,5727.26181323397,6802.9331358037,1284.23963093567,15017.4583374939,18330.3794071183,19857.9918757319,,227.286461105344,2363.27175961971,106.470184822082,7055.11569361633,15596.3309749281,2013.62683414113,862.357615203857,467.430541702271,16175.0850712258,23170.8311506436,21177.5609141869,1806.34690569272,4507.63779107296,14384.3604508362,1742.39523838043,13614.6742852151,13216.6009698402,,3185.12472380066,4990.64114795822,5378.6619718143,1794.08119975281,8205.86406368256,5332.18803485912,6717.53295137787,10782.455928907,10116.9085811386,12400.6407420958,5255.48296637726,12140.977558661,3478.66688941789,11682.0294202075,3257.00836105549,14122.6886235884,4648.45407816439,3667.45983016562,6338.11883610141,4440.72571546748,7375.33588554093,1842.34726935577,6255.81384527722,14121.1236806726,,,
Tryptophan,C11 H12 N2 O2,204.0898,3.16,73-22-3,50529.5668599167,45249.0151704941,48136.7601965637,51662.5677029114,55880.1649355011,41119.1409569473,40183.0986628647,64819.974119133,55538.4483053132,57278.5646082611,40497.6624868774,30806.8893678818,39680.2577555542,39833.4558265991,29461.0915897751,59803.6159954224,28766.2300273895,24810.255173645,35896.1797093582,39906.7375967941,45293.5512175064,42498.2889168625,56647.4319552765,45140.8716328583,31057.801469696,27603.6110032349,30404.6779325485,47618.1909889603,48540.5961370697,40566.8223267898,38541.3081380997,40803.9618181381,35276.6733443604,36623.7403944168,43144.7325183563,32131.240208992,57410.3162893524,22035.0117618256,30881.2392303467,35985.0089934387,24954.3394885712,39112.078304245,31356.3854322357,43636.5660212479,46760.8437848816,24448.8771686401,40271.4904374085,45370.7269240189,26261.3163738251,51957.8860819397,52269.0821243439,70173.8449033279,63717.6853144836,51287.4296499329,112101.851806335,24085.5969201431,15091.371518692,26909.3061501541,50945.688397789,27017.5368378754,24255.9831198425,24304.1400195084,52472.0597311707,57549.3782155914,49514.9166305847,39487.0777321319,31224.1880418701,40595.365761673,19342.1842176819,47610.6821108246,54466.3660936737,6485.03462861633,42054.638804573,41995.150342102,61763.0286449127,31994.5407904739,41405.8741989899,37432.7619003983,49565.9089702148,28319.0555652847,52958.0834864654,40445.3934054718,39451.0404321594,53181.7863554154,34652.1992074814,38921.2184815979,6414.20032692718,48949.2931726151,39346.1619228973,49903.0842088852,36684.1776279679,31939.8150612106,39107.8070202026,33055.5437543869,28457.6960358353,41968.1664689254,,,
Galactaric Acid,C6 H10 O8,210.0375,8.37,526-99-8,134.411175842284,,,1278.45917796327,1635.74937690733,,,,133.927598190306,194.917214508055,,204.425160980223,105.139492263793,,1421.18757717897,2192.6010601044,,,142.800551986693,502.901612930293,1483.11616283419,1578.64364021302,,,,,101.490356788634,390.103032028191,1326.45682434081,111.335589981078,237.44920599366,119.736694602965,230.890155372617,,1612.54147560118,,1429.1458222046,113.278471107482,,299.069951477047,,210.349127655039,,1306.35104080201,1223.24414645384,,,753.220108001727,,458.430650756828,448.426235923763,799.070925331129,,,231.442251625059,,1507.94154404449,,110.697257156371,,,128.364656066893,472.807645416255,452.144459342952,2009.24413600158,209.105362472532,,,,292.529407882688,287.768951721189,1085.16783988955,,584.615168075556,124.008950042723,336.932095146176,,,1948.5973282242,,,720.571716957085,,,659.691543655389,228.800284919748,,1071.87824893952,1288.36967193603,1384.4228017807,339.573887252804,,,,,730.046322669976,,,
Phosphocreatine,C4 H10 N3 O5 P,211.0361,7.51,67-07-2,2956.37880355835,2904.91129066469,2606.19494721986,3734.65273038482,3417.1992629547,1672.78913097382,1558.02686766052,4332.36911160279,884.386683746338,2897.46617294311,6639.28472296141,,2654.6029239502,5499.49058137511,5425.60981845854,2305.27175315856,2387.52318688965,1202.58966362,2179.01186157227,1507.49263801574,2322.61792228698,4874.2870241623,1951.75418223572,5759.06178530883,2097.76944202423,289.430697723388,5563.929315773,2919.47062532044,3383.06058366394,4745.40667404938,5865.23231404113,1353.91867099762,3120.21253066254,3489.4113862915,2117.06728889465,963.817090797427,7690.07995153046,,,6854.18349047853,5987.31018621827,1355.55966856385,6886.596994339,1653.1679174118,6987.08480200197,2060.43968217469,,3724.22434981538,,2489.15030145263,1772.56755223084,117.125715370177,513.104173736573,,1407.1760702896,1333.65604802704,1058.52727169036,964.924025024414,1672.63124061584,3121.47560043334,5988.81418550874,6061.34233267975,2585.33868755341,377.279750518795,1701.31516876983,3564.63051485443,4930.42124859619,100.996470222472,1284.86583650207,3240.86832859803,1137.33464451598,118.038479385375,3860.50317131042,3407.18356079101,3041.11428456115,3762.76780327606,1182.65376461029,2859.94222042082,4396.98883429718,2260.91227442169,5705.07035767363,4178.58043778992,4854.39553627013,3750.93056590269,3083.64890261079,598.113649192813,,3274.25382632446,6845.1620677643,7259.89329652406,6644.90178892517,3301.02475643921,3801.21134423829,2230.51808151244,128.907369537352,1308.36246330261,,,
