compound_short,,,,,,Lrp6CDn1,Lrp6CDn2,Lrp6CDn3,Lrp6CDn4,Lrp6CDn5,Lrp6CDn6,Lrp6CDn7,Lrp6CDn8,Lrp6CDn9,Lrp6CDn10,Lrp6CDn11,Lrp6CDn12,Lrp6CDn13,Lrp6CDn14,Lrp6CDn15,Lrp6CDn16,Lrp6CDn17,Lrp6CDn18,Lrp6CDn19,Lrp6CDn20,Lrp6CDn21,Lrp6CDn22,Lrp6CDn23,Lrp6CDn24,Lrp6CDn25,Lrp6CDn26,Lrp6CDn27,Lrp6CDn28,Lrp6CDn29,Lrp6CDn30,Lrp6CDn31,Lrp6CDn32,Lrp6CDn33,Lrp6CDn34,Lrp6CDn35,Lrp6CDn36,Lrp6CDn37,Lrp6CDn38,Lrp6CDn39,Lrp6CDn40,Lrp6CDn41,Lrp6CDn42,Lrp6CDn43,Lrp6CDn44,Lrp6CDn45,Lrp6CDn46,Lrp6CDn47,Lrp6CDn48,Lrp6CDn49,Lrp6CDn50,Lrp6CDn51,Lrp6CDn52,Lrp6CDn53,Lrp6CDn54,Lrp6CDn55,Lrp6CDn56,Lrp6CDn57,Lrp6CDn58,Lrp6CDn59,Lrp6CDn60,Lrp6CDn61,Lrp6CDn62,Lrp6CDn63,Lrp6CDn64,Lrp6CDn65,Lrp6CDn66,Lrp6CDn67,Lrp6CDn68,Lrp6CDn69,Lrp6CDn70,Lrp6CDn71,Lrp6CDn72,Lrp6CDn73,Lrp6CDn74,Lrp6CDn75,Lrp6CDn76,Lrp6CDn77,Lrp6CDn78,Lrp6CDn79,Lrp6CDn80,Lrp6CDn81,Lrp6CDn82,Lrp6CDn83,Lrp6CDn84,Lrp6CDn85,Lrp6CDn86,Lrp6CDn87,Lrp6CDn88,Lrp6CDn89,Lrp6CDn90,Lrp6CDn91,Lrp6CDn92,Lrp6CDn93,Lrp6CDn94,Lrp6CDn95,Lrp6CDn96,Lrp6CDn97,Lrp6CDn98,Lrp6CDn99,Lrp6CDn100,Lrp6CDn101,Lrp6CDn102,Lrp6CDn103,Lrp6CDn104,Lrp6CDn105,Lrp6CDn106,Lrp6CDn107,Lrp6CDn108,Lrp6CDn109,Lrp6CDn110,Lrp6CDn111,Lrp6CDn112,Lrp6CDn113,Lrp6CDn114,Lrp6CDn115,Lrp6CDn116,Lrp6CDn117,Lrp6CDn118,Lrp6CDn119,Lrp6CDn120,Lrp6CDn121,Lrp6CDn122,Lrp6CDn123,Lrp6CDn124,Lrp6CDn125,Lrp6CDn126,Lrp6CDn127,Lrp6CDn128,Lrp6CDn129,Lrp6CDn130,Lrp6CDn131,Lrp6CDn132,Lrp6CDn133,Lrp6CDn134,Lrp6CDn135,Lrp6CDn136,Lrp6CDn137,Lrp6CDn138,Lrp6CDn139,Lrp6CDn140,Lrp6CDn141,Lrp6CDn142,Lrp6CDn143,Lrp6CDn144,Lrp6CDn145
emb_214_1,cd_exp1,neg,sample,10ppm,A cd/cd,5221060.894,15842.27351,841139.344,372545.6948,1419526.583,242410.5847,52186251.88,48158.22708,657155.6157,233172.3795,226028.1519,593561.9461,137855.1809,379451.7811,465627.069,1473379.94,86826.86705,22350.97432,965358.1691,660361.5682,473443.8076,8882198.467,392944.5424,177424.1332,207981.5571,212928.0364,857891.9246,498538.6975,45945.4091,62958.5427,46117.79251,471453.2111,69124.21068,83520.91413,1210850.767,28685.87917,243493.0113,158215.0543,186713.3593,33145.44987,576911.8792,1135536.156,308621.6792,40079.25231,4834941.623,273866.0288,265572.91,12077.01582,38516.25778,45647.43866,4943.089561,86876.60996,86667.71191,228906.1329,130294.2627,67684.08913,562978.8921,4583.332392,57641.14233,66650.26763,14700.6775,17226.58187,80811.7144,6037.693044,1650301.783,,422246.8426,34646.05263,12032.75827,166668.4406,494654.8687,19793.45283,19394.77008,54449.25987,34918.58694,104865.9576,123030.6553,18029.33048,34702.65547,17551.25158,108561.7468,306421.6859,22497.56095,385441.5211,11332.99677,37553.13289,183201.9363,10522.07584,34377.53508,214419.1038,4610358.892,72559.974,35878.61096,120464.1769,78170.80922,620314.5866,626732.4224,188823.0653,31801.16647,102267.4939,69939.53115,110143.9323,175241.3454,,105980.4289,,39309.55741,62690.87614,18083.11327,292679.1547,9145.252878,48430.33802,9124.688817,9509.294854,112696.306,62610.56376,9328.786926,28464.00196,183192.9958,8131.888722,13551.26722,20530.29521,281879.2169,67967.82952,10896.11811,16841.63166,13740.51369,94724.787,220987.4107,7895.199615,820.4589254,87629.09841,39722.10487,42545.1919,113507.6927,11613.73364,29872.9643,455017.1078,220115.1071,93596.95894,2257.246922,932893.6476,390861.0413,134513.1293,6435.069307
QC1,cd_exp1,neg,QC,QC,QC,7965361.915,24793.6116,1317384.993,276959.414,2329831.529,487665.4292,74729343.81,85691.64922,1125164.512,371337.2029,1443412.51,1153902.072,195007.535,830595.2199,465030.6757,2692621.537,156924.6597,873645.9275,2022504.95,811733.6714,851549.3409,12566184.53,456997.084,328301.8967,348946.9965,418315.07,1960159.898,1292368.103,52319.48906,40315.19004,44600.2256,902175.7611,150888.4709,185803.3595,1970780.088,64249.84959,354575.7897,101387.756,351491.5423,440991.1153,832418.1093,2842760.17,1493335.969,85706.48575,8016122.983,374224.6324,622528.6552,27893.30245,254964.8457,36331.20247,11076.90868,241597.2234,130278.9423,463485.6314,223616.8492,49564.00687,1113297.595,9172.041275,77278.2609,99013.38776,35033.26307,78291.81065,141686.1918,110836.2798,3311856.251,3670.982613,885411.5074,85910.66968,31533.36187,259900.1677,922116.3003,106995.584,13862.1402,140031.5631,59891.84132,243655.7498,222373.1702,23439.92532,36726.90406,29030.59739,220893.1959,695124.9277,12026.80089,290171.3475,8143.23221,22018.61405,130051.6859,60743.99278,164305.535,128081.0744,3043865.949,133483.7737,24724.99251,82313.82931,11148.54075,705579.1812,731489.3202,274120.8426,39729.3094,76758.98034,13750.1124,54106.96015,191935.9187,21794.17327,134820.3092,2651.129323,35624.31226,14649.05213,28639.72157,383646.5683,4217.136632,66335.20486,13156.27122,36378.64253,80669.59004,26933.214,16325.59363,19840.09846,254431.1944,2431.582493,11553.39064,35337.72672,98358.92418,20272.57693,32704.60627,14954.51669,3945.78324,45330.22084,159903.4394,,3306.899593,79097.65927,59917.03969,8808.680062,42445.34118,37465.1082,48716.70176,826896.0132,449773.1809,42844.39087,9766.566401,2289535.763,922930.1944,263649.4337,5243.727859
QC2,cd_exp1,neg,QC,QC,QC,7335437.978,23308.40834,1260449.415,256282.2906,2149426.551,469133.349,72587316.43,73616.65274,961765.5783,430195.6306,1324771.69,1044764.359,173808.8425,731770.9459,399525.9352,2465029.509,133327.3179,771011.2543,1823685.927,748202.5052,739696.6415,10979982.57,425043.1923,322131.5493,373285.7558,374096.4731,1663334.973,1119062.73,42326.79508,39164.02983,49207.36258,821263.2402,147566.8168,159058.5743,1841473.919,63480.45195,336665.4369,97514.66813,287097.6038,429704.6407,752788.5652,2546318.672,1214079.195,80075.10868,7145966.746,348505.9937,546965.058,24361.07542,186695.3786,33897.66091,10686.93048,197977.1545,122138.2249,411215.0069,187766.4678,44899.49927,965306.5642,6374.279753,71756.09935,80843.33954,26311.95245,75432.92705,115431.642,90273.38545,3405395.766,3084.825386,921615.0982,78740.31869,25071.60211,246180.1405,783632.9771,96579.27097,13172.11312,148983.7825,56904.35332,244146.9532,196564.4456,17952.28126,35955.62439,25147.71611,200005.7814,636695.3994,12607.55047,279214.32,8266.443235,22208.4267,131814.9648,49577.37483,139545.1999,134702.3017,3188047.073,111893.569,20249.63894,75752.99746,10214.36534,739275.0399,752813.3444,222620.8972,33489.85056,79504.51656,17920.85987,52468.13194,200970.6996,15895.81413,85547.4165,295.6900799,36362.4668,3574.176926,21255.56536,295195.9248,5252.531554,68133.54941,17433.5864,37670.62686,69066.71901,27892.43535,13111.36783,17542.47927,195798.5106,5899.563828,8384.34902,27928.9398,101000.8191,27634.27567,35778.76804,17291.35589,,31074.48961,118416.0302,,1417.15994,82858.40431,54930.68477,4432.37264,30720.30495,17925.6936,33558.259,468381.499,254469.7692,14838.20116,4516.632741,1341373.133,485722.8527,179020.1184,4998.954981
QC3,cd_exp1,neg,QC,QC,QC,7621323.104,30328.61013,1331244.594,285213.2877,2319202.62,462137.9904,88285312.84,83550.97658,1076422.801,471802.3409,1712534.102,1136462.861,190982.9615,832224.6341,523241.9009,2571383.9,160984.2952,811622.3147,2068155.504,1078353.737,812579.661,12124704.65,493104.4056,329821.1829,402392.1966,374666.9618,1859179.419,1316579.414,52452.35884,40638.07918,48782.35074,876329.7052,151650.8212,208570.6733,1970275.187,77861.41603,399354.777,121368.6025,320925.3697,461613.4117,948762.0632,2755835.83,1777673.041,92103.47923,8090597.528,392278.2594,598209.8927,28909.45304,220882.1364,41721.03067,11743.07615,209248.0371,159513.3807,461299.7976,212034.5859,51945.36893,1061713.392,8290.197561,83545.63086,92552.83771,31725.66104,79310.8833,165071.7006,101941.7665,3714561.391,2763.056892,867260.9541,98392.5547,28208.93209,336428.8768,878890.7929,114631.9779,13851.54557,156450.1478,69871.22605,263222.9736,215341.173,20144.98566,39582.90132,24039.57193,238150.7762,761732.9909,11558.44121,322020.5352,6561.553886,19753.05515,148580.6566,57645.8675,154628.7476,144643.2788,3585362.666,132420.4329,22430.4954,86929.27447,9824.791859,797052.9168,813051.7568,271991.2739,44391.06501,87395.50271,17774.91369,53252.54826,217810.8038,20734.69023,131821.7108,206.8049091,36362.11352,10594.94962,26602.65486,354833.1915,5323.004587,74440.59015,15991.10745,37905.48401,73849.75826,28201.60228,16838.4978,19711.50362,230201.9014,2690.103493,10459.09421,32033.57685,107641.4956,28106.91987,40377.33644,19328.3974,3791.38732,41660.79105,150978.7931,,4342.004944,85194.11051,58463.78776,10954.64343,60300.57289,32612.97572,47227.16416,717328.432,380878.2357,29946.92742,5818.705018,2152068.012,741711.6562,230530.8994,5243.703383
QC4,cd_exp1,neg,QC,QC,QC,10081321.03,34851.40489,1415861.32,347484.6488,2472600.556,506925.4583,103915018.7,85229.44006,1179161.662,614598.643,2046573.478,1186251.295,192120.2067,907810.3169,623250.0088,2625085.371,176021.9312,924791.7207,2092411.572,1203905.731,853815.7062,13144168.39,569136.0411,378170.2904,438027.9655,403439.0209,1864345.781,1349094.994,57295.09356,52531.58803,52327.97808,909492.2208,176420.8131,210809.5807,2217212.092,96161.26718,487942.6344,154002.1954,307501.8314,504779.0145,1075281.401,2795737.305,1822141.908,103263.3659,8583953.604,441034.5273,609825.2641,28941.31388,216376.2231,52308.60556,14301.22661,196891.5653,181412.6494,485179.7419,218540.0124,56975.20215,1079053.14,10649.39344,90332.67329,91263.59758,29557.62014,95251.24157,188989.7792,94758.40045,4252534.263,1442.714267,1162584.602,105578.5883,30607.46407,406466.6658,872120.0232,133098.4001,14644.10219,177608.6094,82325.22853,287007.4115,220531.6858,20487.06466,45764.14468,22965.63425,263747.7384,821737.6975,11819.08883,369884.0542,12577.0123,27489.44756,169217.1052,61423.63263,166504.2163,163222.9218,4268666.592,146671.8505,26985.41966,114313.8727,11374.34531,933619.0435,937444.0601,296075.0853,36218.66419,99040.53818,20945.90948,63240.2829,249011.85,27170.98816,99015.44193,,40329.78928,38535.18454,23636.23493,357404.823,6198.448256,85302.48172,20399.07488,44777.79338,74279.68465,30787.05251,14346.90053,20983.40545,215039.409,2253.254547,15459.2478,31950.75719,122769.2385,29175.35001,44546.06951,15259.73217,1028.917648,39203.31472,137823.0801,,3124.280847,92544.5171,60099.36275,4283.274244,45300.00259,33002.67036,44144.82436,655476.227,354230.9729,27216.88589,5970.880981,1981518.99,746675.67,211851.637,3753.105894
QC5,cd_exp1,neg,QC,QC,QC,9887401.784,57444.44739,1421927.511,327355.4002,2475128.154,498771.908,102903538.2,83268.22112,1177034.255,607494.0129,2071994.55,1187231.944,189365.6932,889852.6688,569777.8665,2575596.223,184358.6272,938257.206,2056794.763,1259187.931,847659.7938,12877623.6,594152.2765,425282.3383,443446.3488,399683.8156,1802588.989,1238698.109,58214.53247,50219.85462,55729.35466,927565.6678,161143.5594,202867.2689,2236080.464,96199.79233,468789.1957,153563.5586,320533.4585,497533.5157,1101437.741,2797236.458,1726022.079,100974.3597,8750977.629,458705.251,591084.5484,27147.50721,203107.2624,56014.56134,13410.12353,202709.2909,164516.2117,479696.4143,218638.8969,57154.00095,1034585.746,10500.02718,90865.84657,96925.03735,32610.51737,92946.62116,192597.2162,97731.87202,4298012.572,1623.068995,1064162.699,107922.6864,29706.24701,425373.8509,838436.3459,129377.0898,15917.09793,179052.8599,72109.32634,286127.0463,212774.8591,21511.57232,44880.43928,24560.13785,269653.3157,826815.6462,15938.77842,361794.5756,10485.33446,23344.48808,166814.3911,58652.44916,153745.1302,161572.0729,4352801.351,143082.0154,28146.41796,110691.2108,8247.338508,901434.3777,918458.0624,292969.3894,41539.87235,104540.2031,16375.44733,60884.08701,235742.5998,27664.0688,72698.21272,2991.334532,38412.56446,5993.764532,24886.63803,378930.4786,5435.064462,77582.86326,20812.93386,43475.88548,92969.04627,32076.1178,13047.23372,19904.95265,227611.7152,7064.978176,11079.35682,31406.7044,119898.7118,30722.65445,45005.81778,17062.33394,960.401153,42932.33523,148289.1487,488.0855113,4379.413031,92452.86199,56413.4762,10225.02585,56514.80616,31584.35243,44963.6898,632389.9368,348527.4374,21734.35529,4420.159613,1935932.153,685328.9162,228555.547,3057.516709
QC6,cd_exp1,neg,QC,QC,QC,7592453.342,49481.43924,1418266.047,335050.8506,2360120.177,473425.7512,94107565.9,81657.585,1154278.78,574503.8531,1834934.785,1171322.305,193515.7286,799341.7021,643793.9327,2517923.35,179379.6011,763176.6096,1951519.671,1244621.107,842146.748,12430483.01,561073.2437,330107.8905,381129.0945,387154.159,1682494.253,1137909.995,60702.90843,42515.19345,67247.35197,891607.7231,155966.6169,208309.1639,2077019.112,77929.32658,413053.2795,132081.2834,349223.7178,405082.954,1036646.437,2755327.134,1820334.862,80867.27177,8615279.198,467508.428,571501.3428,26923.91922,168437.7878,46682.6283,11524.51568,203022.2166,142017.2471,383131.4284,233184.1188,50000.79282,959843.4272,10140.59868,75482.36719,102213.7631,36092.00901,69715.70533,211261.5965,98819.52257,3813450.092,975.913155,1039569.856,99975.73191,30355.04737,400995.5099,803309.1425,112441.6403,12114.77258,154511.2579,60798.96748,223219.3115,194847.3047,24310.82684,34836.37114,24373.58557,246713.8362,702759.8862,13515.40999,289226.0085,4318.157353,17802.39508,132150.6298,61772.44411,135369.3695,126327.883,3610955.189,126824.9188,22167.14625,94879.99356,9571.439073,724881.6296,736216.9855,294138.4111,41729.60272,74836.21347,14866.98229,50298.64739,190833.3112,21938.82743,80302.38245,,34740.78222,14263.64277,31271.90536,443285.2479,3193.486907,62480.85364,11224.0814,30843.86066,77244.11554,24765.79095,17054.69831,24207.64204,268926.5037,2666.58088,8825.570378,38618.25913,98218.52268,25278.10195,41105.52222,24643.03918,5473.766883,56512.4131,183875.5858,449.645219,4060.03949,74429.09859,50095.57734,15581.56128,71061.89572,52197.72634,54992.57696,766361.1686,397916.8141,34188.78601,6963.205531,2351959.698,946682.7013,300469.861,2173.700975
Solv2,cd_exp1,neg,Solv,Solv,Solv,3152250.18,14778.90506,146000.4558,30553.43908,75588.73457,45570.61518,54416.65267,2383.596703,2953.685255,2478.11012,3625.726609,,,7028.227075,139958.9987,47791.71302,12306.74701,22581.57378,938.3674808,31849.02586,,,8818.728965,11726.66515,73941.50937,1121.039427,,275.786398,12770.17457,29710.25395,27436.88517,18351.92293,6511.880843,36097.63434,417767.8875,,54728.95124,13635.32378,6187.560677,,,,81520.52409,,27416.37405,,,,4488.548076,13310.86282,,,,,876.8882343,624.0448847,,,22080.60632,,,31302.15857,,,221304.67,284.3938143,45864.97938,880.3626221,,1173.68969,,4753.200174,351.7036507,,,19905.47132,2093.468562,,12455.44618,,,,,39476.91345,,,13759.54485,,,14846.36982,519905.9361,,,22307.61299,13637.24264,63976.52708,71566.40984,,6176.897141,,362.537838,,,186.2428671,25003.43382,,,,,,,,,,,270.9553969,,,,,,,,,,,,,,,,419.8981155,,,,,,,,,,,,,
Solv3,cd_exp1,neg,Solv,Solv,Solv,1500060.079,4621.043801,157257.5629,29274.86618,103177.3155,36834.90647,53714.64238,4111.154229,5437.285366,1805.666012,3237.947497,,,8505.418706,159428.316,102199.8981,30372.05938,21207.71581,598.130949,42636.19184,,,7895.97868,9307.910485,96131.70841,1291.526508,,,10595.82886,30675.41347,27972.68131,23128.62963,6304.961711,33750.80311,560109.5555,,60268.73451,15124.39391,5401.838295,,,,87981.05919,2186.4539,40431.44508,,,,4515.046157,10747.91665,,,,,2370.785439,1682.003256,,,19138.62439,8643.147582,,29457.0707,,450.805701,269473.9463,1017.089686,55531.21543,1828.89181,266.7930482,2002.340786,,3014.937367,365.9742633,,,26194.89187,4703.080105,,11143.80375,,,,,33950.46587,380.1519913,,13308.40138,,,12340.22767,613567.2111,550.5091995,,23346.36121,12618.83881,39691.89097,50410.3264,388.0217496,3775.199616,,596.4076978,,,,29677.73072,,,,,,,,,,,308.7853913,,,,,,,,,,,,,,,,1672.931812,,,,,,,,,,,,,
Solv4,cd_exp1,neg,Solv,Solv,Solv,62330.72286,24754.48607,245660.3438,24467.72942,215162.9742,35991.1755,88334.83548,25561.51577,25709.89278,743.2613958,3169.678059,,,6773.574602,202707.1427,133871.6889,48349.60961,25835.72263,1386.706203,105037.7722,,,8004.397475,15256.9441,82429.3844,1913.905529,,,18961.109,41849.25637,55615.4219,38579.78265,8163.001277,53661.03423,1039434.872,,141852.7745,30230.5798,17622.77587,,,,66352.38288,9807.168578,97771.19724,,,,8564.067433,17639.15479,,,,,5675.105579,1080.16186,,,31613.02411,,,22759.24959,,,552053.5355,,127691.2734,2551.706731,,658.4029012,,11667.96673,618.2248532,,,11576.64302,1591.56574,,11589.08911,,,,,61512.8175,,,48494.62401,,,19755.50218,1208950.353,,,56707.28082,25613.79807,80438.1711,87894.99104,342.5128054,9304.392652,,829.5466416,,,,36161.04783,,,,,,,,,325.2533937,,,,,,,,,,,,385.6799424,,,,,,3774.379037,,,,,,,,,,,,,
