Cmpnd_short,Cmpnd_full,Formula,Mass,RT,CAS_ID,p_mix3,p_mix4,p_mix5,p_mix6,p_mix7,p_mix8,p_mix9,p_set1_blue_546_R2,p_set1_blue_617_R4,p_set1_blue_618_R1,p_set1_blue_648_R3,p_set1_blue_669_L1,p_set1_blue_713_R2,p_set1_blue_773_R8,p_set1_gray_551_L2,p_set1_gray_573_R2,p_set1_gray_608_R3,p_set1_gray_796_L1,p_set1_gray_796_R5,p_set1_gray_843_L4,p_set1_gray_843_L5,p_set1_green_574_R1,p_set1_green_592_L3,p_set1_green_593_R1,p_set1_green_614_R4,p_set1_green_675_L6,p_set1_green_675_L9,p_set1_green_773_L2,p_set1_pink_670_L3,p_set1_pink_672_L1,p_set1_pink_686_R1,p_set1_pink_751_L1,p_set1_pink_754_L1,p_set1_pink_847_R2,p_set1_pink_847_R3,p_set1_purple_552_R5,p_set1_purple_552_R6,p_set1_purple_605_L3,p_set1_purple_608_L1,p_set1_purple_611_L4,p_set1_purple_621_L1,p_set1_purple_843_L7,p_set1_yellow_599_L3,p_set1_yellow_666_R2,p_set1_yellow_670_R3,p_set1_yellow_672_R5,p_set1_yellow_751_L3,p_set1_yellow_751_R4,p_set1_yellow_847_R6,p_set2_blue_561_L3,p_set2_blue_592_R4,p_set2_blue_617_L3,p_set2_blue_617_L4,p_set2_blue_669_L2,p_set2_blue_669_L4,p_set2_blue_675_R2,p_set2_blue_772_R1,p_set2_gray_551_R3,p_set2_gray_610_L2,p_set2_gray_611_L5,p_set2_gray_621_R1,p_set2_gray_621_R2,p_set2_gray_796_L2,p_set2_gray_796_R1,p_set2_gray_796_R4,p_set2_green_593_R3,p_set2_green_661_R2,p_set2_green_675_L1,p_set2_green_675_L3,p_set2_green_675_L7,p_set2_green_772_L2,p_set2_green_773_R7,p_set2_pink_670_L2,p_set2_pink_670_L5,p_set2_pink_670_L6,p_set2_pink_730_L3,p_set2_pink_730_R1,p_set2_pink_754_L3,p_set2_pink_847_L1,p_set2_purple_552_L1,p_set2_purple_552_R2,p_set2_purple_552_R4,p_set2_purple_573_R4,p_set2_purple_608_L4,p_set2_purple_610_R2,p_set2_purple_632_R1,p_set2_purple_843_L2,p_set2_yellow_599_R2,p_set2_yellow_670_R4,p_set2_yellow_672_R1,p_set2_yellow_672_R6,p_set2_yellow_686_R2,p_set2_yellow_752_L1,p_set2_yellow_753_R3,p_set2_yellow_847_L4,p_solv2
pC77,Tryptophan,C11 H12 N2 O2,204.0899,3.18,73-22-3,487926.466,482402.7167,478496.4148,429196.3761,400233.0855,369950.7108,326256.803,680774.9421,443574.1413,448690.5344,380685.5889,275618.3095,353890.17,338822.0392,187869.269,382679.6119,202552.0967,172316.1266,283804.1542,275439.4016,334970.4954,373546.9272,396604.4644,398817.353,187540.7282,252046.9746,265684.5034,386339.5754,490734.0798,338252.0983,282836.3811,345793.2596,324584.7914,262490.4387,314280.4985,323261.0145,467920.0954,204993.029,281004.6315,242227.9827,175042.7191,315401.5641,418823.8168,338708.5892,262920.3483,234385.4981,369082.1105,350530.4172,213513.0483,520603.2657,450222.338,544028.1336,576484.6091,588518.3642,819535.8625,212066.2887,131571.0708,216489.2537,487739.3296,245360.2686,198334.7357,212333.2022,433571.4139,405906.1587,556802.4551,326034.8363,353714.5187,167590.2009,336024.1755,526652.1887,80751.08836,326673.1637,255966.7744,549132.2172,270999.5558,406038.4675,291256.2418,479626.9757,331670.0706,481729.9103,314773.2697,365028.8736,470132.8384,253474.0797,303661.3402,94230.85206,300364.5848,389009.201,418353.3168,242197.4244,253206.1059,342775.8892,305148.674,231995.3053,346262.8896,37529.8857
pC78,Kynurenine,C10 H12 N2 O3,208.0854,3.23,2922-83-0,41640.84601,39627.54701,35760.57266,34540.13813,33673.46045,30644.18752,28659.89171,62786.40784,31158.13541,25704.32472,23588.52805,12449.35733,22623.91882,26090.91004,12056.16833,34001.24751,11145.38309,11475.95329,24151.50378,18014.45989,23507.19949,17136.43405,26063.01022,23500.38118,9490.99441,24207.11959,20859.79345,26357.13989,44911.84538,18381.53342,17737.96517,21328.15172,16588.54051,13609.6718,16388.5278,23788.37692,40246.12923,12118.32824,20668.35612,17355.98438,10675.38796,20167.39899,19485.29668,17757.89165,19096.79173,15579.13278,28428.00217,27689.07494,10586.77838,53973.56553,37333.82539,47272.76392,57542.79049,11175.74029,22728.39771,18133.46725,3158.156808,15029.80451,37960.04538,13350.68229,12746.73254,12295.21049,32802.71659,29665.05503,41332.15281,30929.50861,35638.26834,14738.07325,34555.98244,52318.69157,3671.839902,28335.6225,20612.46024,43544.45742,23323.65767,26721.73639,17541.93393,32077.81207,15071.83354,28729.19461,19997.32762,21857.467,44585.61613,25768.519,27173.57614,5301.124158,24035.17351,25553.14144,30496.13243,14605.92462,17845.66016,22957.22518,15926.79289,13965.74462,16841.45864,2349.838698
pC79,Phosphocreatine,C4 H10 N3 O5 P,211.0359,7.51,67-07-2,97303.60041,95841.97071,95601.33186,83581.42434,73580.90967,65812.93492,60756.86552,156614.7881,21738.06171,70651.09006,263758.0635,24446.66428,98795.79945,226574.0356,144653.9292,40290.9174,54225.13349,57008.84114,80237.02847,41261.43694,41430.65052,117418.8573,42430.15738,199165.5133,80362.85701,31360.61706,188672.025,92587.12918,96012.98707,138496.3157,155305.4581,52980.48016,116563.5368,120682.7356,54152.13673,32592.47377,121682.8909,6841.259198,30744.37513,129188.2533,144118.0239,59008.47182,281044.2839,32691.78475,137969.9528,72263.12573,28110.12708,91306.5056,19093.79046,82154.91499,50343.18698,14628.81546,38337.50524,28213.31358,31351.81749,90423.23702,22333.81743,55223.77229,79782.03236,129627.0029,212910.6309,237356.065,56838.8784,23712.20568,49384.407,147375.041,31438.88637,73444.83083,75094.37881,33870.15232,53222.20907,140280.9076,101456.3998,93746.10435,153506.3944,65528.87798,131256.2436,176224.2399,133524.7716,193932.8944,133998.3893,152047.4899,141317.256,88355.20259,33059.10427,1385.893438,70339.74497,244501.4505,223141.3321,163319.091,129894.7859,145271.202,78681.83784,19772.43308,56820.60781,961.5918148
pC80,Propionylcarnitine,C10 H19 N O4,217.1315,4.27,20064-19-1,459027.915,452339.7524,467037.4445,395876.3478,382034.197,348880.8256,306033.3787,718009.7864,519967.9034,300711.5878,358823.5016,528197.0863,295017.3816,246647.709,224582.2895,294678.1712,288768.7514,119278.9723,108611.0827,288197.5849,261849.0104,332691.3821,243032.1614,317642.7252,241323.8985,207526.3788,143051.235,318557.2544,564137.8875,221514.4821,221034.8695,337081.888,353907.6348,113068.362,136011.2963,504181.1746,515363.7543,310591.8814,286801.8197,318706.9478,347769.3276,224458.7407,490801.7532,172736.0856,325414.6651,289808.4236,321559.2807,335815.5703,118885.1581,417569.7655,304531.3374,215687.7731,200757.1392,250502.9022,273123.4199,270630.6226,212927.3924,212718.2433,324263.381,326265.479,306528.0914,367226.2446,294482.3593,153182.8926,247910.4463,342973.7733,106820.1217,212415.0688,209992.2378,396355.6949,243443.0905,270985.589,347924.7381,485675.3942,349682.2998,386708.4333,353253.5191,379170.6234,166421.6535,427300.1439,497604.7398,331682.6241,275242.7528,309632.1162,236840.3954,16545.66681,252155.0125,516053.3454,612554.016,303919.4616,224953.1115,388209.8495,319526.4732,221644.7116,257428.1868,10459.29182
pC81,Pantothenic Acid,C9 H17 N O5,219.1104,2.2,137-08-6,358299.5,363616.8545,359011.319,367325.7206,308349.4358,303440.1762,284700.8217,255052.9812,325856.6061,307206.9376,194803.2819,121792.5808,238151.0215,157740.3244,143935.0816,326631.1954,152553.9194,216334.7138,251169.2648,290871.1429,336212.1731,166495.2115,320749.1818,160702.5967,128902.6219,190131.2769,252996.7339,259029.365,388719.9974,326794.9599,233656.8303,309259.1149,268094.0153,162783.4557,238856.1438,286305.6226,423987.0157,174225.4271,215784.9599,225294.0988,219202.6866,281383.0382,294362.5701,232172.8244,246696.0524,206904.8296,339013.0458,291706.317,200301.4209,179895.3935,311731.0183,364295.3382,349992.4305,68255.75872,84489.46734,199898.5484,66534.46138,196815.2536,285908.0692,204169.6493,170465.0655,253309.4044,433400.5251,365052.5927,492010.3771,209755.9667,282854.396,146656.3038,249263.863,500136.7266,40044.80706,213696.5894,251440.6808,407848.1056,235533.7831,192245.3463,142804.1728,406098.2825,203252.2302,393600.7425,279799.7578,221756.3337,356179.6429,213437.2843,127872.69,24031.10352,306781.2047,313943.6131,325945.6936,207985.1239,261553.7993,185759.0877,264982.9309,189581.6031,266742.2619,5359.258726
pC82,N-Acetylmannosamine,C8 H15 N O6,221.0892,3.26,3615-17-6,13645.60433,11276.83605,12689.60827,8358.392946,11430.23098,12193.28283,8179.836789,23187.57419,11480.00714,6600.003845,4943.496049,4317.930747,6151.628792,1849.856582,1665.277796,8715.828139,6066.778977,4048.576172,3948.568747,4532.551822,5267.172148,5403.094787,7093.593002,8276.302419,3467.048671,4101.317003,2800.768553,5358.991153,14586.23599,10425.99685,6804.069241,9785.033832,18680.69948,3920.503051,4208.04444,4704.841541,6456.730844,6267.704114,5716.843575,4452.350078,5161.26569,5783.317907,7186.175528,6213.805461,4925.079087,7154.54809,17082.51475,7735.406464,2516.098644,31921.451,9293.082857,19500.60087,16361.88193,7686.628223,11410.38074,1752.653865,4310.734556,5977.864107,6018.92887,4011.131864,2583.422449,6400.680591,7960.352486,7396.594956,9549.911169,7193.0914,6730.535041,3274.391148,11129.22463,11267.19578,4361.275838,5229.912537,3233.60259,27130.34768,12690.57123,12724.30903,6244.350866,21714.13243,4174.73419,5081.683506,2368.883007,3539.165141,18241.82009,5405.84341,3421.565233,544.6917875,4436.754153,9737.231134,12866.05546,3705.988663,6148.682594,5702.77175,3503.48504,3278.575117,5591.007436,1556.1407
pC83,Deoxycytidine,C9 H13 N3 O4,227.0912,2.18,951-77-9,17356.78231,16703.78963,18686.6641,17810.1535,17160.88966,16962.18834,15696.12316,13841.45116,13707.87119,8764.496758,20187.23675,7187.174369,15407.39557,19609.4696,8393.236158,8494.990779,13637.25092,16452.20739,15956.12855,22318.14331,20208.09755,42961.48833,11843.45976,38606.7699,9659.904191,14888.4054,12314.33334,15380.74194,22375.90829,24712.60704,14684.88934,16271.81547,14504.61018,15683.71002,12025.25396,15477.3354,17929.26834,17985.90158,17505.10312,21664.1084,19380.99787,18573.74146,18330.63161,13260.09509,17383.90872,23021.31044,16112.70823,12920.64833,16025.53054,24182.15345,10605.21613,8164.596307,9950.998223,22936.87066,39297.78749,13564.16031,12989.74582,13388.12728,12750.67829,17960.50201,21175.19166,20502.69166,23196.77829,22291.86904,18426.84486,22222.67146,8073.121962,3426.422838,16744.07086,21363.8201,8730.14761,25762.74837,17531.82159,15109.60658,18694.19212,13343.90938,11190.02636,16751.13005,9990.099468,22361.78751,11395.22963,29137.02459,16170.57307,12377.30431,8714.756837,1571.532069,20610.15893,17794.43868,13546.44268,25597.93994,18676.43154,15974.45353,9829.155845,10147.31472,10058.84054,848.3306791
pC84,Deoxyuridine,C9 H12 N2 O5,228.0758,1.33,951-78-0,9626.73076,8179.32171,9050.127328,9246.428641,8740.466622,8168.389113,8104.486554,5806.258813,6520.578652,5132.868551,5212.392978,2916.221556,6945.245243,2201.682561,2851.272094,4434.097923,2175.307449,4023.952058,11937.46557,4896.717871,7961.380431,4031.067755,7760.183647,2153.614485,3599.202511,8700.714924,10135.00867,7346.433147,7921.422397,5773.116607,4715.521456,3556.079457,2490.104882,8522.75119,11505.79999,2520.752326,10318.94477,2911.176408,5328.419608,5189.220958,3037.333504,10972.96482,2115.346104,11477.46913,4976.316722,6445.371809,3419.998769,3671.411551,9328.48898,3173.343108,8805.035224,11749.47938,9654.89485,2943.18816,4749.932924,3774.540517,2318.587786,6604.759425,13459.92329,2173.434601,1913.170952,2022.669131,13814.1452,18719.48292,14613.38231,3840.42878,20937.57128,2420.337113,11707.14183,19214.26061,2365.6716,4144.08221,2930.627627,6222.075361,1075.698324,8036.203131,4355.125163,4252.345972,14125.56386,7935.639039,5628.873117,3398.013199,7130.385198,4409.876769,4813.221981,3618.887033,8208.773273,6042.440033,2533.647558,3091.43453,6520.231131,7121.457809,2479.536638,5242.52513,15193.19402,1207.934095
pC85,L-Ergothioneine,C9 H15 N3 O2 S,229.0896,5.45,58511-63-0,4311.750765,3351.385794,3741.715751,2979.46599,3701.844108,2516.39134,3300.574469,3199.778264,1695.319099,2608.041843,1870.013979,241.9842627,1491.220702,1832.243322,1647.014022,1695.065384,646.9916412,2258.20029,2809.747023,3400.549762,2866.821129,1371.275907,1328.748371,821.7189267,217.486115,4037.964969,2345.501585,1353.674863,5998.019703,4854.596442,4179.673382,3772.853861,5243.613154,3804.548818,3073.511633,2168.606994,3394.846477,524.3904427,1297.939864,3052.924089,1401.010375,2572.552379,1247.481348,3444.167855,4305.003285,4129.787945,3851.522141,4023.967525,2097.483253,2306.984919,1964.829957,1735.634957,1543.198223,371.4631317,829.4308826,2119.5417,1008.570926,1849.054218,2464.175391,491.6709087,978.4175753,1169.477933,7129.680971,6739.455443,7002.749857,1582.79822,1229.673601,5708.52571,4635.179821,6752.157633,1411.738281,2322.44166,4954.10056,8521.969224,2847.378153,1494.8228,700.9286579,4919.849799,3442.371434,2764.408223,2548.246507,3563.853693,993.4650573,303.5657236,897.0899023,108.0204314,2668.206259,1965.177589,5439.239258,2963.972724,4633.11934,3919.990186,3280.270334,2118.412645,4613.113759,1252.653266
pC86,Thymidine,C10 H14 N2 O5,242.0906,1.18,50-89-5,18696.56045,20265.01755,20971.25319,17580.14898,19091.5017,17917.55981,15669.0374,26023.05113,9229.364623,13265.39335,18346.23158,10454.24546,6941.626752,10264.75611,21464.64696,6390.462451,10916.27156,8469.414044,12523.64389,15082.26589,17140.55825,25305.41199,17164.53655,35201.98254,18604.75697,21676.61248,19401.48916,22259.27593,35844.16252,20180.80028,23791.82997,9597.965078,16800.55814,21192.62426,10901.80015,17150.93721,28784.38819,13481.91311,13018.61143,20867.24756,7279.138984,16828.35286,15751.25683,24843.34236,18063.89804,20134.89907,13244.54645,6387.043459,13916.10633,58181.98789,22823.34397,13267.72059,8234.61002,55657.68571,63277.02773,22643.86662,16007.94728,16080.11566,11790.31682,24612.46921,11465.07134,15394.89761,23379.18362,23056.31396,32011.10686,16919.51627,9256.074601,24166.01031,29457.53522,48183.80518,10413.48597,22705.12068,13636.67647,17003.56026,5848.567034,55636.95061,25252.5511,6482.466634,11738.11675,17653.78111,9980.494935,14617.12253,13860.94986,14449.45734,9670.104066,6351.589591,17732.92942,7681.372551,11992.2801,11816.44424,13465.18696,37979.1987,11917.48192,18897.98129,16557.65027,877.3118032
pC87,Cytidine,C9 H13 N3 O5,243.0856,2.84,65-46-3,254310.2591,257856.3574,265039.8407,256216.868,207622.306,199801.603,201422.2624,379175.3733,261694.8775,220059.1913,154000.8666,255047.9993,176513.5309,61231.11748,125699.6614,140248.3373,156897.1286,87410.93216,203658.057,140576.7968,166895.5407,151883.8576,232279.9553,265458.3053,184561.7584,172961.0509,158460.9327,236860.3236,276895.8425,182223.3419,200910.4807,134658.0014,220655.3327,193267.1171,147048.1416,215499.8073,297365.1471,251872.4986,185724.8973,167997.9532,164494.5514,171180.4705,200770.3396,199327.4714,160372.749,207318.3541,164235.6412,72809.16849,139863.8606,521901.3853,279020.5541,320531.5023,238328.2584,539083.475,563339.9999,199322.2635,106915.6008,158658.312,183358.9207,217610.6821,122331.2412,162609.3979,197188.8251,231018.2211,371135.7955,261901.628,198799.4179,199469.7557,212814.2449,360766.8707,151088.2238,113813.3467,99848.03871,195488.0943,105139.8243,466835.2817,262558.2292,234844.2357,161676.2487,232249.1071,157644.0202,170359.2902,201023.3869,219848.0767,206889.2823,34121.14926,144408.1225,180810.118,194075.8413,130680.2433,145516.8848,289200.5124,113639.8282,197932.7094,183844.6513,1318.660556
pC88,Uridine,C9 H12 N2 O6,244.0691,1.69,58-96-8,6309.103118,6297.86735,6295.885571,5225.350473,5985.676895,4341.802128,6417.734662,10356.97545,6896.823203,9940.376655,5868.765523,2308.488977,3322.100612,2108.688456,9997.918694,3985.192405,3506.02048,2189.740294,6771.437226,4056.885655,6397.081277,4311.750799,5509.799598,7072.029641,22252.51511,10519.87406,7084.022054,10208.97364,5699.852152,4637.449253,13605.52289,2245.654035,7616.041108,9938.39378,5181.326875,5185.850888,5549.851228,4287.197925,4494.733863,5238.495006,5867.467153,8229.909428,4096.343321,10852.90165,7883.745986,11643.66551,2740.171135,3462.071692,4679.412525,16098.01366,7470.18323,7835.106415,8742.515088,46825.42438,45721.57296,5047.993027,6122.497851,3574.791427,9213.061241,6562.037109,4816.913856,5647.533551,7154.42143,14088.81747,13588.02746,7680.740742,5604.567987,7438.957148,10894.306,9969.518441,4950.714005,3766.851286,4124.625993,5649.723933,2700.121151,24136.62837,23073.38734,5359.093843,7507.973359,5289.04739,4801.937888,4789.937091,3814.703527,4998.083884,14737.48907,14122.6538,5450.170099,3262.053784,5240.407495,2490.223452,5403.577168,121166.1825,2386.359729,5073.919113,3939.623191,600.561489
pC89,Biotin,C10 H16 N2 O3 S,244.0887,2.84,58-85-5,30198.17584,30579.77529,31571.36239,27414.12273,25499.23348,21777.62381,23122.07095,43448.37297,31894.74201,26083.04974,20275.41629,33326.49766,20426.904,10097.23966,14495.29903,17501.90726,18467.44605,9349.483791,23441.96112,16237.11162,19801.50779,16908.84566,26018.28799,30082.47399,19394.40439,22461.08205,17121.90318,28901.78157,31493.00658,19707.30548,21796.07071,14377.92386,23315.1907,26547.84963,18790.6682,24092.75813,34301.73922,27246.82365,24618.04249,20386.05871,18648.21124,25458.27427,21406.78911,23060.9179,19557.04196,27469.05631,18788.61278,10204.39729,16019.78499,55533.15701,32607.83804,34309.21772,29398.49893,57342.98856,66665.80821,20792.94699,12358.10222,19959.36263,25826.31427,22010.51321,16810.74566,20402.28997,23055.21573,29698.11717,40948.23303,33090.83788,24267.11214,24579.18669,25839.03579,39703.56474,16362.24654,14600.33535,13124.8946,26471.58519,11613.93482,58902.66428,31315.27826,26588.65068,19384.80213,24660.48099,17401.71957,22964.74937,24240.17954,23345.74087,22497.16127,4545.370669,17409.38147,20776.69454,22487.06678,14379.18994,17813.38516,36748.55321,12982.29619,20755.00012,21764.36955,756.4433754
pC90,2'-Deoxyadenosine,C10 H13 N5 O3,251.1038,1.71,958-09-8,5614.632187,5756.531349,5881.674372,5046.836055,5105.720064,5247.865533,4891.703432,7203.721795,5014.189499,6399.82033,5370.144076,2866.066073,3330.160178,5627.115307,7081.206258,6468.593409,3983.553272,3465.041326,5553.552085,5038.905145,5282.700763,4302.218659,4217.087505,4907.775826,4679.374223,7191.23566,4276.451632,4958.7462,6696.489971,4575.302084,3820.517472,3779.675469,6212.739415,7464.246977,5015.961336,4969.071667,6274.393206,3194.032703,6987.182693,6448.937839,5367.267456,7814.152802,6686.991323,5204.53858,6083.982394,6732.096294,3614.55585,4746.462816,3227.542938,7562.921686,4841.903714,5587.814021,6493.546907,6312.324668,6073.865819,5019.788868,3531.70158,6429.584436,7625.1027,4315.409779,4514.798207,6627.055851,6034.221657,6036.480032,7547.58662,7498.33261,4568.310981,6200.599009,5470.33477,6821.323991,5709.357502,5481.978534,4825.235065,6219.639651,4032.504058,12842.2294,5778.549607,5702.225842,5572.412223,5915.509801,4225.178657,6225.151716,4466.707456,5550.896853,6189.932724,3038.788943,4036.582455,5174.579115,4956.190427,4214.630648,4800.034321,8473.960628,4643.057089,5333.353208,6220.330535,2980.513845
pC91,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.1031,7.23,28319-77-9,1282332.665,1279882.864,1258751.382,1147668.345,900383.95,920571.0862,852976.8056,1265603.229,1351610.067,1142593.352,1320534.684,574343.2028,451799.2293,949542.0922,1422414.136,829031.7063,1109045.172,735850.1058,718004.7275,1686078.719,2078838.225,847827.9582,1255281.147,769479.8434,2499110.236,1185259.927,937672.1251,714400.4793,497162.0415,1275622.887,1993004.132,319384.1013,509067.54,866966.2303,1070550.998,1283522.847,1651191.532,836082.3549,674832.585,672899.1581,1252653.027,1651337.265,967852.7993,903557.0728,310119.0274,935186.08,273106.9866,257889.8682,692637.7883,1120906.471,1370488.944,747308.7618,657923.4222,1534034.017,1472465.717,897564.1337,1405359.563,1560173.684,1143484.563,687562.5744,1023561.979,1347391.171,2662273.582,1379468.499,1997538.187,674939.2111,1271490.096,795746.6636,2125215.04,2644026.305,1370399.68,1142872.021,356917.8833,514881.8807,528739.2125,621421.6243,885007.2363,797334.1695,1648466.646,1186716.559,1302533.225,946727.9,1013828.929,561605.1422,1654418.563,28514.67121,2270550.253,981691.7976,539718.8427,850627.2596,1324000.792,1616731.221,693992.0925,1044202.548,1292901.342,939.8284297
pC92,D-Glucose 6-phosphate,C6 H13 O9 P,260.0298,8.41,56-73-5,1462.189826,2231.499765,2423.333064,1579.960137,1493.149691,1183.841187,1206.931683,1358.817168,1633.763666,1808.121502,1005.02533,533.3139524,356.0804002,623.399444,1350.038822,1187.459562,639.6209233,836.4484405,917.3118033,2164.099899,1806.948005,1665.658854,371.4162669,701.9220213,450.0464663,564.8303843,2117.566502,1822.161737,2464.201901,2156.847122,549.0952045,2604.572843,2057.525,1022.106937,1316.463235,1815.809738,2383.093632,325.3188984,679.4039943,1612.769858,1109.599857,1829.152637,972.2176944,2232.651917,932.5070224,1861.032102,2026.774394,1432.135098,1098.673862,1248.435159,914.3419395,962.1022659,1539.128234,153.6481259,816.4831868,250.4138269,1487.859685,619.6449769,676.116225,445.3347027,1180.322628,1180.423809,1590.06589,2064.824794,1422.889178,,1190.722879,2144.927292,1386.739693,1502.46192,707.161525,1695.310377,1727.761424,2274.199419,1355.867174,636.4287733,664.6229686,2303.294288,1671.520741,1205.877207,1247.306036,2279.760349,1481.886017,899.8949992,154.8240861,,1461.674975,2011.774176,1184.231636,1998.551124,1282.025632,197.0699101,2189.413591,2123.024135,576.1977726,
pC93,Thiamine (Vit B1),C12 H16 N4 O S,264.1054,7.95,59-43-8,40268.24722,37946.41865,41825.13792,35563.85014,37152.9092,31895.39714,29035.63813,49956.34901,51851.36137,47415.74641,25274.87698,27564.37951,18241.54206,15705.6436,13344.18376,25842.35235,9884.423938,15631.8444,29326.98366,25847.48214,32803.45121,15539.29515,24635.33639,19339.75943,11604.48354,26530.18313,38968.66616,73564.61586,49306.59681,21723.53847,27895.69416,23301.8969,73909.14353,36487.61833,21030.27581,14515.2173,37826.80484,11961.41872,23992.36789,18430.81837,12263.84215,31374.90281,24970.07932,50317.21068,36684.46667,34497.58234,26954.8662,26009.84882,13370.56,55699.01151,30150.7349,102184.1851,64719.81053,57080.31307,41103.19162,17863.97816,26695.39237,24480.63752,32693.55353,17010.53438,7341.75073,21511.5454,38996.3318,49866.345,53809.04166,27767.81421,36623.08295,68791.73621,39303.16251,59422.83639,45423.62377,22749.25475,26746.94354,54701.45902,34431.27786,114999.4423,48108.81261,77163.6423,30536.06793,23336.40564,18169.58532,26394.30702,28568.87518,19745.76398,25197.0569,12496.92112,33246.75623,22233.461,66115.04423,17034.17505,24595.05678,53755.90933,46792.81853,19292.08695,23691.52927,2163.279102
pC94,Adenosine,C10 H13 N5 O4,267.0969,1.76,58-61-7,14200.11183,15322.44432,15832.56026,14913.97146,13102.78036,13944.17953,13159.15277,31500.52634,12312.75809,26528.94749,9767.024875,2219.335627,5291.71753,5311.804032,41798.29966,10389.13937,24945.28734,10265.2647,11737.60793,7455.718126,25854.12438,6873.889413,15979.57636,29675.84427,19979.12596,33060.93532,33896.37655,11715.79607,14064.25437,17427.62039,45101.46224,3635.955092,20673.66565,15751.41062,17116.90175,8833.004239,16169.97971,12904.95506,14595.76968,19954.27487,27583.70308,13583.07141,16359.03448,73101.14863,16626.04718,23162.61727,28529.57324,4731.472463,10706.0908,30534.20605,33006.34321,13489.44217,18327.22927,10669.38033,24114.92212,22170.01948,33213.68387,14958.48926,19407.32758,15300.05929,13392.10031,26997.16005,17734.61387,51216.20397,36668.92177,8757.838963,8177.003834,9184.858929,53246.46128,39411.98379,32488.6137,5890.213812,7375.942342,11240.37884,7452.258405,59712.06085,31631.99582,8183.528582,82694.86861,10162.9475,13968.35804,11891.7031,8635.956192,12694.93832,43740.13941,430688.5963,10177.81419,15317.91476,10496.23321,7029.091639,11460.45175,20252.77088,4290.650383,6960.505263,14522.05992,1426.171444
pC95,2'-Deoxyguanosine,C10 H13 N5 O4,267.0975,2.56,961-07-9,8315.185272,9106.575972,9179.226045,8402.925572,7337.590413,7718.0956,7040.89959,6722.771477,8917.305191,6022.586119,8536.048129,7282.179715,6413.904094,9737.098564,1632.671528,5375.321393,4844.890401,5878.557613,6548.106456,5868.246709,6383.207753,13467.12958,6298.84856,8892.008021,5633.479989,8121.546119,4318.572683,10749.99819,12625.2069,8810.089119,5568.651279,7936.636056,7917.039619,6423.688914,5391.832181,6501.517146,6680.32602,8133.459289,8169.527584,8969.618236,8620.228142,6712.300792,7848.509881,6734.755495,7541.674182,8841.077994,9945.604468,7910.94241,6401.771836,12757.28085,5411.899472,6405.904667,9708.921052,6336.059539,12721.49012,2825.787801,5379.597172,5446.816729,8922.169966,5544.921099,9413.629152,9414.993402,8328.343399,9634.708093,9480.143284,10541.35857,6378.379379,1490.766284,6276.251355,6580.777922,3693.431903,6401.189423,7305.387601,13114.46742,5878.732678,8357.754084,4984.584332,9014.536932,5884.917828,10982.55703,3624.821946,14932.63261,9895.325412,7619.177134,5366.213318,1050.572,6352.058845,10039.59998,6382.000595,9045.594506,5484.713392,7710.226006,6467.561609,4049.85559,3850.038733,1592.021893
pC96,Inosine,C10 H12 N4 O5,268.081,2.35,58-63-9,193123.3146,191490.4756,192600.0846,174948.9511,163014.0097,161488.7456,141618.9764,411853.7691,208481.0959,135650.3092,102229.4481,108964.4868,50014.11497,38860.98241,129112.6631,91965.29474,73169.85882,37567.95526,104785.1415,83320.29666,140531.9095,83937.63475,201014.756,183402.7198,167519.9128,236672.8998,75929.32848,203726.0363,261174.0622,140570.8964,258667.0811,97906.35378,335370.3947,193726.7951,128128.7805,99607.86545,156579.8514,135500.9745,94958.84018,76747.79166,98443.69678,134342.7205,108130.3418,312012.463,136713.1324,218713.3435,176741.2904,66560.44767,117286.8512,613940.7356,318927.4749,325634.9095,200677.3334,446123.0157,205721.3442,129436.4967,128517.7685,118922.3698,100584.4525,110638.0817,45053.59823,88983.60685,134991.4981,239649.3478,280294.0597,170867.4252,107303.8143,157465.9056,215814.3753,258687.7969,188128.7681,87454.62011,63451.03967,141426.3444,104188.0184,572734.415,252580.754,162369.8872,103988.5171,79101.42126,71060.5068,85202.94569,127016.2548,123012.7682,217633.868,72375.83281,91303.29504,66765.61808,172839.633,62792.80194,90772.78369,472671.8003,76938.43927,104366.9324,118649.8759,2319.922587
