Samples,VPA,FA,hVPA_FApM1,hVPA_FApM10,hVPA_FApM11,hVPA_FApM12,hVPA_FApM13,hVPA_FApM14,hVPA_FApM15,hVPA_FApM16,hVPA_FApM17,hVPA_FApM18,hVPA_FApM19,hVPA_FApM2,hVPA_FApM20,hVPA_FApM21,hVPA_FApM22,hVPA_FApM23,hVPA_FApM24,hVPA_FApM25,hVPA_FApM26,hVPA_FApM27,hVPA_FApM28,hVPA_FApM29,hVPA_FApM3,hVPA_FApM30,hVPA_FApM31,hVPA_FApM32,hVPA_FApM33,hVPA_FApM34,hVPA_FApM35,hVPA_FApM36,hVPA_FApM37,hVPA_FApM38,hVPA_FApM39,hVPA_FApM4,hVPA_FApM40,hVPA_FApM41,hVPA_FApM42,hVPA_FApM43,hVPA_FApM44,hVPA_FApM45,hVPA_FApM46,hVPA_FApM47,hVPA_FApM5,hVPA_FApM6,hVPA_FApM7,hVPA_FApM8,hVPA_FApM9
P2_VPA2,vpa,base,-0.048791603049543886,-0.18078117573580632,-0.3081542897960145,-2.038673143806263,-0.7764287631905846,-0.024369811383732634,-0.1078748460990453,-0.03178202804662567,-0.2977033426071578,-0.12172934098366826,-1.9002368319005067,-0.18776878799660107,-0.22324031765040428,-0.1344447633881868,0.04189559123294908,-0.11395671981140494,-0.1044361521929572,-0.10900203904022678,-0.12060720219972039,-0.10991554512370885,0.40867608238159336,0.032295561365475574,-0.09924595193809045,-0.05561392047479477,-0.18804964173732885,-0.023995480710548245,-0.19678870710197424,-0.2112898314040039,-0.09766308246169896,0.03293815203136927,-0.25450479345446764,-0.18312140069959795,-0.14312740134657473,2.188015635065067,-0.37059609608027966,-0.1857959060242364,-5.568530197816723e-4,-0.1892235925543077,-0.08955239606955948,-0.14690934327992777,-0.07115797004848676,-0.256913830549769,-0.2837970490836885,-0.11714933510204242,-0.1317834354183438,0.0065973213547607,0.01806230403316105
P2_VPA3,vpa,base,0.06589194269967913,-0.090418896910052,-0.06182638052023363,0.5405570159997897,-1.2645641884246892,-0.011186699693021121,-0.08520589116321764,-0.08357487778759909,0.6788848217689154,-0.1893391504480083,-1.9700935722283304,-0.2804490229190911,-0.25954989276327994,-0.22595853258953028,0.08432625828191045,0.06683670164086679,-0.06236652471934488,0.06824708314438742,-0.2035516411619571,-0.01822237064546786,0.5993191176962633,0.29999710596335055,0.3095276562010096,-0.017757673187164733,-2.6895688131688134e-4,-0.031788095153993945,-0.011475349376780054,0.05445667643362408,-0.08959284767804686,-0.4020903743883323,0.11849660308799562,0.017290327307357103,-0.12754350133585865,1.0882589845562136,-0.11262926284841959,0.12004800193771754,-0.07292691498152523,-0.05155110054923435,-0.21533563509384626,0.12450212207877366,0.004741423224113228,-0.04701807134853433,-0.09413736952268126,-0.057360022564492484,-0.013667930570511418,0.009859058328473159,-0.04785630689062332
P3_C4,cntrl,base,0.164678009661545,0.1393918115845839,0.12244801235766575,-1.3815285467187977,-1.6199459187992247,0.06607922873681381,-0.00826523226350196,0.019024639208863985,-0.43694810086636937,0.08176574769809254,-1.8234380898966651,-0.3178429509750536,-0.07665954008287199,-0.026175558229802352,0.1404300028202297,0.11111398867533866,0.07512804038412159,0.21479596707387627,-0.07890591923321706,0.040470858081075506,-1.2210620225797588,-0.05382975049825483,0.03725255357385609,0.11546055719380408,0.07205911799621191,0.0788269911221009,0.1591933522325302,-0.014750372865177868,-0.05157340101749451,0.2780791857324595,-0.0705995501570594,-0.034205859302783775,0.02270148557438803,-2.460037114534224,0.048442194050674715,0.32355580455819616,0.17778214793660999,-0.007274289350103387,0.2563589716598333,0.1370592950955507,0.19900717809097526,0.19477250102021534,-0.3681360090352759,0.2075763293041276,-0.09286332222094829,-0.16725639646747942,0.11821700069694713
P3_FA_VPA3,vpa,5X,-0.11692099350459606,0.03217144756159984,0.020114284249070323,1.3710812110882458,0.9651640795867955,0.1395234230497514,0.16133132446565535,0.059176017683308484,0.4384646583302072,-0.0723892718905753,1.4729368850681674,0.3531397903417343,-0.094966626151022,-0.07562845754578276,-0.14770642502535833,-0.033126888227154996,0.06743876173103959,0.23599981933226444,0.19408245671020666,0.07592751625950098,0.8525029093076957,-0.3063784691426921,0.019326372386485983,-0.025439488120782037,-0.029754532757045524,0.046154252602681245,0.11293437762800876,-0.08189955952441406,0.17215313513169905,-0.06613155429615172,-0.025604711995941144,0.1281088005502332,0.2776856196385614,-0.341404586900588,-0.08900159956234524,-0.2651248101478518,-0.08314815342875656,0.07683323372578449,0.04815545986254507,-0.012156237114316445,-0.07894880989888395,-0.17107683624744988,0.5231586383802109,-0.0013091301625437687,0.22394492870737515,-0.005369829421894744,0.01934726981606543
P3_FA_VPA4,vpa,5X,0.02632222347268987,0.10886184162638879,0.10162574843933422,1.301743935669304,0.013050759638245368,0.11489590744196142,0.13340513804456444,0.09206481575356884,0.5311895455959263,-0.08524733970260288,1.3099735630862388,0.31428041807821433,0.1316757795555539,0.1329072721143588,-0.10190334976641854,0.014123294852581278,0.07850346059601011,0.09396532163633485,0.11470318644055881,0.10750846371337272,0.4064681645691519,-0.3614097469588831,-0.08607950294508944,-0.09446778928046531,0.09460174596260686,0.0533763879417799,0.07813189547011204,0.14668538493858765,0.1527313688120785,0.11942597322329437,0.17694688899842217,0.22135622391967033,0.20910819348607804,2.3452239821694056,0.14405588797858734,0.008287396481578682,0.06694228949797212,0.20207172821873548,0.15053010283290222,0.06964063475958883,0.018013869247588,-0.007547547482856708,0.2570222334964938,-0.007097401967439597,0.20721674615479713,0.14367459712119407,0.02531698630433537
P3_FA5,cntrl,5X,-0.13825780607939797,3.075825347306216e-4,-0.0033478334698224047,-1.2005148528260197,-0.6366576950916567,-0.1337719709714279,-0.12212167360767401,-0.09263735471488621,0.37906055236418656,0.10913523472493648,1.3923215367973723,0.05382334207350897,-0.12094462099750555,-0.06388107440506566,-0.3871961425778476,-0.04858389213419996,-0.0908099494460549,-0.18772171233421042,-0.16138456530969478,-0.03545313937319963,0.5630499999235306,0.0549127777012945,-0.3825375938029772,-0.15770418549641055,-0.03822586912069369,-0.1813666868886996,-0.1548724610398999,-0.2649994518023726,-0.042246902703402575,-0.19523314087691826,-0.13187036278817418,0.0066004379553346836,-0.27357195907040877,-2.2360715848239203,-0.2758971016247491,-0.39930045495625127,-0.016186913005129727,-0.08396368299272233,-0.1870511204281147,-0.0911215782342507,-0.2004776625390021,-0.18947203006078853,0.1764977160346759,-0.1775599694351592,-0.06759592203450837,0.0028515981375853323,-0.18598845633552302
P3_VPA4,vpa,base,0.20533404218632634,-0.006136718884312109,0.06891919531345922,0.04890145124414148,-0.4279858091174012,0.05029256268268077,0.007766824944666066,0.03849976530100684,-0.006640476592312039,0.27245402831898946,-2.209231130178965,-0.2364062811952486,-0.2718524709442533,0.036253362966874515,0.24161387809329685,0.133172191342169,-0.043156965593493454,0.2338630487748491,-0.12309188995939797,0.03643992391099002,0.36865376901686675,-0.22557234430669199,-0.18129705323260975,0.09512954781169777,0.0837613835287533,0.09668551849532903,0.18053278920180807,-0.06903885383442242,-0.10407513346623741,-0.01998206004931649,0.12705361535857987,0.08965546227269869,0.005977055349373345,-0.27467212367490085,-0.15786609093707774,-0.2776169712919418,0.07878789583289672,0.06596015708223951,-0.13056862618993995,0.08501889487305749,0.07250102776632031,0.11911836921169203,-0.3480444780327834,0.17834036954275154,0.017762534402555145,-0.1095407724662963,0.06603420223328554
P3_VPA5,vpa,base,-0.03816493014730482,-0.1954831379050418,-0.17331383214253263,-0.7948275704674366,-0.6888780073071201,0.0022338386974275343,0.032109342823643854,-0.08622259788565279,-0.10385554420094745,-0.019966578922192217,-2.6721214046475867,-0.36881895730106745,0.016788875988357467,-0.06632437462642407,0.32093281931374484,-0.007054217180268399,0.04469851932463999,0.08242545702559011,-0.16403977286611202,-0.07527083601230802,-0.1458594249801357,0.01968233712405549,-0.06582428549300941,0.07912388165357728,-0.018398140882321598,0.0014219695799349008,0.027703417201956147,0.22732439000575713,-0.04568670714123467,0.19517780057497344,0.22650794620977135,0.04001207711385377,-0.06871847428405195,0.4662229838231062,-0.1654966639491198,0.21233972395228423,0.16959781394521192,-0.09415860330912701,0.11054340723907538,0.10724173734931443,0.12450293632699297,0.18573659144122642,-0.1454570753622666,-0.04579407275760596,-0.05207165909190282,0.18718759057567164,0.009570568677989381
P4_C5,cntrl,base,-0.004521321608462744,-0.3549876016898409,-0.13934713580175076,-1.9236848041599917,-0.6792828334555123,-0.17829554155224236,-0.13296587297321016,-0.10886991633218335,-0.879493877910712,-0.2628452498604298,-1.50365496426021,-0.5593932889725273,-0.350624158033856,-0.06920270973473222,0.05410905225297393,-0.02692159067744611,-0.06649681915020676,-0.21330782447919583,-0.41260402640109345,-0.20581681258505216,-0.9851818641799865,0.4291595839902637,-0.10429993682763657,0.0036857087197925374,-0.09305105736616369,-0.04425560491186986,0.04657569725381341,-0.13839881452937394,-0.24278423269827198,0.03903900438869176,-0.17255976592766972,-0.3377540637733906,-0.27004233672646494,-1.4303181820771766,-0.009180280407817619,0.027135745275962478,-0.05560898644465981,-0.15229147081078914,-0.1346000274108519,-0.025812982244815194,0.07643677969800192,0.03756392612928514,-0.42194487728465413,-0.011806833080993416,-0.19815699653999297,-0.18345455490758772,-0.0013574904073479568
P4_C6,cntrl,base,0.1561258419596412,-0.23029619763720566,0.052516772834014645,-0.21554872177297923,-0.2735807127101975,-0.06340912429682256,-0.054401958924314105,-0.01579337425335004,0.6384384489167971,-0.027095983994268484,-2.325683146545932,-0.34234362317453343,-0.071629662537779,0.04996457897824045,0.03803174692758484,-0.013504793745283752,0.05553110661995876,-0.03718103141759545,0.07668713774497364,-0.032954593700310425,-0.20182032870227617,0.30978648023565575,-0.2101051255816216,0.1530342837885796,0.013272045940468616,0.07640612999688812,0.06829966866287832,0.12253135858471988,-0.055887467610651206,0.22602714242580188,0.21748167172902347,-0.263016925410451,0.043075281316360986,-1.1633801471113085,-0.0634043175221182,0.5030267704840709,0.23677647762596335,0.01567818591288655,0.1536036363848183,0.25342946823395907,0.18807963520957796,0.2196836036200723,-0.5025492507620499,0.12578004284914632,-0.1066964826109269,0.17025350259208233,0.08505569622007342
P4_FA_VPA5,vpa,5X,-0.04992783925737476,0.14641835224975142,0.12703224072210725,1.0224374025181202,1.4642721407781298,0.14666629239808338,0.13243224588543834,0.1489577914847815,0.5187872360602175,0.07749315115746382,1.3857279528882214,0.35594036725040684,0.3683597470038045,0.3499627509004809,0.13188884298865136,-0.014231322592671194,0.08434553904268273,0.15407388221657803,0.2784445112307002,0.14889610775372117,0.1647977634176816,0.10208662952879627,0.24656993226140894,0.14077840373171877,0.05774779035328649,0.09366333339616673,0.07370431341585151,0.25148427883476665,0.26899178931659906,-0.14060701107559406,0.23547665564325518,0.11009603042145408,0.16149633638165697,-0.02987185248291853,0.10127615688404476,0.21453390690096735,0.079271094336163,0.1972964962243398,0.02605868778946282,0.06676026453401308,-0.06844210674801363,0.11257310812321938,0.9370002717439898,0.08972076292163242,0.11326259987333365,0.12754574382491052,0.1652530934714484
P4_FA_VPA6,vpa,5X,0.0883704983015472,0.20488960095546427,0.1234383465053884,0.7215394971358506,0.041354433349654884,0.15596368975209807,0.12609067173293775,0.08556751569398324,-0.415229963374913,0.08819416712681329,0.9526740465499005,0.2756837560368716,-0.04504840193694545,0.045359625326982435,0.08042108721813082,0.1240341792048804,0.14316070442449502,0.12993979267858669,0.22148333401948264,0.11667245665896428,0.4994981992066383,0.13876648434279842,-0.20212797694970203,0.14044844769186102,0.1436881577475232,0.04862354145197201,0.0325745393594026,-0.1688265024373263,0.1332588765587538,0.1154879765623463,0.20777977554847707,0.14090252054525884,0.22547645658377627,-1.0345104520015718,0.19379548979339398,0.12604047893440767,0.10719849714027843,0.07848760336795407,0.23453022596937176,0.13187023581833324,0.021539449088968023,0.14720649141762485,0.25920691842097865,0.027956428568326343,0.23610172012016917,-0.007342473902518586,0.07857095263341946
P4_FA6,cntrl,5X,0.12906882087860105,0.3469870394075244,0.11400358676221098,0.5151650468409628,0.8823181430694902,0.1779199092878826,0.1759512815502995,0.10910545950834072,-0.4930395294720593,-0.19600645795639882,1.7705964345882426,0.27897392681356553,-0.10452569570763434,0.09553607133800121,0.023703527878177887,0.12256113212303192,0.17256511615385095,-0.050531183277754535,0.32971669446545643,0.22310795587958762,1.0669259147478702,-0.5770528101601957,0.23475840028731593,0.1175990827312012,0.17800066808896686,0.10532678146253871,0.08543313056082338,0.3288399389932464,0.21845442149269945,0.15875026934122513,0.21614002507497224,0.17054903186039447,0.27736233264450816,-0.9329168358578285,0.17958334596003042,0.09233158858600395,0.10929664329172864,0.11584681821971216,0.17086379901655954,0.09421354243086834,0.05435974452125562,0.15872663384553873,0.4868255459820481,0.059159291490686085,0.13326710815311826,0.1726982805911667,0.06397282290422907
P4_VPA6,vpa,base,0.03448560188130778,-0.22207556605265422,0.06723524445710746,-1.9498690854443437,-1.6199459187992247,-0.01807165317988514,-0.11570659722559062,-0.07252996167210446,0.0992459729761308,0.01281725196505857,-2.6173818071787323,-0.30374813080454427,-0.19477947724780972,-0.2503751678753138,-0.03972985405055949,0.04445618772618347,-0.10084664508954387,0.04165972496115754,-0.06193506386827137,-0.02621339904482059,-1.3443691532923556,0.19387454662055176,-0.06937052039904897,-0.011109235544874117,-0.04059737887491664,0.043458406292183005,0.07414483411975573,0.01622547896085737,-0.1828871956684338,0.03659598984079157,0.18292755349131942,-0.18132752927160226,-0.154265428847958,-0.4828348623782817,-0.02871291787935617,0.1600223063992126,-0.14105911080682995,-0.05161257912947343,-0.3733527920051934,-0.14114554676236124,0.022616669387856926,-0.019464037255164122,0.19923140380688187,0.027557371666261245,0.0025777963347157692,-0.05793627621240212,-0.038523264217762705
