Well,Group,Measurement,Time,OCR,ECAR,PER
B12,6. GLC Capacity-ctl,2,7.96239773,130.2020723,27.89881173,0
C01,1. GLN Dependency -ctl,2,7.96239773,92.22637266,23.79451032,0
C02,1. GLN Dependency -ctl,2,7.96239773,108.8613385,21.28485778,0
C03,2. GLN Capacity-ctl,2,7.96239773,111.1670052,22.49488332,0
C04,2. GLN Capacity-ctl,2,7.96239773,128.5674746,27.35920525,0
C05,3. FA Dependency-ctl,2,7.96239773,148.3895732,25.14505522,0
C06,3. FA Dependency-ctl,2,7.96239773,130.7020155,15.75316196,0
C07,4. FA Capacity-ctl,2,7.96239773,162.9464969,29.20688568,0
C08,4. FA Capacity-ctl,2,7.96239773,127.5667534,26.0904057,0
C09,5. GLC Dependency-ctl,2,7.96239773,106.9336497,17.98103581,0
C10,5. GLC Dependency-ctl,2,7.96239773,145.9498982,27.16196711,0
C11,6. GLC Capacity-ctl,2,7.96239773,95.95330485,17.94745402,0
C12,6. GLC Capacity-ctl,2,7.96239773,108.3659594,20.31190236,0
D01,1. GLN Dependency -ctl,2,7.96239773,174.3854161,28.98071889,0
D02,1. GLN Dependency -ctl,2,7.96239773,185.5879416,35.05202808,0
D03,2. GLN Capacity-ctl,2,7.96239773,161.6797684,28.59926855,0
D04,2. GLN Capacity-ctl,2,7.96239773,224.2839211,30.44033389,0
D05,3. FA Dependency-ctl,2,7.96239773,185.105851,32.10400965,0
D06,3. FA Dependency-ctl,2,7.96239773,115.9431953,17.47367055,0
D07,4. FA Capacity-ctl,2,7.96239773,209.4750042,31.88491212,0
D08,4. FA Capacity-ctl,2,7.96239773,179.8634072,28.74398153,0
D09,5. GLC Dependency-ctl,2,7.96239773,202.0154794,33.45665303,0
D10,5. GLC Dependency-ctl,2,7.96239773,233.95263,35.27718986,0
D11,6. GLC Capacity-ctl,2,7.96239773,185.7733469,26.60525893,0
D12,6. GLC Capacity-ctl,2,7.96239773,327.0292452,47.49638419,0
E01,1. GLN Dependency -vpa,2,7.96239773,164.141737,33.42511589,0
E02,1. GLN Dependency -vpa,2,7.96239773,117.5221144,23.90062271,0
E03,2. GLN Capacity-vpa,2,7.96239773,188.1739034,31.16449659,0
E04,2. GLN Capacity-vpa,2,7.96239773,140.2566463,22.4368075,0
E05,3. FA Dependency-vpa,2,7.96239773,142.5807258,26.6738439,0
E06,3. FA Dependency-vpa,2,7.96239773,177.3116968,27.3279338,0
E07,4. FA Capacity-vpa,2,7.96239773,168.1260593,29.21722355,0
E08,4. FA Capacity-vpa,2,7.96239773,170.2543124,32.66746497,0
E09,5. GLC Dependency-vpa,2,7.96239773,163.7596762,30.71196249,0
E10,5. GLC Dependency-vpa,2,7.96239773,120.6877172,20.11032543,0
E11,6. GLC Capacity-vpa,2,7.96239773,117.4740888,24.21764527,0
E12,6. GLC Capacity-vpa,2,7.96239773,120.0562379,21.75415659,0
F01,1. GLN Dependency -vpa,2,7.96239773,76.86776345,15.25797341,0
F02,1. GLN Dependency -vpa,2,7.96239773,133.1496125,21.91584804,0
F03,2. GLN Capacity-vpa,2,7.96239773,140.8274545,24.47368305,0
F04,2. GLN Capacity-vpa,2,7.96239773,100.4062171,16.90467982,0
F05,3. FA Dependency-vpa,2,7.96239773,120.3134003,20.45859696,0
F06,3. FA Dependency-vpa,2,7.96239773,209.5321847,29.49482144,0
F07,4. FA Capacity-vpa,2,7.96239773,130.7538189,22.06500249,0
F08,4. FA Capacity-vpa,2,7.96239773,252.4517717,42.81346403,0
F09,5. GLC Dependency-vpa,2,7.96239773,165.0880971,27.1600275,0
F10,5. GLC Dependency-vpa,2,7.96239773,124.1415762,23.6641372,0
F11,6. GLC Capacity-vpa,2,7.96239773,112.6422798,20.65290398,0
F12,6. GLC Capacity-vpa,2,7.96239773,105.0060689,19.46451104,0
G01,1. GLN Dependency -vpa,2,7.96239773,77.99538236,15.88085657,0
G02,1. GLN Dependency -vpa,2,7.96239773,141.9633057,26.00350172,0
G03,2. GLN Capacity-vpa,2,7.96239773,176.6952226,26.64166847,0
G04,2. GLN Capacity-vpa,2,7.96239773,141.561188,23.56008844,0
G05,3. FA Dependency-vpa,2,7.96239773,98.49705283,18.75771382,0
G06,3. FA Dependency-vpa,2,7.96239773,223.8669332,34.24489275,0
G07,4. FA Capacity-vpa,2,7.96239773,227.994867,38.08981107,0
