Samples,Treatment,VPApM1,VPApM11,VPApM12,VPApM13,VPApM15,VPApM17,VPApM18,VPApM20,VPApM21,VPApM22,VPApM23,VPApM24,VPApM27,VPApM29,VPApM3,VPApM30,VPApM31,VPApM32,VPApM33,VPApM36,VPApM37,VPApM39,VPApM4,VPApM41,VPApM43,VPApM45,VPApM46,VPApM48,VPApM49,VPApM52,VPApM53,VPApM54,VPApM55,VPApM56,VPApM7,VPApM9
T1_P2_V2,vpa,-0.8176574830768432,-1.0207846598427812,-0.6511761559938518,-1.009432721198771,-0.7541450695058072,-1.1481330805803946,-0.929682864253419,-0.7055742314619061,-1.0531720970378582,-0.9988400027976907,-0.9099387653238307,-0.8822512632544797,-1.0663736429212196,-0.5009995813735694,-0.5821891153407952,-0.9082366764862495,-0.6160641538256919,-0.9220246002895394,-1.4677808212695975,-0.7962502644049915,-0.9959950506013421,-1.680107280678625,-0.6790498650057297,-0.9874750509630642,-0.9585187220272566,-0.615112972546086,-0.7644985589638752,-1.2973910096244983,-0.8553740906331222,-0.9909602300304169,-0.5909541058006814,-1.0136450667597703,-1.6015899449012347,-1.0281494439093795,-0.8143619212557549,-0.6413846415616993
T1_P2_V3,vpa,0.0067721983123896455,0.11561144932032617,-0.03257647435704546,0.13983096311208632,0.07604331900764479,0.04154055526738201,0.14765685717146607,-0.06118528399787382,0.22046443531694446,0.198446683109714,0.27136150895399336,0.17823654952093385,0.18203382226234463,0.05042221576540498,0.6993053268118232,3.563244403466904e-4,0.14343588837049331,0.16121788073699467,0.25210091417862646,0.17911735014345267,0.1279182631731966,0.37472872219834263,0.1008697190646127,0.08365486407684242,0.18794354572766497,0.0550082486621325,-0.11452115847556414,1.1274457251370533,-0.10605639737782684,0.07303977948553403,0.2086781916436245,0.2911785322784851,-0.019506543626639266,0.2272336045119964,0.1069987541983483,0.09445588574414504
T2_P1_C1,cntrl,-0.501277694735102,-0.5153737022068359,0.13667926264700805,-0.6495654429135004,-0.5514077738483903,-0.4639450845433522,-0.41214769930040057,-0.3985994126327517,-0.7949885836755187,-0.5536254471922939,-0.7538102626179686,-0.4385550290969867,-0.660386190537412,-0.297045252528813,-0.23224272244636154,-0.3352781492118881,-0.4156845787913865,-0.4287900492746084,-0.7141113685955792,-0.5709115019744044,-0.47311318736597757,-1.4266463596998447,-0.40169904165742926,-0.42746197334771907,-0.488714781984123,-0.07420113139274548,-0.687392139332191,-0.7508331065699908,-0.4064607628750697,-0.6826850556689218,-1.620925616736297,-0.49830100264930605,-0.49487446188946177,-0.47884509112589085,-0.3192701012708812,-0.2867650826377669
T2_P1_C2,cntrl,-0.8236425217027246,-0.9106195220744495,-0.40803128886375056,-1.256995892830131,-0.733859394850447,-0.9148950827355979,-0.9053921650707767,-0.567466982032053,-1.0480909949641213,-0.9759103349136776,-0.9497251634892532,-0.8723324946374751,-1.0847504590867032,-0.49861058962787935,-0.639245325393577,-0.9264107030906982,-0.6341975349391683,-0.9274613807934707,-1.0446925224522392,-0.771518747406759,-0.923078902723616,-2.206325366976701,-0.6377627958902296,-0.9372182052080952,-0.9304368276362307,-0.8693413472396999,-0.649946691542066,-0.9833614116390091,-0.8050256617179503,-1.5251044537472762,-2.9815651409219948,-0.9271571081591427,-0.8214984397583572,-1.1060155527735092,-0.5515353199035653,-0.7877105506242053
T2_P1_C3,cntrl,0.42386839104823515,0.45802538057071707,0.07776071917908166,0.4750655804459899,0.3583775037661884,0.4325320696977877,0.3716865816002158,0.3686295307164392,0.6376649030610063,0.409936070723303,0.5348633206853642,0.35033543618630314,0.5951800311624669,0.2159587955804703,0.22736870740800094,0.5235328669553532,0.3516744663281249,0.4258871500213699,0.45991951340603404,0.4610357358382521,0.43791270825638956,1.103981051532073,0.26605077382709885,0.43675120960842495,0.4237410437027071,0.40958595828366784,0.7611584265369818,0.4785850764119187,0.3061384389191604,0.5442341767259369,1.4910236602302631,0.38710773842220025,0.527983198100725,0.5268971641522202,0.31079480340009036,0.2576367187264049
T2_P1_V1,vpa,-0.274681970715808,-0.19644487766556168,-0.28545030917424513,-0.17266051905374885,-0.0770155282551461,-0.2749358243519633,-0.2850324991317272,-0.2123265484592022,-0.2426027610466472,-0.30754273843190527,-0.26884029018410227,-0.2265756049706857,-0.758880795884541,-0.3051764726122123,-0.24875292052720452,-0.685747291979341,-0.21126344461045646,-0.31842639729338695,-0.4481565940182129,-0.2172542659153084,-0.2925751774843864,-0.6793560858922076,-0.19248157531290747,-0.08613887823643103,-0.2571703772006284,0.6016410213898856,0.11290606086800979,-0.5250870991976762,-0.436412095731231,-0.19250736481008834,-0.2092016976904844,-0.2914741171181667,-0.2029486416034876,-0.24245689782976182,-0.4330825980884515,-0.2796561831309707
T2_P1_V2,vpa,-0.8741483602425338,-1.120778206920512,-0.6671593744841054,-0.9276199069365026,-0.9338510698997925,-1.2119272474203258,-1.0552683589559462,-0.680228237420291,-0.9957702956825254,-0.9122385500416814,-0.9531826399958883,-1.0390609595279088,-1.101448312397959,-0.47945812333640164,-0.6124191615438611,-1.3295972755524874,-0.6684277811799698,-1.0501734196280061,-1.638632676499982,-0.7701742915997164,-1.1436705056318643,-2.026224070493455,-0.6813443996040013,-0.9385702474136574,-0.8965868633813929,-0.8330046854958545,-2.08159861664745,-1.3685310298045579,-1.1051468543042302,-1.5687071769179872,-1.4394766149106333,-0.9389439041468977,-1.8115492215222235,-1.2428556788650118,-0.7905275267113813,-0.7893816671553054
T2_P1_V3,vpa,0.47740144844470833,0.4937255055798637,0.08107885560800332,0.7406788501441914,0.43128259261704655,0.48548339849191285,0.48864018578092866,0.36002788479196624,0.653225650695579,0.5813295586015472,0.6114329887574248,0.5019230167713511,0.5747805689231139,0.36697232719833034,0.37843055085813004,0.568808709679739,0.4749073598023349,0.47646162180781076,0.7302963567003816,0.5979831110557549,0.5032267517321705,1.1066893048258917,0.36701475980948595,0.5059901945370802,0.5131309874937047,0.33153586239532806,0.4505166513398429,0.5452794557197655,0.5602350793228562,0.8192675399775786,0.7678149528277216,0.4931869481227868,0.6373976359056068,0.5887421987435365,0.4117246462856774,0.42006365791350214
T2_P2_C1,cntrl,0.3130274676767142,0.3134859979950243,0.26897107365879414,0.15742112422777038,0.25714646886551185,0.3290634311358363,0.2885457918434962,0.14561161472777548,0.3100934381483254,0.2380455286782797,0.26203120949206027,0.21366029002512463,0.40687051589958495,0.3193851507118101,0.13301174005210026,0.46678388239625895,0.25072805536266785,0.333618134740948,0.3434917097260985,0.3359112548225559,0.36511945492524234,1.0320884385769502,0.21457620634221383,0.3304171788563984,0.31115239734149713,-1.0223785351831014,0.313419370073042,0.5062004101332117,0.3402019032646333,0.5315574431344383,0.948040470515769,0.3672536451009133,0.36604340443167777,0.26045498209516343,0.3577296414194654,0.287931288006108
T2_P2_C2,cntrl,-0.0996328494374583,-0.22193462265420966,-0.04853005341442427,-0.2024351103434774,-0.1340488230004409,-0.13794085500753508,-0.1534592932971949,-0.19143613073152835,-0.15790321869097668,-0.20386199479926864,-0.08778788818963998,-0.15003207695709683,-0.19619512950553258,-0.18021254158984476,-0.1754017730188135,-0.20197048826068034,-0.47179742171470507,-0.14629201060933145,-0.06331342379081793,-0.6372870621601511,-0.1694831319417139,-0.47355388656451225,-0.159082860114886,-0.23093996803965514,-0.35170035100025276,-0.4729916005474496,-0.08884475104171363,-0.08256212013329015,0.09384883173163722,-0.2415000872253927,-1.2198342370097934,-0.14895452344725077,-0.041224552758426874,-0.06251939271736445,-0.11298526516985404,-0.14518722101708095
T2_P2_C3,cntrl,0.4349475766139742,0.4805704265508388,0.0661402903148472,0.3533457081746981,0.4199940679589139,0.47635530202528714,0.42793007146739687,0.4284685795540982,0.6058269420855207,0.533337120559254,0.524104740308312,0.41349293293564315,0.4769952096055943,0.29785727540253204,0.25018747882109454,0.3406174929838019,0.32352714326045195,0.4208018629076457,0.544863073428297,0.483655005322026,0.4398077651547691,1.2068777993003499,0.306705254919863,0.32512324599261183,0.42684747864123446,0.18202111715667793,0.5818777637998201,0.8595921420741195,0.4868448940002549,0.6166476131140218,1.4503568971723049,0.42952284787209327,0.4499437640570395,0.5682178890644526,0.3279456998904412,0.364561463820566
T2_P2_V1,vpa,0.47742563877094957,0.4859744595586144,0.21589836150436761,0.8101059323487556,0.5510674471086849,0.5587767150206259,0.46151850148957246,0.18522848494381328,0.6012452816768303,0.4862216760342401,0.647523298702198,0.5330532635751412,0.7612684251464802,0.304138142242649,0.35831191613326235,0.48228573625634147,0.41689445193299274,0.5048869338438369,0.601253813964932,0.41056862272413214,0.5065915378219735,0.9258172441148643,0.42663944338397,0.4840764353610764,0.5860767366668979,1.0100476496894082,0.42112546692719577,0.4956220967184066,0.49541626714160125,0.8826005192447982,0.7878306200524465,0.587435894467408,0.38010926907919945,0.5720677439438363,0.3283696049177012,0.39118079862365246
T2_P2_V2,vpa,0.23422186765136824,0.338964018703234,0.09938333475381916,0.5590431497712378,0.21081709093493844,0.3764381858942812,0.3209647367981439,0.34138475446234917,0.34963847931331987,0.2518650189485342,0.30320595174872955,0.3497208774114563,0.41627207563376273,0.14899564753883043,0.2161587345976203,0.4198823753875613,0.3138831287097538,0.35502118849187303,0.14912807532618888,0.40029093674721783,0.3230102500502438,0.7537565317210392,0.26993659092827604,0.29757295554411495,0.3711464639805591,0.15053904039165966,0.49739471422147624,0.2460026827651064,0.21728180102773675,0.5584863964439826,0.8861754979956376,0.2629154397696935,0.40284157150030037,0.32666924936215985,0.2209912976893665,0.22314915716412412
T2_P2_V3,vpa,0.427580553912035,0.4602972082198368,0.05924332205367462,0.6036123825927889,0.4070339619409949,0.46197941899508216,0.47247868277204796,0.20349575294651745,0.5548989443462033,0.5526328473024241,0.52168436179612665,0.44076911742959934,0.6254066747426235,0.16137873195870997,0.3588177571532296,0.5493262023469077,0.3992015037813017,0.42373784959764765,0.5511858803745869,0.42058419794056867,0.44911817360612377,0.8678900945536662,0.3276765272152069,0.3908456760474035,0.3462280421394411,0.9919051316561933,0.2448930910931924,0.3196668196428542,0.21876926815651385,0.5791666115849033,1.2573170816430825,0.4006002175521376,0.37665619266268785,0.374468299761144,0.17644384233629784,0.304610308713503
