Samples,Treatment,FAnM1,FAnM10,FAnM12,FAnM13,FAnM14,FAnM16,FAnM18,FAnM19,FAnM20,FAnM21,FAnM23,FAnM24,FAnM26,FAnM27,FAnM31,FAnM32,FAnM33,FAnM36,FAnM37,FAnM38,FAnM39,FAnM4,FAnM41,FAnM42,FAnM43,FAnM44,FAnM45,FAnM46,FAnM47,FAnM48,FAnM49,FAnM5,FAnM50,FAnM51,FAnM52,FAnM53,FAnM54,FAnM55,FAnM56,FAnM57,FAnM58,FAnM59,FAnM6,FAnM60,FAnM61,FAnM62,FAnM7,FAnM8
T1_P2_FA2,fa,-0.023774462777665862,-0.030836733181213855,-0.02020557095950525,0.014481350434518009,0.01247122480928774,-0.07110369385852251,-0.05178675396860963,-0.04751512838139034,-0.13625121576558047,-0.0749904265193535,0.017081678364060812,-0.02978842735483412,-0.08680328191613262,-0.17015303708793883,-0.11076481773912232,-0.03408864573446438,0.007349325651177661,-0.1943139846065376,-0.08904598186935636,-0.06126912784356575,-0.06312550329172144,-0.1425989938043119,-0.014683658205732959,-0.14390511239024847,0.17011344800708608,-0.24026760900134644,-0.18566035165581654,-0.027856312010780006,-0.13635570793880383,-0.13674086984011816,-0.048183502891068195,-0.034210365076720234,-0.021906162991687284,-0.14894442453575982,-0.011947446609229554,-0.06402573773980026,-0.03172651248130123,-0.1262405451065321,-0.060892649522323636,0.007774687655403586,0.17818886030851544,0.2955243403166872,0.006327480583786692,1.184046680552015,1.6248156300680798,-0.11096656373562105,-0.10602798136933428,0.013425390005702673
T1_P2_FA3,fa,0.013822223811283646,-0.007167379669223964,-0.12046914992251302,0.057722302265137505,-0.23574016881660564,-0.137665937660175,-0.23798640814661345,-0.19952114267070867,-0.22135151103119804,-0.057752918200072195,0.006265015858463749,-0.15643929682208577,-0.1925131540564806,-0.26764402095319506,-0.42984227835077266,-0.12249968252829566,-0.19635490147231335,-0.3009620794423563,-0.17069409282358422,0.06266963429165251,-0.1003010919452717,-0.2632330261709244,-0.18932526433683694,-0.22174154809716168,-0.10608960117287475,-0.22226701961739295,-0.3752664066881796,-0.0434930573234851,-0.2688719648821321,-0.27121115557014636,-0.09729539847759802,0.17036901228643803,-0.2309130771145504,-0.26693587689436915,0.08705703953530776,-0.20325434844198448,-0.07594252396873427,-0.22484052014942812,-0.040080209563072094,0.05824624222658251,-1.1191346004420304,-1.0755139578660435,0.017602213300718553,1.0067058741027717,1.4416681449045403,-0.12139035198607223,-0.19653430296931498,-0.13928604580032322
T2_P1_C1,cntrl,-0.03744511473284608,-0.072616368465444045,0.007822964770592588,0.11013105526765424,0.11919708133117776,0.13695685802209354,0.09483703594133545,0.04356642083754622,0.1301029073396134,-0.04260403432701024,-0.01916548313988116,0.13406458443981678,0.16523558432930222,0.16456203484228188,0.14646532004792068,0.06230930375307869,0.12478510503847268,0.1468333536050612,0.03664122453890247,-0.1959329143809304,0.1208602522782684,0.06418185406095288,0.044418657758517346,0.12922725102760474,0.09590464014192832,0.06328416263597622,0.12128677009877763,0.07650444154744467,0.14990641389410006,0.1508309782184705,0.048002346056407484,-0.02825389120205017,0.07213193825033344,0.2360958281686992,-0.05611635395071091,0.09673258963802223,0.11573914845003372,0.1252199602908333,0.0021196145161268467,-0.03104351837266558,1.3280039664108299,0.7222198793482826,-0.02464444017085031,-0.9177602442711305,-1.025921234474561,0.10685900242004165,0.07545937389495883,0.11493005284173446
T2_P1_C2,cntrl,8.453360080155712e-4,0.027724503296858563,0.0723942860017284,-0.05492363139705299,0.10180847639004319,0.029745819937123948,0.05868313826238453,0.08782624260581218,0.11080639232976777,0.03485600302201369,-0.014633827459684556,0.09215003687378533,0.032101050845280296,0.10146259114444736,0.1934505536889385,0.03815431120819096,0.03165444093690136,0.13372849190677302,0.0483932929338773,0.005321326082561445,0.09699788551705653,-0.0893846742655534,0.02409609053379156,0.11408029709346748,0.09446579001622911,0.052523990990766274,0.08436113090307541,-0.005273125184200969,0.08238557363560058,0.1257576601303597,0.0705944513602337,-0.09608017231288865,0.021177371366234946,0.20785802416832727,-0.025484095671047154,0.08682823875386451,0.094503291525381,0.07047126134035472,0.1401070216484024,-0.03195004874837582,-0.4206220961731241,-0.0065947234336022065,0.028438606699730425,-1.1355289282093082,-1.198770350595249,-0.1393619006769057,0.07078170000731038,0.086781913402328
T2_P1_C3,cntrl,0.0331136277338713,0.07127656320749447,0.07217402221526012,-0.002155999495983724,0.1066178602953827,0.11898479571913012,0.20072390924550587,0.09805830677346557,0.1310851762026013,0.15643053188504427,0.04378005261263141,0.14123327892077936,0.12175199168000561,0.17754733169483614,0.08775255152095975,0.10977272916026218,0.1524813814274181,0.19819577143651146,0.10844304927929116,0.053988066411834734,0.12340868911848736,0.15456655138978623,0.12229086956232871,0.1860357744025654,-0.2078317957401662,0.09394975599124494,0.07642562270587482,0.23350460845936696,0.1501385879455093,0.1806945120568457,0.13613718264154612,-0.1374574843219836,0.16101436089777504,0.197451582298045,0.013756812114793878,0.17997936428073386,0.02211774035584839,0.14582492590322826,0.0763433436109302,0.03755035795846756,-0.9391779877976093,-0.09365591650286476,0.03957355464574429,-1.0042036073816432,-1.1093896052399697,-9.615372203006867e-4,0.0953596858924228,0.0642848564737476
T2_P1_FA1,fa,0.043891044760359994,0.010088732901734647,0.0322780794048417,0.0885434672018226,0.1757151180271583,0.10347719775843632,0.15553830527990553,0.05513750899469967,0.11528336658031521,-0.06827607781333518,0.018936085907114767,0.13869761547744258,0.13001616812871664,0.16422147497175651,0.2755532295322113,0.08560186820265556,0.11434892972361005,0.11827079294000738,0.1365328666421634,0.06277069161339313,0.11712400469059717,0.14961011676485506,0.1276574668447867,0.14064457275909711,-0.13864287340843162,0.2710733921063982,0.2466634078140544,0.07827681677630485,0.13858528580489698,0.13244322663901203,0.08420748649619345,-0.008125241350546803,0.1365931653722629,0.1500909713809183,0.013916637733759014,0.12289176563113542,-0.05772832842792044,0.13775905442050576,-0.0033596279420544193,-0.011222999488811563,-0.7350831275567822,-1.2372291649513012,0.019862011108705262,1.1879765239996305,1.518816060071261,-0.05358933509870659,0.08643574049566677,0.028618188661528928
T2_P1_FA2,fa,-0.04336859660950387,-0.030318688062558927,-0.0644094925753838,0.01758599363894938,-0.27604533558051425,-0.07150796309664174,-0.13671562583057079,-0.16221907886662723,-0.11074317078615947,-0.02519405421330735,-0.02402196113426278,-0.11739694400954825,-0.12775026296089273,-0.09939205668484705,-0.3574464205430323,-0.11273248034310239,-0.10529691532360785,-0.1820970919461523,-0.09248937880425044,0.027452768412174675,-0.0660343838099491,-0.10079463111515205,-0.05634851406054595,-0.1598853193482505,0.006945963327728087,-0.17458541103428596,-0.3418015441190082,-0.04667125501576719,-0.15000197084961908,-0.18022669540845213,-0.07539686748413216,0.1833745478130028,-0.11722693406913089,-0.1821517436983877,0.018613532916393415,-0.1419801713884964,-0.11114013382068427,-0.12605778598928027,0.025399674815321578,-7.731087958892644e-4,-0.5143067344689078,-0.1873169863806669,-0.09264496709577619,-0.09447363759745322,0.02152858454576123,0.1883095900963518,-0.10714994827323193,-0.08617134384323948
T2_P1_FA3,fa,-0.05357699400108279,0.08247922712584502,0.1431692666434267,-0.07619229958171587,0.04379502303576692,-0.0388789809390976,0.020450085838832708,0.09811031241989215,0.023817562371116964,-0.05015545106021774,0.006202011090498434,0.06918719356617906,0.002904686890110055,0.022058708308170773,0.008640874875210345,0.021875483907629095,0.04398172285963957,0.07037151046342772,0.06965067916857097,-0.0371856437900438,-0.03388156631523099,0.1453417242248542,-0.09195556957295531,0.07482333972157242,0.07140377681393145,0.07468240335633018,0.06337289346390841,-0.04260628778005046,0.05730324784354736,0.08080849158390487,-0.004381587388470616,-0.11478809239372366,0.09314888350710246,0.029748819895757346,-0.03909888377152934,0.059127009608123955,0.09942555405913656,0.02574743012287669,0.043978084099110325,-0.0279341043145789,0.5340089516987435,0.5036921887309852,-0.005815906121834144,0.9749021558748764,1.2613056822090218,0.08855055004893309,0.013455778677214977,0.08783140134558716
T2_P2_C1,cntrl,-0.07628881006729744,0.03745194130261308,0.17090504687467575,-0.03192315106895706,0.1386337637747143,0.017124867393525086,0.08380845986879143,0.13434490700561708,0.06937707078101721,0.10495642042776877,0.02219385509550104,-0.003464935191251021,-0.003909195988314589,0.029995682253904022,0.21243622505308646,0.047983708660541906,0.03397359222443304,0.09776679429009208,0.07388582937718048,0.04636673947460647,0.049587594017967404,0.13175644774579748,0.03987279994664263,0.06296658509023678,-0.10636463242176612,0.10062575562583218,0.02483621940971748,-0.014141787776750393,0.08657768513031254,0.06940336093473573,0.012798623778854507,-0.07379779710535193,0.11892576857022695,0.04986339930279492,0.010805329239683425,0.05578071697222783,0.05569981106666035,0.06864701660694911,-0.0017224156241251298,0.05254905027969787,0.07311840467245077,-0.32391669808031187,-0.03733833376209511,-1.0642284897878145,-1.2249052565229583,-0.05809259700727116,0.05760603538821626,0.007818354948994174
T2_P2_C2,cntrl,0.0397621833320502,0.03786241976846829,-0.02948861852201473,0.027453781364413968,0.0699294184133053,0.06657979778523292,0.04825322057717059,0.010655445744853925,0.09989215417631264,0.026063823920865557,-0.028466467601436424,0.14139698631114767,0.04900647426610913,0.09278460532164609,0.16298886263236653,0.08085697476853528,0.04853287652791839,0.14471767645054823,0.02883266173272246,-0.020644725824869894,0.08889367051839224,0.1725186622700272,0.07509955173615143,0.12558712487019194,0.14220974211066514,0.20131449618442848,0.10443019179173416,0.03853766932261798,0.10005191804247117,0.12064325876449772,0.06007792586400262,-0.11150489565589507,0.13445796696613943,0.14969551850407586,-0.05114929755029557,0.11501657399666795,-0.027914108245528882,0.09106786844424286,0.13308421805756018,-0.05489550561088326,-1.6900215607557445,-1.4389455437193195,0.039773477215934064,-1.107323679028744,-0.9479281426831379,0.04636122318687133,0.059071361155279355,0.0694417764129195
