Samples,Mode,Type,Group,Treatment,Plate,hVPA_FAnM10,hVPA_FAnM11,hVPA_FAnM12,hVPA_FAnM13,hVPA_FAnM14,hVPA_FAnM15,hVPA_FAnM16,hVPA_FAnM17,hVPA_FAnM18,hVPA_FAnM19,hVPA_FAnM2,hVPA_FAnM20,hVPA_FAnM21,hVPA_FAnM22,hVPA_FAnM23,hVPA_FAnM24,hVPA_FAnM25,hVPA_FAnM26,hVPA_FAnM27,hVPA_FAnM28,hVPA_FAnM29,hVPA_FAnM3,hVPA_FAnM30,hVPA_FAnM31,hVPA_FAnM32,hVPA_FAnM33,hVPA_FAnM34,hVPA_FAnM35,hVPA_FAnM36,hVPA_FAnM37,hVPA_FAnM38,hVPA_FAnM39,hVPA_FAnM4,hVPA_FAnM40,hVPA_FAnM41,hVPA_FAnM42,hVPA_FAnM43,hVPA_FAnM44,hVPA_FAnM45,hVPA_FAnM46,hVPA_FAnM47,hVPA_FAnM48,hVPA_FAnM49,hVPA_FAnM5,hVPA_FAnM50,hVPA_FAnM51,hVPA_FAnM53,hVPA_FAnM55,hVPA_FAnM6,hVPA_FAnM7,hVPA_FAnM8,hVPA_FAnM9
P2_VPA2,neg,media,sample,vpa_base,p2,13.556996280527454,16.390402572816686,14.326154574295385,13.681997197631809,12.888870933172653,15.93519673715335,12.557088943525653,12.586923667968502,17.42633155791075,17.58779147508514,13.645884083514591,13.48941893440898,20.07292534012454,11.422429946297422,19.23097067453491,14.514512676022772,15.895436531092352,13.747740894424838,16.533699222724163,12.84323695394924,15.126536438847666,15.713276279673412,14.516781158596794,14.482707007389374,16.800222004055424,12.943031016084674,12.401149539369499,16.734866930177407,14.503603290457818,11.035744748935553,16.049463242071017,14.5720710078279,21.43258500317027,16.097135910677434,14.34733972836364,16.47961992230958,15.35919388363544,12.36412375621586,16.110981089726895,10.144703382422216,11.657215590244636,13.830912855895164,16.4889094951354,15.862201685481763,12.055517887100443,13.298845747676856,13.203468798088382,12.639445499455388,12.829067442218655,15.639662303066258,13.550058591587657,12.810812041123551
P2_VPA3,neg,media,sample,vpa_base,p2,13.488119600480331,16.195771117410608,14.395021619937559,13.641741677677897,12.967226778588048,15.883602549147884,12.206186085074028,12.206186085074028,17.245865381942195,17.36647595775959,13.766853762059215,13.209814146281396,19.97457674355654,11.8976207886649,19.263257242825084,14.466018323413943,15.861119015540645,13.662571544379723,16.378133015316298,12.87439838666184,14.966868503399162,15.514609361267965,14.489339794994162,14.366864493244742,16.702786117069223,12.928954842173155,12.035782532518677,16.685231533741298,14.502232449091295,11.263250137068425,16.103333614481954,14.297194875703527,21.354547988255387,16.04572344853198,17.334768628170245,16.595730028748385,15.289443107044404,12.00844328636084,16.171131912152,10.830709233639134,11.124199968236754,13.718212125455556,16.512877983332306,15.935201937372502,11.88434458235916,13.37920509516573,13.23255240430954,12.43870549981058,12.84062056489092,15.405371216102893,13.569971205571942,12.833206415522532
P3_C4,neg,media,sample,cntrl_base,p3,13.209000062604957,16.249398636673455,14.612627191893756,13.852682284397197,12.622615514493756,16.350580290683702,12.742373217291458,12.764620766142857,17.228597560810513,17.43802413335046,13.989437937049555,13.1706541181406,14.720479174180417,11.932274996887541,19.49670595909421,14.509420148495867,15.667156977436143,13.912787747242499,16.64650701143721,12.802230513552285,15.18167799994672,15.607771677098981,14.636550438669403,14.471751041517427,16.811154990936515,13.10395090111199,12.211046286502599,16.872400388641395,14.618882996553548,11.386124796859734,16.276633175146575,14.451731752854805,21.818460550197074,15.92572927585167,15.797063543899702,16.7020547945144,15.504948984435924,12.671598723605653,16.520434752375646,10.946051361060741,11.259128574678815,13.974555723399893,16.701274704988535,15.945907151167836,12.394255513925307,13.555884100863373,13.150907627642413,12.59081335307833,12.989788529216412,15.470692994055648,13.314652897801174,13.11069197850704
P3_FA_VPA3,neg,media,sample,vpa_5X,p3,13.809287219205723,16.36943318386275,14.620162266074555,13.968081836901279,13.417462016877646,15.987808038932661,12.359933717812817,12.328659937693475,17.61905147002691,17.69842702149277,13.503093614296766,13.609817459178831,20.159031884230856,11.727258708477777,19.32226181644037,14.755380028411166,15.96188389929565,14.103756000914299,16.61722686596274,12.74558904681964,15.311888331071765,15.676436976586373,14.571332628488088,14.780592947929998,16.976598761776295,12.959743121629742,12.423033973932691,16.79358005960429,14.608583464969493,11.168722242453507,16.11208284448151,14.491600004506797,21.12533386709189,16.360463496758545,14.225497999396467,16.747248660603887,15.574618864446776,12.288501179847188,16.187374911889073,10.72443676919478,11.375572847976,13.988452698271695,16.617025661259984,16.009623583511193,12.284163214784417,13.350149028914194,13.457388506815002,13.028485243071406,12.92974940663029,15.615190440625046,13.734817027794277,12.842880510671787
P3_FA_VPA4,neg,media,sample,vpa_5X,p3,13.771611723027554,16.358361716909272,14.680257726292268,13.884907522230233,13.33222921195214,15.759682187450677,12.324339182585298,12.270749308254814,17.435103282204214,17.486821619548774,14.100241457074315,13.81616008141299,20.083703784357567,11.976700409416592,19.290449339699816,14.775835939850657,15.794241922669787,14.14317498480785,16.510173449277833,13.064732377241214,15.256303278976656,15.55670438915411,14.413909044714762,14.682074073431126,16.862059310253315,13.017658708160502,12.318682437354239,16.646695399146626,14.791043412460308,11.173115654430351,16.002098221475034,14.456949669045587,21.066162646269326,16.21195971268312,14.22266711909778,16.601200459817807,15.539018198147573,12.348304777011275,16.23079875718574,10.431237843533113,11.176186354008582,13.801261196613106,16.493722095867,16.033715612544153,11.851513210592927,13.300829987925097,13.307746885982228,12.633480449085473,12.952102810380286,15.610654901896869,13.67290507653706,12.97467270999414
P3_FA5,neg,media,sample,cntrl_5X,p3,13.620889042043752,16.287743381109753,14.536611647491787,13.737117144912649,12.959718509168527,16.06235829572277,12.552123617739086,12.548414172724266,17.34156231974078,17.429873856427445,13.99178793800828,13.330840900802505,14.638211975112892,11.39322883973125,19.23180778572312,14.474274473544096,15.714355228895846,13.909307856268883,16.360192384944153,12.941484394655838,15.253122877541161,15.478943435685462,14.320209828203563,14.658995318959299,16.727377858587417,12.824262702139,11.877338663834129,16.691268835633508,14.629679189502895,11.47631951972643,16.015937256812183,14.289311316458123,21.07774688692999,16.114259545915807,14.23785434188225,16.67381953849774,15.42018353904516,12.39514957894203,16.129749121132313,9.977619994478285,11.311574173133614,13.857256673309417,16.481642664369815,16.013961821921306,12.193533063375671,13.062254383276953,13.16918025384328,12.920576645058468,12.826131014345586,15.486184454756465,13.131084473680456,12.647995743552762
P3_VPA4,neg,media,sample,vpa_base,p3,13.50501574868349,16.26986926733412,14.366004831512619,13.572936397552564,12.914703881340186,16.184131474952046,12.584161156039707,12.613353087038911,17.389317529548542,17.482591918298763,13.833638900998308,13.331142487392663,20.190337463540157,11.765166565182232,19.270473826124423,14.588080005882764,15.993669808304393,13.88434127753216,16.604349622540187,13.130060443737142,15.152254407363845,15.62756260899061,14.548779701427152,14.66832231376924,16.83203912985116,13.080234598192717,11.77066134280444,16.78026713083881,14.517593468123122,11.430716360922478,16.14066887842321,14.416471147557887,21.581715052101018,15.896860129584386,14.2796758156823,16.54787358961763,15.373307968041066,12.18106281756308,16.230427382389774,10.51136657743458,11.952834521466212,13.773185316577326,16.633450439024244,15.812745199736584,12.09383023400247,13.398079649620467,13.448440868827939,12.607047500463205,13.007828217483983,15.55210421913828,13.689222361323683,12.998328073728223
P3_VPA5,neg,media,sample,vpa_base,p3,13.473007009641547,16.096995836359,14.295068726741977,13.659552225585557,12.623932369487045,15.7973300825474,12.527254597379503,12.541911149327435,17.255961586119156,17.442739829217746,14.02751676101544,13.104806396947795,20.126372692161116,12.13020347634304,19.394424069586176,14.292462814283367,15.923828503714219,13.83157266992683,16.520249591078404,12.869570793285307,15.006410024785184,15.434566143310242,14.614860062780961,14.478143343677754,16.706861292946645,13.1568503706413,11.949226496991692,16.670109643242082,14.582898101417454,11.269527572246515,16.197515760003817,14.341842435009962,21.64127226494392,15.763303787089564,14.142734976535769,16.782757372046653,15.496272004712006,12.42509374303999,16.391296220685536,11.020325635270579,11.424524608085061,13.787742780024187,16.68184993526468,15.852888017536625,11.833258836217796,13.345243742606069,13.086945803663744,12.587704990956773,12.882743803726324,15.47172045950729,13.717420248062872,12.80886264268831
P4_C5,neg,media,sample,cntrl_base,p4,13.366235137594893,16.04420001040831,14.236776971481623,13.777694575670367,12.276401292380426,16.113567899317587,12.455602417420202,12.419887527109058,17.09810275053896,17.280118201533423,13.710300002764502,13.189708487974444,14.795054989046962,11.943345953005384,19.29194221978685,14.300388249713738,15.67572665402565,13.660144225820103,16.520204433526576,12.77537515642048,14.929255884380845,15.494119999634199,14.446431886084653,14.331960249433651,16.6253471709277,12.985540417625177,11.903474423012959,16.728528354698586,14.279059240423999,11.109292152404409,16.153608844425246,14.290500210633635,21.745701652113063,15.630807918812376,14.115104603227389,16.434626189887176,15.344802692457232,12.355256815976569,16.324372604568502,9.735462343507978,11.912371225144934,13.6904991913954,16.59302651988447,15.689006053298645,11.80472994530109,13.49977925430536,13.246713006835067,12.62703639197308,12.542469404297274,15.258392229457392,13.41394856515252,12.810911784097565
P4_C6,neg,media,sample,cntrl_base,p4,13.033973390350791,16.10340160510222,14.55756333278796,14.025922461850666,12.228363804369305,16.20314611307405,12.29816238123059,12.323250719866312,17.202259371513378,17.41795333045601,13.968254025463459,13.399582399311857,14.655032271673633,12.145446195048399,19.46107060938048,14.431183709508232,15.959434904691584,13.823143781166916,16.592129831514228,13.126864783261231,15.235614061067329,15.467060772232049,14.713970986076102,14.56665537379732,16.717072092999995,13.16193677564408,12.172215140557347,16.800376972254842,14.651326426983841,10.904430816250828,16.290056825566925,14.293653850147086,21.80998322931439,15.66355216014803,17.32620565943785,16.77873018940656,15.537842050809225,12.389412324164661,16.46135842864996,10.245352662838778,11.427135016559289,13.900412069507833,16.633814374487788,15.851714753093079,12.193277262459954,13.521181718924602,13.206442839198637,12.767517131703823,12.929602972029077,15.554267466414263,13.549796379571623,12.650769531922927
P4_FA_VPA5,neg,media,sample,vpa_5X,p4,13.969905634454378,16.408669905389665,14.767335113176664,13.806133244501826,13.376743427005108,15.964476243396389,12.631461707237502,12.65910943803147,17.600836983253974,17.78479426594994,13.97919327989913,13.749713100783506,20.238533011850723,11.862303724811525,19.415457666826615,14.805460885255957,16.049541699351074,14.212970439025167,16.632273997300544,12.80804692524218,15.35952032213331,15.642922260134167,14.628669367777011,14.858824757976107,17.022543791149115,13.139521903149653,12.316168272062407,16.782337026050172,14.807063789008176,11.87829615348991,16.05160040961814,14.493153946464693,21.24559183585242,16.377254680893042,14.308801699950472,16.68344865072268,15.598109593106404,12.221660779599187,16.176268278935773,10.868433658246984,11.474275829213292,14.026524964921867,16.662179096787607,16.08114552152413,11.904011803288478,13.538819000897002,13.497014338164764,13.0128760757107,12.838053265852759,15.633148194311513,13.756832510683958,13.064790142394015
P4_FA_VPA6,neg,media,sample,vpa_5X,p4,13.551898296062122,16.31145835992701,14.574439373640985,14.063403177886089,13.300663519979988,16.03108666364818,12.481435280506524,12.482153164612436,17.52767588371004,17.54523123638766,13.97768727258209,13.749566739674194,20.0888977249958,11.40316942750782,19.36920200991396,14.607533410800588,16.045828034652633,14.068939282633313,16.536445697229134,12.740927071583007,15.29405539508289,15.571167465555376,14.474807420568059,14.780574413471678,16.92585942498297,13.049369605620047,12.456064736760755,16.807955756748445,14.772114285035958,11.061337291966014,16.209997291203134,14.477368414849758,21.16625213251319,16.279526975874226,14.33813017500514,16.885487563722172,15.616446247111673,12.531011203326464,16.26462067117259,11.321451159139409,11.660350297578429,14.048140965463583,16.630110351422672,16.079648207993028,12.098452442596635,13.465140845216947,13.387170852038464,12.86408977594713,13.007908501368723,15.510952277055337,13.643983355483721,12.997786140914922
P4_FA6,neg,media,sample,cntrl_5X,p4,13.84870791923638,16.4101361023416,14.700793195809725,13.836851825518673,13.075688189077255,16.1392582580121,12.657283450625705,12.681282507315068,17.554153083156592,17.55872633202591,14.073813794586735,13.75745146324101,14.693191174152563,11.624765168540064,19.463530018965113,14.782070502204661,16.110613816510973,14.10835225009942,16.680633327158883,12.980561338587634,15.366923904007855,15.635311609410332,14.705272930642668,14.824572459216055,16.962166202924585,13.1433277275221,12.127211858688657,16.74793392104755,14.835963921974434,11.349363889170315,16.106758485772477,14.383169136676845,21.344519327359475,16.378039315839597,14.122713311358826,16.536461837953034,15.475973262247287,12.403757217484628,16.271565097557545,10.988436799535268,11.644317873434847,14.168624562309477,16.776885032466197,16.064295377208555,12.074325961010961,13.362231337176743,13.385270321333289,12.992667437660854,12.740531143025603,15.597531574018394,13.643945466166198,13.182785453098697
P4_VPA6,neg,media,sample,vpa_base,p4,13.539111898517646,16.167872105233403,14.410029091397645,13.56888263572187,12.67120212270873,16.00758886160886,12.248864110467116,12.265208271026953,17.262162844575727,17.555307186833293,13.605379659135243,13.399745159717392,20.0210966666219,11.803220987515076,19.26457490626566,14.284263611313378,15.809996189617769,13.696821211286961,16.46861427532664,12.752626659861251,14.966949563822297,15.59338612529213,14.547509243284107,14.508582990504495,16.78260335196618,12.824875381722011,12.055720841735981,16.729750969472104,14.357400108846996,11.724951731577944,16.12575982868497,14.361927446714603,21.413665827862,16.093911090479207,15.406843257103835,16.426299041237183,15.305114282884597,12.46235389283101,16.147537049869253,10.784594918992283,11.871602775811333,13.743174062301286,16.49101015309753,15.793780214500076,12.119701679104214,13.41772303167759,13.281602885274186,12.446785017919757,12.536119161833893,15.338111192889848,13.8611372685531,12.688910256943423
