compound_short,compound_full,formula,mass,rt,cas_id,pmix1,pmix2,pmix3,pP1_C1,pP1_FA1,pP1_FA2,pP1_V1,pP1_VPA_FA1,pP1_VPA_FA2,pP2_C2,pP2_FA3,pP2_FA4,pP2_VPA_FA3,pP2_VPA2,pP2_VPA3,pP3_C3,pP3_C4,pP3_FA5,pP3_VPA_FA4,pP3_VPA4,pP3_VPA5,pP4_C5,pP4_C6,pP4_FA6,pP4_VPA_FA5,pP4_VPA_FA6,psolv1,psolv4
hVPA_FApC62,Acetylcarnitine,C9 H17 N O4,203.1161,4.95,5080-50-2,2243678.146,2478156.669,2453103.629,2638186.943,3600698.026,2928734.77,2360683.104,2874797.14,2645793.022,2068961.723,2080917.236,2292676.553,3096846.63,2919434.745,2484976.854,2799626.981,2627014.187,2465229.1,2842751.189,2079269.757,3370734.318,3104038.706,3218631.632,2985858.064,2845607.952,2462588.163,246.8078936,848.2953984
hVPA_FApC63,Tryptophan,C11 H12 N2 O2,204.0899,3.08,73-22-3,549249.2183,603189.653,615008.037,583915.3649,711683.9951,587035.2558,567794.2225,706531.4388,651681.5952,589625.0805,662376.0457,687901.0746,758929.296,694486.7827,577060.3589,742366.8459,626190.4427,647944.7319,557517.5987,476758.2669,631796.062,596177.4555,631792.6043,609729.1178,750734.3634,612196.2236,4537.607991,12862.80486
hVPA_FApC64,Kynurenine,C10 H12 N2 O3,208.0851,3.14,2922-83-0,17990.14517,20768.23195,21691.36627,19013.93304,24199.81999,18747.97221,21328.14098,28155.41023,24026.45488,20405.43239,21074.6171,24555.54976,22149.58772,21293.97951,16929.16439,27189.96226,22575.75345,23220.40506,17308.84238,15452.10746,19111.09804,20979.47635,19403.8185,21000.16579,28329.86806,20081.96974,604.9763043,1914.64609
hVPA_FApC65,Phosphocreatine,C4 H10 N3 O5 P,211.0361,7.75,67-07-2,1053218.544,1094388.26,1182926.044,1567602.595,1899833.955,1624597.999,1594156.801,1748411.986,1482638.291,1508129.703,1435852.416,1390270.528,2330579.776,1552885.023,1570952.849,1574702.663,1482055.284,1538324.299,1706248.525,790036.9374,1626129.684,1806421.747,1534908.689,1598261.177,1329269.499,1670143.005,727.7688953,5469.486643
hVPA_FApC66,Propionylcarnitine,C10 H19 N O4,217.1314,4.13,20064-19-1,305546.3717,331294.6721,377600.9439,399087.6659,370148.338,498331.6798,591637.5696,494346.869,527046.022,404730.7857,314260.6538,378029.6346,418942.664,404440.0471,486846.4224,334452.9762,471928.1097,372573.2358,407852.7972,322798.5531,445281.6272,326215.7685,369966.6184,388644.449,302239.5459,478278.8753,683.5335591,1638.308241
hVPA_FApC67,Pantothenic Acid,C9 H17 N O5,219.1108,2.57,137-08-6,430672.9421,477757.2002,466199.4021,458717.5694,636628.2252,460813.7923,441865.0768,547729.9336,477702.1621,447817.9194,502687.5589,489107.6663,633471.0072,579383.4442,464431.3731,542118.9711,473358.8321,516170.1385,466811.7529,585354.4222,512143.8983,501282.4413,526834.4313,501415.1567,534220.8102,455903.9471,106.0275544,428.6835342
hVPA_FApC68,Cystathionine,C7 H14 N2 O4 S,222.0674,8.41,56-88-2,232804.344,237794.5144,259911.9382,245646.7346,235222.4406,239752.6421,305465.2204,328815.0962,306543.6248,281987.4333,336096.1768,350216.4317,281517.2657,283174.213,277941.8089,361964.5759,307110.9979,300662.2656,243913.262,205578.4985,265768.0587,257205.2,281328.5841,227859.9623,299307.9541,303192.7701,1830.654892,2947.454769
hVPA_FApC69,Carnosine,C9 H14 N4 O3,226.1067,7.85,305-84-0,118333.8601,112473.8536,134320.0904,175399.4913,236320.8679,183630.3623,162033.5162,191099.7229,164492.1967,176029.0881,169530.2611,146004.2332,226055.3433,173067.8519,191426.5047,225523.0371,159868.7707,166375.547,187011.1798,66082.85946,157489.8982,193530.9792,143363.3374,164554.2947,170483.9394,183772.0077,3717.974949,9272.664359
hVPA_FApC70,Deoxycytidine,C9 H13 N3 O4,227.0909,2.16,951-77-9,4771.625968,4947.2639,4773.685155,4586.684032,6737.626379,3136.62487,4251.539355,6063.97473,5629.90654,4774.616676,5012.968317,5063.119178,5356.548304,6716.851003,3817.539568,6666.575483,4514.429318,4478.672231,3254.497758,7703.513365,4594.256655,4459.39365,5762.50695,5533.288718,6228.417753,4136.948336,,222.6358178
hVPA_FApC71,Cytidine,C9 H13 N3 O5,243.0855,2.83,65-46-3,7106.707739,7362.451884,6978.410103,6040.980318,7993.064064,4926.05505,7662.796415,8569.707401,9422.403936,7341.645661,8194.713065,7652.474129,7264.472009,5809.242238,4196.754907,9977.879082,7492.103176,8581.25538,7206.792212,9189.83452,5811.520821,5876.609984,7035.861316,7029.716602,7398.653102,6924.168088,,
hVPA_FApC72,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.1031,7.05,28319-77-9,1621670.908,1823288.474,1620649.94,4947198.779,5938150.319,4056327.791,707932.1354,1362449.217,1131053.483,748969.5248,1061220.85,851405.0191,5644709.443,4990563.053,4086857.994,1655898.866,756462.3297,1224199.728,4073658.592,979925.5817,4879015.593,4765810.804,4183526.798,3894000.93,1583992.865,759884.59,1324.181097,3123.37945
hVPA_FApC73,D-Fructose 6-phosphate,C6 H13 O9 P,260.0264,8.39,643-13-0,20616.7319,19325.69742,28579.59367,26282.38662,25527.85135,27399.2449,32847.75011,33059.45992,30611.59313,29610.58099,30810.37617,31896.48939,30123.90422,26657.23194,26643.43597,35076.3144,29196.67099,30378.68547,26454.4953,19107.64889,29269.73571,27728.94157,26732.41683,25499.18873,31693.876,30220.71917,,104.1361212
hVPA_FApC74,D-Glucose 6-phosphate,C6 H13 O9 P,260.0304,8.64,56-73-5,13554.67671,15469.8606,16136.84326,10768.00433,19020.61343,14635.0048,17008.59972,24256.16863,19731.84477,13392.54881,14009.33217,15910.85576,4889.91443,11071.94725,5411.447435,22169.59826,15333.71667,18845.03146,14596.27584,13570.69206,17642.32754,10457.34032,15494.45608,14110.00159,18290.90716,12576.34767,,332.9698603
hVPA_FApC75,Thiamine (Vit B1),C12 H16 N4 O S,264.1046,7.07,59-43-8,218689.8332,233902.8797,318464.4982,270212.0467,307560.5712,255778.2634,377998.907,391891.67,379861.4461,391309.1283,382988.7335,370820.6327,347834.2623,298150.4221,295178.1966,476400.9999,366832.8113,362303.2034,277419.1188,108855.5492,273504.6734,273094.777,234277.1759,256656.1659,401228.9757,394590.3625,474.7770019,776.2218187
hVPA_FApC76,Inosine,C10 H12 N4 O5,268.0807,2.34,58-63-9,12899.23375,14144.27573,13113.98695,12072.6398,23445.66409,10732.69301,7088.34896,14393.22223,10837.20928,7578.478991,12434.20449,10409.41408,10925.33912,17091.10605,7579.408925,19392.62366,7378.779025,9914.278575,11110.31427,28133.72647,9637.524601,11289.63867,18008.13462,17616.94707,16019.77697,8718.492822,,363.5989669
hVPA_FApC77,Guanosine,C10 H13 N5 O5,283.0918,3.31,118-00-3,13082.28073,15751.70829,15468.05347,12532.39301,27705.99895,10293.3502,9318.128468,19911.59212,15206.74741,11510.37588,14950.53393,13982.31081,10673.60685,19240.42119,6658.458726,25708.70696,10596.91312,13798.40655,11320.93974,14141.62946,12320.49367,15072.12542,17111.93735,15630.57186,20664.65958,11648.79648,,
hVPA_FApC78,Ophthalmic Acid,C11 H19 N3 O6,289.1275,6.91,495-27-2,6288.549579,6778.26781,6376.678131,5782.687875,6901.515462,6916.556227,7812.045696,8585.700392,6762.890736,6126.688873,6359.089608,7086.195675,6959.702466,6555.733766,6750.532546,7043.642782,8139.30616,7356.292662,5153.733413,6947.726575,6341.542163,7520.027641,7514.491164,6846.885702,7232.491605,7600.886146,,120.8218559
hVPA_FApC79,5'-Methylthioadenosine,C11 H15 N5 O3 S,297.0897,1.1,2457-80-9,103658.3878,117650.0532,124973.2683,118367.6656,166774.0973,134165.5979,96530.32943,108281.0696,88817.04241,85372.11397,94365.78651,96539.38731,155326.5331,124449.7177,121435.2058,117706.9129,92905.07786,101770.0754,110295.8968,147557.3525,133989.8304,135915.588,143065.3664,132730.482,94312.25573,94910.32484,,
hVPA_FApC80,Retinoic Acid,C20 H28 O2,300.2061,0.73,302-79-4,9709.537139,11431.66886,12015.28801,10788.36002,9675.502359,14478.85711,10958.65254,17026.66242,19377.35999,14096.75647,12986.36256,13793.3961,8567.979548,13701.68216,13321.96291,16384.57096,12270.09142,12241.8802,12523.46584,7934.374956,15413.97891,8478.165886,12103.72621,15031.72077,14140.3456,12047.71816,2640.145607,7533.156773
