Samples,VPA,FA,hVPA_FAnM10,hVPA_FAnM11,hVPA_FAnM12,hVPA_FAnM13,hVPA_FAnM14,hVPA_FAnM15,hVPA_FAnM16,hVPA_FAnM17,hVPA_FAnM18,hVPA_FAnM19,hVPA_FAnM2,hVPA_FAnM20,hVPA_FAnM21,hVPA_FAnM22,hVPA_FAnM23,hVPA_FAnM24,hVPA_FAnM25,hVPA_FAnM26,hVPA_FAnM27,hVPA_FAnM28,hVPA_FAnM29,hVPA_FAnM3,hVPA_FAnM30,hVPA_FAnM31,hVPA_FAnM32,hVPA_FAnM33,hVPA_FAnM34,hVPA_FAnM35,hVPA_FAnM36,hVPA_FAnM37,hVPA_FAnM38,hVPA_FAnM39,hVPA_FAnM4,hVPA_FAnM40,hVPA_FAnM41,hVPA_FAnM42,hVPA_FAnM43,hVPA_FAnM44,hVPA_FAnM45,hVPA_FAnM46,hVPA_FAnM47,hVPA_FAnM48,hVPA_FAnM49,hVPA_FAnM5,hVPA_FAnM50,hVPA_FAnM51,hVPA_FAnM53,hVPA_FAnM55,hVPA_FAnM6,hVPA_FAnM7,hVPA_FAnM8,hVPA_FAnM9
P2_VPA2,vpa,base,-0.023561689419547577,0.1336645244545489,-0.19471725842363535,-0.15632513493021633,-0.03143387544010835,-0.07145566017849879,0.09252779916546754,0.12799860688885362,0.06240900242167025,0.0833333527613656,-0.24237598723305037,0.017490075753715834,2.7117929889518555,-0.3735240309140648,-0.08908277136343562,-0.04846037703654861,0.052028561738473096,-0.1788621275629004,0.0018765560177345115,-0.051198075713532874,-0.03695324975739933,0.1787546777753778,-0.030748162564650496,-0.11982405283952968,-0.010040987044231148,-0.042395282920785635,0.29636101030826006,0.008990369843849563,-0.11292235445347809,-0.14553273176541,-0.034347235788914084,0.19738265433725977,0.08100723798735394,0.05082297437110618,-0.4440871919325085,-0.17160931655241737,-0.10505016748532738,0.004509340210268005,-0.12701551786282048,-0.4841267336658591,0.21045037534452224,-0.0441846528943889,-0.08016469674273585,-0.07172800025252075,-0.007313560855327885,-0.07328128415750651,-0.019328003331388222,-0.12521827679041866,0.06356428550895946,0.12039204819755331,-0.03617450845621621,-0.08209857529625407
P2_VPA3,vpa,base,-0.09243836946666968,-0.06096693095152948,-0.12585021278146175,-0.19658065488412751,0.0469219699752864,-0.1230498481839639,-0.2583750592861565,-0.2527389760056203,-0.11805717354688415,-0.1379821645641845,-0.12140630868842668,-0.26211471237386774,2.6134443923838537,0.10166681145341366,-0.056796203073260665,-0.09695472964537767,0.017711046186765396,-0.2640314776080156,-0.1536896513901309,-0.020036643000933795,-0.19662118520590266,-0.01991224063006926,-0.05818952616728255,-0.23566656698416122,-0.10747687403043202,-0.0564714568323048,-0.06900599654256115,-0.04064502659225958,-0.11429319582000086,0.08197265636746234,0.019523136622023422,-0.07749347778711291,0.00297022307247026,-5.894877743472925e-4,2.543341707874097,-0.055499210113613896,-0.17480094407636326,-0.3511711296447522,-0.06686469543771631,0.201879117551058,-0.32256524666336006,-0.15688538333399663,-0.056196208545828956,0.0012722516382190196,-0.17848686559661034,0.007078063331368121,0.009755602889770353,-0.3259582764352269,0.07511740818122395,-0.1138990387658119,-0.01626189447193087,-0.05970420089727267
P3_C4,cntrl,base,-0.3715579073420438,-0.007339411688682893,0.09175535917473515,0.014359951835172094,-0.29768929411900535,0.3439278933518537,0.27781207293127336,0.3056957050632078,-0.1353249946785663,-0.06643398897331472,0.10117786630191321,-0.3012747405146631,-2.640653176992269,0.1363210196760543,0.1766525131958661,-0.053552904563453754,-0.17625099191773635,-0.013815274745240117,0.11468434473077971,-0.09220451611048855,0.01818831134165488,0.07325007520094672,0.08902111750795796,-0.1307800187114766,8.919998368598636e-4,0.11852460210652961,0.10625775744136054,0.14652382830783758,0.002357351642252375,0.20484731615877141,0.19282269728664403,0.07704339936416515,0.46688278501415686,-0.12058366045465661,1.0056366236035539,0.05082555565240101,0.04070493331515644,0.3119843076000603,0.2824381447859306,0.3172212449726656,-0.1876366402212987,0.09945821461034031,0.13220051311040004,0.011977465433552199,0.3314240659695362,0.1837570690290114,-0.07188917377735742,-0.17385042316747626,0.22428537250671657,-0.04857726081305639,-0.2715802022426988,0.21778136208723475
P3_FA_VPA3,vpa,5X,0.2287292492587221,0.11269513550061229,0.09929043335553428,0.1297595043392537,0.4971572082648853,-0.018844358399187286,-0.10462742654736797,-0.13026512338617385,0.25512891453783093,0.19396889916899435,-0.3851664564508756,0.13788860052356808,2.79789953305817,-0.06869526873370985,0.0022083705420259947,0.19240697535184512,0.11847592994177043,0.1771529789265597,0.08540419925630993,-0.14884598284313302,0.14839864246670043,0.14191537468833915,0.023803307326643396,0.17806188770109432,0.1663357706766392,-0.025683177375717774,0.3182454448714526,0.0677034992707339,-0.007942179941802458,-0.012555238247456059,0.02827236662157872,0.11691165101615708,-0.22624389809102746,0.31415056045221723,-0.5659289208996812,0.09601942174188852,0.11037481332600928,-0.07111323615840487,-0.05062169570064265,0.09560665310670421,-0.07119236692411338,0.11335518948214217,0.047951469381848806,0.0756938977769092,0.2213317668286465,-0.02197800292016833,0.23459170539523205,0.26382146682560026,0.16424624992059425,0.0959201857563414,0.14858392775040347,-0.05003010574801846
P3_FA_VPA4,vpa,5X,0.1910537530805532,0.10162366854713435,0.15938589357324756,0.04658518966820753,0.4119244033393782,-0.24697020988117124,-0.14022196177488686,-0.18817575282483473,0.071180726715134,-0.017636502775000684,0.21198138632667313,0.3442312227577268,2.722571433184881,0.1807464322051056,-0.02960410619852899,0.21286288679133622,-0.04916604668409213,0.21657196282011074,-0.021649217428595824,0.17029734757844014,0.09281359037159109,0.022182787256075462,-0.1336202764466828,0.07954301320222246,0.05179631915365959,0.03223240915504168,0.21389390829300045,-0.07918116118693157,0.17451776754901194,-0.008161826270611995,-0.08171225638489689,0.08226131555494709,-0.28541511891359045,0.16564677637679417,-0.5687598011983679,-0.05002877904419121,0.07477414702680628,-0.011309638994317299,-0.007197850403973775,-0.1975922725549625,-0.27057886089153194,-0.07383631217644661,-0.07535209601113513,0.09978592680986968,-0.21131823736284397,-0.07129704390926545,0.08495008456245763,-0.1311833271603329,0.1865996536705902,0.09138464702816404,0.08667197649318621,0.08176209357433474
P3_FA5,cntrl,5X,0.040331072096750506,0.03100533274761498,0.015739814772766376,-0.1012051876493764,0.039413700555765416,0.05570589839092223,0.08756247337890148,0.08948911164461741,-0.022360235748298474,-0.07458426589632956,0.10352786726063772,-0.14108795785275854,-2.722920376059794,-0.40272513748023625,-0.08824566017522434,-0.08869857951522465,-0.12905274045803367,-0.017295165718855456,-0.1716302817622759,0.047049364993064315,0.08963318893609606,-0.05557816621257218,-0.22731949295788198,0.05646425873039529,-0.08288513251223847,-0.16116359686645973,-0.22744986522710955,-0.034607724700049615,0.013153544591598681,0.2950420390254662,-0.06787322104774775,-0.08537703703251631,-0.27383087825292657,0.06794660960947986,-0.5535725784138987,0.02259029963574024,-0.04406051207560692,0.0355351629364375,-0.10824748645740209,-0.6512101216097902,-0.13519104176649957,-0.01784083548013639,-0.08743152750831973,0.0800321361870228,0.13070161541990052,-0.3098726485574094,-0.053616547576490634,0.1559128688126614,0.06062785763589088,-0.03308580011223942,-0.4551486263634171,-0.24491487286704283
P3_VPA4,vpa,base,-0.07554222126351058,0.013131218971981676,-0.15486700120640168,-0.26538593500946134,-0.005600927272575121,0.1774790776201982,0.11960001167952232,0.15442802595926247,0.02539497405946246,-0.021866204025012114,-0.054621169749334134,-0.14078637126260043,2.829205112367471,-0.030787412029254328,-0.0495796197739215,0.025106952823443756,0.15026183895051354,-0.04226174445557893,0.0725269558337589,0.23562541407436807,-0.011235281241219867,0.09304100709257589,0.0012503802657076943,0.0657912535403361,0.021776138751505553,0.09480829918725743,-0.334127186256799,0.05439057050525072,-0.09893217678817368,0.24943888022151509,0.056858400563278615,0.04178279406724761,0.23013728691810093,-0.14945280672194136,-0.5117511046138483,-0.10335564924436821,-0.0909360830797007,-0.1785515984425135,-0.007569225199941713,-0.11746353865349471,0.5060693065660978,-0.10191219221222715,0.06437624714610957,-0.12118448599769922,0.030998786046698677,0.025952617786104745,0.22564406740816884,-0.15761627578260143,0.24232506077428742,0.032833964269576264,0.10298926127980974,0.10541745730841735
P3_VPA5,vpa,base,-0.10755096030545404,-0.15974221200313798,-0.22580310597704328,-0.17877010697646795,-0.29637243912571576,-0.20932231478444763,0.06269345301931832,0.0829860882477859,-0.1079609693699236,-0.061718293106028235,0.1392566902677977,-0.3671224617074679,2.76524034098843,0.33424949913155283,0.07437062368783126,-0.2705102387759539,0.08042053436033976,-0.09503035206090892,-0.011573075628024785,-0.024864236377466285,-0.15707966381988048,-0.0999554585877921,0.06733074161951627,-0.12438771655114966,-0.10340169815301067,0.1714240716358393,-0.1555620320695468,-0.05576691709147589,-0.033627543493841776,0.08825009154555222,0.11370528214388641,-0.03284591848067764,0.289694499761005,-0.2830091492167637,-0.6486919437603793,0.13152813318465464,0.032027953591238986,0.06547932703439802,0.15329961309582066,0.39149551918250347,-0.0222406068150526,-0.08735472876536589,0.11277574338654484,-0.08104166819765875,-0.22957261173797464,-0.02688328922829303,-0.13585099775602666,-0.1769587852890331,0.11724064701662887,-0.04754979536141416,0.13118714801899894,-0.08404797373149596
P4_C5,cntrl,base,-0.21432283235210778,-0.21253803795382686,-0.28409486123739763,-0.060627756891658155,-0.6439035162323355,0.10691550198573908,-0.008958726939982752,-0.03903753397059091,-0.2658198049501198,-0.22433992079035198,-0.17796006798314007,-0.28222037068081895,-2.566077362125724,0.14739197579389712,-0.028111226111493914,-0.2625848033455829,-0.16768131532822877,-0.266458796167636,-0.011618233179852442,-0.11905987324229297,-0.23423380422421947,-0.04040160226383528,-0.10109743507679156,-0.2705708107952526,-0.18491582017195526,1.1411861971734674e-4,-0.2013141060482795,0.002651794365028123,-0.3374664044872968,-0.07198532829655388,0.06979836656531545,-0.08418814285700493,0.39412388693014583,-0.4155050174939512,-0.6763223170687593,-0.2166030489748226,-0.11944135866353468,-0.0043576000290240155,0.08637599697878676,-0.8933677725800978,0.4656060102448202,-0.18459831739415314,0.02395232800633674,-0.24492363243563883,-0.25810150265468,0.1276522224709971,0.02391620541529711,-0.13762738427272606,-0.22303375241242182,-0.26087802541131216,-0.17228453489135337,-0.08199883232224058
P4_C6,cntrl,base,-0.5465845795962099,-0.1533364432599169,0.036691500068940126,0.18760012928864073,-0.6919410042434558,0.19649371574220353,-0.1663987631295952,-0.1356743412133366,-0.16166318397570156,-0.08650479186776301,0.07999395471581709,-0.07234645934340636,-2.706100079499053,0.3494922178369118,0.14101716348213694,-0.13178934355108798,0.11602693533770443,-0.1034592408208229,0.06030716480779952,0.23242975359845783,0.07212437246226411,-0.06746082966598523,0.16644166491465753,-0.03587568643158445,-0.09319089809966016,0.17651047663861943,0.06742661149610815,0.07450041192128416,0.03480078207254534,-0.2768466644501346,0.20624634770699402,-0.08103450334355367,0.4584054641314737,-0.3827607761582983,2.534778739141702,0.1275009505445607,0.07359799968845758,0.029797908159068638,0.2233618210602433,-0.3834774532492974,-0.019630198340825047,0.025314560718280407,0.06474018260965275,-0.08221493264120457,0.13044581450418355,0.1490546870902399,-0.016353962221133434,0.0028533554580165432,0.16409981531938148,0.034997211545558536,-0.03643672047225048,-0.24214108449687777
P4_FA_VPA5,vpa,5X,0.3893476645073766,0.15193185702752765,0.24646328045764304,-0.032189088060199086,0.4564386183923469,-0.04217615393545947,0.16690056287731717,0.20018437695182095,0.2369144277648939,0.28033614362616627,0.09093320915148832,0.2777842421282425,2.8774006606780373,0.06634974760003859,0.09540422092827067,0.24248783219663703,0.2061337299971951,0.28636741703742785,0.10045133059411548,-0.08638810442059278,0.19603063352824524,0.10840065823613286,0.0811400466155662,0.25629369774720334,0.2122808000494595,0.15409560414419302,0.211379743001169,0.05646046571661408,0.19053814409687964,0.6970186727889465,-0.03221006824179185,0.11846559297405312,-0.10598592933049737,0.33094174458671466,-0.4826252203456763,0.0322194118606828,0.13386554198563683,-0.13795363640640584,-0.06172832865394293,0.23960354215890808,0.027510614313178337,0.15142745613231398,0.09310490490947254,0.14721583578984823,-0.15881964466729273,0.16669196906263967,0.27421753674499355,0.24821229946489407,0.07255010914306351,0.11387793944280841,0.17059941064008516,0.17187952597420997
P4_FA_VPA6,vpa,5X,-0.028659673884879184,0.054720311564871574,0.05356754092196409,0.22508084532406408,0.380358711367227,0.02443426631633018,0.01687413614633907,0.02322810353278719,0.16375332822095923,0.040773114063886104,0.08942720183444801,0.2776378810189303,2.7277653738231136,-0.3927845497036672,0.04914856401561446,0.04456035774126786,0.20242006529875362,0.14233626064557373,0.004623030522705076,-0.15350795807976628,0.1305657064778244,0.03664586365734222,-0.07272190059338599,0.1780433532427742,0.11559643388331522,0.06394330661458693,0.35127620769951656,0.08207919641488721,0.15558864012466178,-0.11994018873494891,0.12618681334320314,0.10268006135911867,-0.18532563266972696,0.23321403956789902,-0.45329674529100733,0.23425832486017387,0.152202195990906,0.17139678732087166,0.026624063582874752,0.6926210430513334,0.21358508267831486,0.17304345667402984,0.06103615954453768,0.1457185222587444,0.03562099464086407,0.09301381338258491,0.16437405061869376,0.09942599970132424,0.24240534465902766,-0.008317977813367993,0.05775025543984787,0.10487552449511685
P4_FA6,cntrl,5X,0.26814994928937935,0.15339805397946216,0.17992136309070422,-0.0014705070433517625,0.15538338046449363,0.1326058606802505,0.19272230626552025,0.22235744623541892,0.19023052766751258,0.05426820970213435,0.1855537238390937,0.2855226045857463,-2.667941177020123,-0.171188808671423,0.14347657306676803,0.21909744914534054,0.267205847157094,0.1817492281116814,0.14881066045245483,0.0861263089248607,0.20343421540279027,0.10079000751229748,0.15774360948122293,0.22204139898715158,0.15190321182493008,0.1579014285166405,0.02242332962741852,0.022057360713993078,0.21943827706313823,0.16808640846935166,0.02294800791254658,0.00848078318620493,-0.007058437823442107,0.3317263795332699,-0.668713608937322,-0.1147674009089644,0.01172921112651958,0.04414280147903544,0.03356848996782949,0.3596066834471928,0.19755265853473322,0.2935270535199236,0.2078108405880621,0.13036569147427204,0.011494513055190645,-0.009895694657619138,0.16247351991351883,0.228003661415048,-0.024972013684092596,0.07826131914968923,0.0577123661223244,0.289874836678892
P4_VPA6,vpa,base,-0.04144607142935493,-0.08886594312873418,-0.11084274132137589,-0.26943969684015484,-0.24910268590403162,9.364642770108983e-4,-0.21569703389306935,-0.19371679005269554,-0.10175971091335288,0.050849064509518135,-0.28288041161239835,-0.07218369893787094,2.6599643154492147,0.007267010303588846,-0.05547853963268329,-0.2787094417459426,-0.03341177973611081,-0.22978181070077772,-0.06320839137978829,-0.14180836980152225,-0.19654012478276794,0.05886452339409508,-2.0077877337466854e-5,-0.09394806972440872,-0.027659639133474773,-0.16055091728344914,-0.04906768732525716,0.003874409138545828,-0.25912553606430033,0.543674250876981,0.041949350825039027,-0.01276090677603692,0.06208806267908436,0.04759815417287917,0.6154163368076875,-0.22493019762481578,-0.15912976823616998,0.10273947682541656,-0.09045955772046207,0.15576480290420788,0.4248375609112188,-0.1319234464882674,-0.07806403878060442,-0.14014947123420715,0.056870231148443,0.04559599984322876,0.05880608385441562,-0.3178787583260496,-0.22938399487580216,-0.1811590619788568,0.2749041685092259,-0.2040003594763823
